level,task,order,id
easy,ST,2,032SSAP
medium,MS,3,032SSAP
hard,ST,4,032SSAP
easy,MR,5,032SSAP
hard,MS,6,032SSAP
hard,MR,7,032SSAP
medium,ST,8,032SSAP
medium,MR,9,032SSAP
easy,ST,1,033SSML
easy,MS,2,033SSML
medium,MR,3,033SSML
hard,MS,4,033SSML
easy,MR,5,033SSML
hard,ST,6,033SSML
medium,MS,7,033SSML
hard,MR,8,033SSML
medium,ST,9,033SSML
hard,ST,1,035SSDD
hard,MS,2,035SSDD
easy,MR,3,035SSDD
medium,ST,4,035SSDD
medium,MR,5,035SSDD
easy,ST,6,035SSDD
medium,MS,7,035SSDD
easy,MS,8,035SSDD
hard,MR,9,035SSDD
easy,MR,1,037ARDL
hard,ST,2,037ARDL
easy,MS,3,037ARDL
medium,ST,4,037ARDL
medium,MS,5,037ARDL
easy,ST,6,037ARDL
medium,MR,7,037ARDL
hard,MR,8,037ARDL
hard,MS,9,037ARDL
easy,ST,1,038AREN
hard,ST,2,038AREN
easy,MS,3,038AREN
hard,MS,4,038AREN
easy,MR,5,038AREN
medium,ST,6,038AREN
medium,MR,7,038AREN
medium,MS,8,038AREN
hard,MR,9,038AREN
easy,MS,1,039ARVP
hard,MR,2,039ARVP
medium,MS,3,039ARVP
hard,MS,4,039ARVP
easy,MR,5,039ARVP
easy,ST,6,039ARVP
medium,ST,7,039ARVP
hard,ST,8,039ARVP
medium,MR,9,039ARVP
medium,MR,1,042SSAA
medium,ST,2,042SSAA
easy,MS,3,042SSAA
easy,MR,4,042SSAA
easy,ST,5,042SSAA
hard,MS,6,042SSAA
hard,ST,7,042SSAA
hard,MR,8,042SSAA
medium,MS,9,042SSAA
hard,MS,1,045SSEM
easy,MR,2,045SSEM
hard,ST,3,045SSEM
hard,MR,4,045SSEM
medium,MS,5,045SSEM
medium,ST,6,045SSEM
medium,MR,7,045SSEM
easy,MS,8,045SSEM
easy,ST,9,045SSEM
easy,ST,1,046SSVS
hard,MS,2,046SSVS
hard,ST,3,046SSVS
easy,MR,4,046SSVS
medium,ST,5,046SSVS
medium,MS,6,046SSVS
medium,MR,7,046SSVS
easy,MS,8,046SSVS
hard,MR,9,046SSVS
easy,ST,1,047SSAK
medium,MS,2,047SSAK
medium,ST,3,047SSAK
easy,MR,4,047SSAK
hard,ST,5,047SSAK
hard,MS,6,047SSAK
medium,MR,7,047SSAK
hard,MR,8,047SSAK
easy,MS,9,047SSAK
hard,MS,1,048SSAG
medium,MS,2,048SSAG
easy,MR,3,048SSAG
easy,MS,4,048SSAG
hard,ST,5,048SSAG
medium,ST,6,048SSAG
medium,MR,7,048SSAG
hard,MR,8,048SSAG
easy,ST,9,048SSAG
medium,MR,1,052SSME
medium,ST,2,052SSME
easy,MS,3,052SSME
hard,MR,4,052SSME
hard,ST,5,052SSME
medium,MS,6,052SSME
easy,ST,7,052SSME
easy,MR,8,052SSME
hard,MS,9,052SSME
medium,MR,1,053SSAF
easy,MS,2,053SSAF
easy,MR,3,053SSAF
hard,MS,4,053SSAF
easy,ST,5,053SSAF
hard,ST,6,053SSAF
hard,MR,7,053SSAF
medium,ST,8,053SSAF
medium,MS,9,053SSAF
hard,MS,1,054SSEB
medium,ST,2,054SSEB
easy,MS,3,054SSEB
easy,MR,4,054SSEB
hard,MR,5,054SSEB
medium,MS,6,054SSEB
easy,ST,7,054SSEB
medium,MR,8,054SSEB
hard,ST,9,054SSEB
hard,ST,1,055SSNS
hard,MS,2,055SSNS
medium,ST,3,055SSNS
easy,MS,4,055SSNS
easy,MR,5,055SSNS
medium,MR,6,055SSNS
hard,MR,7,055SSNS
medium,MS,8,055SSNS
easy,ST,9,055SSNS
hard,MS,1,056SSKA
easy,ST,2,056SSKA
hard,ST,3,056SSKA
easy,MR,4,056SSKA
medium,MS,5,056SSKA
hard,MR,6,056SSKA
medium,ST,7,056SSKA
medium,MR,8,056SSKA
easy,MS,9,056SSKA
medium,MS,1,058SSAB
medium,ST,2,058SSAB
easy,MR,3,058SSAB
medium,MR,4,058SSAB
easy,ST,5,058SSAB
hard,ST,6,058SSAB
easy,MS,7,058SSAB
hard,MS,8,058SSAB
hard,MR,9,058SSAB
hard,MS,1,059SSAS
easy,MS,2,059SSAS
easy,MR,3,059SSAS
medium,MS,4,059SSAS
hard,ST,5,059SSAS
easy,ST,6,059SSAS
hard,MR,7,059SSAS
medium,ST,8,059SSAS
medium,MR,9,059SSAS
hard,ST,1,062SSON
easy,MR,2,062SSON
easy,MS,3,062SSON
medium,MS,4,062SSON
easy,ST,5,062SSON
hard,MS,6,062SSON
medium,MR,7,062SSON
hard,MR,8,062SSON
medium,ST,9,062SSON
hard,MR,1,063SSMP
medium,MR,2,063SSMP
medium,MS,3,063SSMP
easy,ST,4,063SSMP
easy,MR,5,063SSMP
easy,MS,6,063SSMP
hard,MS,7,063SSMP
hard,ST,8,063SSMP
medium,ST,9,063SSMP
easy,ST,1,064SSAB
hard,ST,2,064SSAB
hard,MR,3,064SSAB
medium,ST,4,064SSAB
