id,correctAns,base_pic,rotated_pic,key,is_correct,rt,task,level,trial
001SSMS,left,images/base/2_b.png,images/combined/2_a_x_0_y_0_z_315.png,right,0,2.324,MR,easy,1
001SSMS,right,images/base/15_a.png,images/combined/15_a_x_0_y_0_z_315.png,left,0,1.722,MR,easy,2
001SSMS,left,images/base/9_a.png,images/combined/9_b_x_0_y_0_z_315.png,right,0,0.924,MR,easy,3
001SSMS,right,images/base/4_b.png,images/combined/4_b_x_0_y_0_z_45.png,right,1,0.849,MR,easy,4
001SSMS,right,images/base/1_b.png,images/combined/1_b_x_0_y_0_z_45.png,right,1,1.515,MR,easy,5
001SSMS,left,images/base/12_b.png,images/combined/12_a_x_0_y_0_z_315.png,right,0,1.468,MR,easy,6
001SSMS,left,images/base/14_b.png,images/combined/14_a_x_0_y_0_z_45.png,right,0,1.505,MR,easy,7
001SSMS,right,images/base/5_a.png,images/combined/5_a_x_0_y_0_z_45.png,right,1,2.64,MR,easy,8
001SSMS,left,images/base/11_b.png,images/combined/11_a_x_0_y_0_z_315.png,right,0,20.805,MR,easy,9
001SSMS,left,images/base/3_a.png,images/combined/3_b_x_0_y_0_z_45.png,right,0,0.85,MR,easy,10
001SSMS,left,images/base/6_a.png,images/combined/6_b_x_0_y_0_z_315.png,left,1,1.19,MR,easy,11
001SSMS,left,images/base/16_a.png,images/combined/16_b_x_0_y_0_z_315.png,right,0,2.333,MR,easy,12
001SSMS,right,images/base/8_b.png,images/combined/8_b_x_0_y_0_z_45.png,right,1,0.757,MR,easy,13
001SSMS,left,images/base/10_a.png,images/combined/10_b_x_0_y_0_z_315.png,right,0,3.304,MR,easy,14
001SSMS,left,images/base/13_b.png,images/combined/13_a_x_0_y_0_z_315.png,right,0,1.107,MR,easy,15
001SSMS,left,images/base/7_b.png,images/combined/7_a_x_0_y_0_z_45.png,right,0,2.305,MR,easy,16
001SSMS,left,images/base/4_a.png,images/combined/4_b_x_315_y_0_z_90.png,right,0,2.195,MR,medium,1
001SSMS,left,images/base/11_b.png,images/combined/11_a_x_315_y_0_z_90.png,left,1,1.604,MR,medium,2
001SSMS,left,images/base/2_b.png,images/combined/2_a_x_45_y_0_z_90.png,right,0,4.018,MR,medium,3
001SSMS,right,images/base/13_a.png,images/combined/13_a_x_315_y_0_z_90.png,right,1,2.382,MR,medium,4
001SSMS,left,images/base/14_a.png,images/combined/14_b_x_45_y_0_z_90.png,left,1,1.399,MR,medium,5
001SSMS,left,images/base/12_a.png,images/combined/12_b_x_45_y_0_z_270.png,left,1,4.034,MR,medium,6
001SSMS,right,images/base/5_b.png,images/combined/5_b_x_315_y_0_z_90.png,right,1,1.808,MR,medium,7
001SSMS,right,images/base/8_b.png,images/combined/8_b_x_315_y_0_z_270.png,right,1,2.158,MR,medium,8
001SSMS,right,images/base/10_a.png,images/combined/10_a_x_315_y_0_z_90.png,right,1,2.189,MR,medium,9
001SSMS,right,images/base/15_b.png,images/combined/15_b_x_315_y_0_z_90.png,right,1,3.591,MR,medium,10
001SSMS,right,images/base/7_a.png,images/combined/7_a_x_45_y_0_z_90.png,right,1,13.617,MR,medium,11
001SSMS,right,images/base/16_b.png,images/combined/16_b_x_45_y_0_z_270.png,left,0,29.038,MR,medium,12
001SSMS,left,images/base/3_b.png,images/combined/3_a_x_45_y_0_z_270.png,right,0,1.135,MR,medium,13
001SSMS,left,images/base/6_a.png,images/combined/6_b_x_45_y_0_z_270.png,right,0,1.066,MR,medium,14
001SSMS,left,images/base/1_a.png,images/combined/1_b_x_315_y_0_z_270.png,right,0,1.285,MR,medium,15
001SSMS,left,images/base/9_b.png,images/combined/9_a_x_315_y_0_z_90.png,right,0,2.399,MR,medium,16
001SSMS,left,images/base/14_b.png,images/combined/14_a_x_270_y_0_z_90.png,right,0,2.632,MR,hard,1
001SSMS,right,images/base/13_b.png,images/combined/13_b_x_90_y_0_z_90.png,right,1,1.255,MR,hard,2
001SSMS,right,images/base/9_a.png,images/combined/9_a_x_90_y_0_z_270.png,right,1,1.199,MR,hard,3
001SSMS,right,images/base/10_a.png,images/combined/10_a_x_270_y_0_z_90.png,left,0,7.349,MR,hard,4
001SSMS,left,images/base/11_b.png,images/combined/11_a_x_270_y_0_z_90.png,right,0,2.587,MR,hard,5
001SSMS,left,images/base/5_b.png,images/combined/5_a_x_90_y_0_z_90.png,right,0,0.967,MR,hard,6
001SSMS,right,images/base/7_a.png,images/combined/7_a_x_270_y_0_z_90.png,right,1,1.319,MR,hard,7
001SSMS,left,images/base/16_a.png,images/combined/16_b_x_270_y_0_z_90.png,right,0,1.716,MR,hard,8
001SSMS,left,images/base/12_a.png,images/combined/12_b_x_270_y_0_z_90.png,right,0,1.166,MR,hard,9
001SSMS,left,images/base/15_a.png,images/combined/15_b_x_90_y_0_z_90.png,left,1,1.013,MR,hard,10
001SSMS,left,images/base/8_a.png,images/combined/8_b_x_270_y_0_z_270.png,left,1,1.801,MR,hard,11
001SSMS,left,images/base/6_b.png,images/combined/6_a_x_90_y_0_z_90.png,right,0,0.724,MR,hard,12
001SSMS,left,images/base/3_a.png,images/combined/3_b_x_270_y_0_z_90.png,left,1,0.778,MR,hard,13
001SSMS,left,images/base/1_a.png,images/combined/1_b_x_270_y_0_z_90.png,right,0,2.092,MR,hard,14
001SSMS,right,images/base/4_b.png,images/combined/4_b_x_270_y_0_z_270.png,right,1,1.019,MR,hard,15
001SSMS,left,images/base/2_b.png,images/combined/2_a_x_270_y_0_z_270.png,left,1,1.067,MR,hard,16
003SSKS,left,images/base/2_a.png,images/combined/2_b_x_0_y_0_z_45.png,left,1,4.611,MR,easy,1
003SSKS,right,images/base/14_b.png,images/combined/14_b_x_0_y_0_z_45.png,left,0,3.183,MR,easy,2
003SSKS,left,images/base/9_a.png,images/combined/9_b_x_0_y_0_z_315.png,left,1,6.972,MR,easy,3
003SSKS,left,images/base/4_a.png,images/combined/4_b_x_0_y_0_z_315.png,left,1,2.816,MR,easy,4
003SSKS,left,images/base/3_a.png,images/combined/3_b_x_0_y_0_z_45.png,left,1,5.7,MR,easy,5
003SSKS,left,images/base/10_a.png,images/combined/10_b_x_0_y_0_z_45.png,left,1,7.996,MR,easy,6
003SSKS,right,images/base/13_b.png,images/combined/13_b_x_0_y_0_z_315.png,right,1,3.971,MR,easy,7
003SSKS,left,images/base/16_a.png,images/combined/16_b_x_0_y_0_z_315.png,left,1,10.151,MR,easy,8
003SSKS,right,images/base/11_b.png,images/combined/11_b_x_0_y_0_z_315.png,right,1,7.4,MR,easy,9
003SSKS,right,images/base/6_a.png,images/combined/6_a_x_0_y_0_z_45.png,right,1,4.25,MR,easy,10
003SSKS,left,images/base/7_a.png,images/combined/7_b_x_0_y_0_z_315.png,left,1,2.532,MR,easy,11
003SSKS,right,images/base/5_a.png,images/combined/5_a_x_0_y_0_z_45.png,right,1,3.433,MR,easy,12
003SSKS,right,images/base/12_a.png,images/combined/12_a_x_0_y_0_z_45.png,right,1,3.084,MR,easy,13
003SSKS,left,images/base/15_a.png,images/combined/15_b_x_0_y_0_z_45.png,left,1,9.799,MR,easy,14
003SSKS,right,images/base/1_a.png,images/combined/1_a_x_0_y_0_z_315.png,left,0,4.485,MR,easy,15
003SSKS,left,images/base/8_b.png,images/combined/8_a_x_0_y_0_z_45.png,left,1,6.033,MR,easy,16
003SSKS,right,images/base/12_a.png,images/combined/12_a_x_45_y_0_z_90.png,right,1,1.85,MR,medium,1
003SSKS,left,images/base/13_b.png,images/combined/13_a_x_315_y_0_z_90.png,right,0,4.041,MR,medium,2
003SSKS,right,images/base/3_b.png,images/combined/3_b_x_45_y_0_z_90.png,left,0,7.285,MR,medium,3
003SSKS,right,images/base/2_a.png,images/combined/2_a_x_45_y_0_z_90.png,right,1,6.233,MR,medium,4
003SSKS,right,images/base/5_b.png,images/combined/5_b_x_315_y_0_z_90.png,right,1,11.134,MR,medium,5
003SSKS,right,images/base/11_a.png,images/combined/11_a_x_45_y_0_z_270.png,left,0,4.553,MR,medium,6
003SSKS,left,images/base/14_b.png,images/combined/14_a_x_45_y_0_z_90.png,left,1,9.368,MR,medium,7
003SSKS,left,images/base/7_a.png,images/combined/7_b_x_45_y_0_z_90.png,left,1,7.703,MR,medium,8
003SSKS,right,images/base/10_a.png,images/combined/10_a_x_45_y_0_z_270.png,left,0,9.077,MR,medium,9
003SSKS,right,images/base/16_b.png,images/combined/16_b_x_45_y_0_z_90.png,left,0,6.017,MR,medium,10
003SSKS,right,images/base/6_b.png,images/combined/6_b_x_45_y_0_z_90.png,right,1,11.802,MR,medium,11
003SSKS,left,images/base/8_a.png,images/combined/8_b_x_315_y_0_z_270.png,left,1,7.571,MR,medium,12
003SSKS,right,images/base/15_b.png,images/combined/15_b_x_315_y_0_z_90.png,right,1,6.634,MR,medium,13
003SSKS,left,images/base/4_a.png,images/combined/4_b_x_315_y_0_z_270.png,left,1,7.908,MR,medium,14
003SSKS,left,images/base/1_a.png,images/combined/1_b_x_315_y_0_z_90.png,right,0,9.233,MR,medium,15
003SSKS,right,images/base/9_b.png,images/combined/9_b_x_315_y_0_z_270.png,right,1,7.286,MR,medium,16
003SSKS,left,images/base/14_a.png,images/combined/14_b_x_90_y_0_z_270.png,left,1,11.028,MR,hard,1
003SSKS,right,images/base/6_a.png,images/combined/6_a_x_90_y_0_z_270.png,left,0,5.383,MR,hard,2
003SSKS,right,images/base/2_b.png,images/combined/2_b_x_90_y_0_z_270.png,right,1,7.151,MR,hard,3
003SSKS,right,images/base/4_b.png,images/combined/4_b_x_270_y_0_z_90.png,right,1,6.958,MR,hard,4
