task,level,id,rt,acc
MR,hard,ttxEdLIMGM,7.73033125,0.5625
MR,hard,u8oFh0ZHHs,1.15095625,0.5625
MR,hard,ujNKR4re1M,4.42469375,0.625
MR,hard,vBoSbHJ7AD,28.15825,0.6875
MR,hard,wBsXFrRWgF,2.6714812500000003,0.4375
MR,hard,wiRZfBYOru,9.48643125,0.4375
MR,hard,woSzLv5BIV,1.29974375,0.375
MR,hard,yTPpr0532t,3.6237,0.4375
MR,hard,yWB1eDgHxE,6.10384375,0.4375
MR,hard,zMSGYZOzxF,7.5701937500000005,0.5
MR,hard,zvDM8Go5Bd,5.4779937499999996,0.4375
MR,medium,0dkwUmCwzJ,4.50888125,0.375
MR,medium,0wY7q7AFDw,8.3453625,0.75
MR,medium,12zOSfawTO,4.49038125,0.4375
MR,medium,2HJHCZEQE1,8.45321875,1
MR,medium,5oMH7YJKDi,5.924875,0.9375
MR,medium,6xDo1DDaCf,4.5535,1
MR,medium,7SltMY2Jba,13.089125000000001,0.75
MR,medium,7s1EYKyluI,1.54795625,0.5625
MR,medium,8EBFmIUfAy,7.5678875,0.4375
MR,medium,9ZffIZqFHz,7.06789375,0.875
MR,medium,DVCsNitb7p,14.41371875,0.9375
MR,medium,E1wQ16OGRS,16.3429625,1
MR,medium,E6k5x9v8pf,4.177875,1
MR,medium,Fd15tXKjh3,8.98916875,0.9375
MR,medium,FgaXoRhEpQ,8.2010125,0.9375
MR,medium,GxpGXkXK8v,0.90935625,0.1875
MR,medium,HV4ueBgaoL,1.92046875,0.4375
MR,medium,JIY5GSm8aI,5.4671125,0.5
MR,medium,KMzkcoEoDX,6.64219375,0.9375
MR,medium,O0ngZJhb9l,2.3891375,0.6875
MR,medium,PbOEQpRS9f,0.3224375,0.25
MR,medium,PkgTbVVI07,3.26350625,0.625
MR,medium,Q479YcpCNr,10.16023125,0.625
MR,medium,TqUBvW8Aaz,11.6550375,0.5625
MR,medium,V4epNAqh9h,2.1343875,0.375
MR,medium,W98TU3XJxb,7.02044375,0.9375
MR,medium,WAh9qhgg6o,4.562625,0.125
MR,medium,WQyxRdU13t,13.292875,1
MR,medium,YlvUbMLU90,3.52734375,0.6875
MR,medium,aqEAPJJI8e,1.396875,0.4375
MR,medium,bKUxjX0i0W,2.26843125,0.4375
MR,medium,cCWrG11sgp,7.1793125,0.9375
MR,medium,cGANl4iQl1,7.1974875,0.4375
MR,medium,cSI9W49vxo,3.86455625,0.8125
MR,medium,cdCa7qlKqK,5.214025,0.6875
MR,medium,gI6hCgCchT,18.8183875,0.625
MR,medium,h3qLkF1oCE,2.1681125,0.5
MR,medium,jDL2pqqoXv,5.0875,0.5625
MR,medium,jKBHzXx0Pg,9.09813125,0.8125
MR,medium,kGWL9y5AS9,11.19303125,0.5
MR,medium,ky7vtw0gdz,5.9148625,0.4375
MR,medium,lO4tI9SjJX,14.06891875,0.625
MR,medium,ntoLpzjCrW,8.7102875,0.5625
MR,medium,pevbr5tS1I,3.9993125,0.5625
MR,medium,rh40WUcVcA,1.0697625,0.625
MR,medium,sPXXgeOo7t,2.738575,0.5
MR,medium,ttxEdLIMGM,9.958575,0.75
MR,medium,u8oFh0ZHHs,1.295175,0.4375
MR,medium,ujNKR4re1M,4.42259375,0.75
MR,medium,vBoSbHJ7AD,7.9176874999999995,0.8125
MR,medium,wBsXFrRWgF,2.9201875,0.3125
MR,medium,wiRZfBYOru,5.02145625,0.625
MR,medium,woSzLv5BIV,1.47058125,0.625
MR,medium,yTPpr0532t,15.5673375,0.625
MR,medium,yWB1eDgHxE,5.27320625,0.5
MR,medium,zMSGYZOzxF,5.09816875,0.625
MR,medium,zvDM8Go5Bd,8.59579375,0.5625
