task,level,id,ME,PH,TI,PE,EF,FR,OW
ST,easy,OSi3LnpELr,14,13,54,1,4,4,90
ST,hard,OSi3LnpELr,16,16,95,73,56,83,339
ST,medium,OSi3LnpELr,50,34,67,44,61,50,306
MS,easy,OSi3LnpELr,35,33,30,29,32,23,182
MR,medium,OSi3LnpELr,30,16,0,35,21,10,112
MS,hard,OSi3LnpELr,59,64,90,90,65,67,435
MS,medium,m0mjdT90SU,15,5,0,0,1,1,22
ST,medium,m0mjdT90SU,63,30,98,66,69,50,376
MR,medium,m0mjdT90SU,11,0,0,1,0,0,12
ST,easy,m0mjdT90SU,1,0,1,0,4,2,8
MS,hard,m0mjdT90SU,25,20,36,79,17,41,218
MS,easy,m0mjdT90SU,0,3,2,0,1,11,17
ST,hard,m0mjdT90SU,57,26,99,99,67,89,437
MR,easy,m0mjdT90SU,0,2,2,0,1,0,5
MR,hard,m0mjdT90SU,56,16,0,41,43,36,192
MR,medium,I64skoy66n,76,1,9,16,55,55,212
ST,medium,I64skoy66n,56,0,81,40,70,70,317
ST,hard,I64skoy66n,46,0,99,91,55,95,386
MR,hard,I64skoy66n,92,0,0,22,88,47,249
MS,hard,I64skoy66n,78,0,93,93,84,84,432
MS,medium,I64skoy66n,70,0,90,95,57,92,404
MS,easy,I64skoy66n,52,1,18,0,53,95,219
ST,easy,I64skoy66n,40,0,4,0,31,7,82
MR,easy,I64skoy66n,54,0,4,16,52,53,179
ST,medium,l8OD3O4E3f,67,0,99,40,80,65,351
ST,easy,l8OD3O4E3f,5,0,0,4,15,5,29
MR,easy,l8OD3O4E3f,36,0,0,23,37,22,118
MR,hard,l8OD3O4E3f,95,0,3,62,92,64,316
ST,hard,l8OD3O4E3f,94,0,99,83,99,94,469
MS,easy,l8OD3O4E3f,23,0,5,0,23,15,66
MR,medium,l8OD3O4E3f,5,0,0,5,10,5,25
MS,hard,l8OD3O4E3f,93,0,92,80,85,100,450
MS,medium,l8OD3O4E3f,77,0,83,18,63,55,296
MR,easy,s04AljyS4e,50,50,5,50,75,50,280
ST,easy,s04AljyS4e,10,25,50,15,50,85,235
MR,hard,s04AljyS4e,70,75,5,65,75,90,380
ST,medium,s04AljyS4e,25,15,95,65,90,95,385
MS,easy,s04AljyS4e,10,20,5,5,55,70,165
MS,medium,s04AljyS4e,15,30,50,65,75,85,320
MR,medium,s04AljyS4e,50,50,15,65,75,65,320
ST,hard,s04AljyS4e,50,50,100,75,80,100,455
MS,hard,s04AljyS4e,50,75,75,80,85,95,460
ST,medium,vsfwWZKL1V,15,11,50,65,30,55,226
MR,easy,vsfwWZKL1V,50,8,30,50,50,50,238
MS,easy,vsfwWZKL1V,49,8,75,6,50,10,198
ST,hard,vsfwWZKL1V,25,13,99,89,19,80,325
MR,hard,vsfwWZKL1V,86,5,18,30,65,50,254
MS,hard,vsfwWZKL1V,90,6,100,91,85,65,437
MR,medium,vsfwWZKL1V,79,6,13,13,60,15,186
MS,medium,vsfwWZKL1V,85,9,91,36,80,60,361
ST,easy,vsfwWZKL1V,50,5,50,1,24,21,151
ST,medium,FDaGWmAPTr,75,60,85,70,65,85,440
MR,medium,FDaGWmAPTr,71,71,45,65,70,50,372
ST,hard,FDaGWmAPTr,79,81,96,80,80,95,511
MR,easy,FDaGWmAPTr,40,35,23,36,45,29,208
MS,hard,FDaGWmAPTr,80,66,86,81,81,90,484
ST,easy,FDaGWmAPTr,30,24,35,29,55,50,223
MS,easy,FDaGWmAPTr,35,36,45,33,57,35,241
MS,medium,FDaGWmAPTr,76,53,47,35,69,69,349
MR,hard,FDaGWmAPTr,61,53,43,56,58,43,314
ST,easy,XfAdJiOyxj,25,15,30,30,25,15,140
ST,hard,XfAdJiOyxj,65,25,90,60,35,40,315
MS,medium,XfAdJiOyxj,65,35,65,65,55,30,315
MS,hard,XfAdJiOyxj,75,40,89,70,55,40,369
MR,easy,XfAdJiOyxj,20,15,0,30,20,20,105
MR,hard,XfAdJiOyxj,35,20,9,50,21,20,155
MR,medium,XfAdJiOyxj,28,18,9,51,24,24,154
ST,medium,XfAdJiOyxj,21,14,59,29,19,15,157
MS,easy,XfAdJiOyxj,5,0,0,5,10,14,34
ST,hard,cQX3GOCp9n,95,100,65,90,85,99,534
MR,medium,cQX3GOCp9n,80,61,30,70,75,60,376
MR,hard,cQX3GOCp9n,65,70,46,50,55,40,326
ST,easy,cQX3GOCp9n,35,36,30,0,29,24,154
ST,medium,cQX3GOCp9n,60,55,70,10,66,35,296
MS,hard,cQX3GOCp9n,94,66,80,25,75,90,430
MR,easy,cQX3GOCp9n,55,50,30,20,60,49,264
MS,medium,cQX3GOCp9n,75,51,56,5,70,74,331
MS,easy,cQX3GOCp9n,25,30,35,0,25,31,146
MS,medium,Hxjg3OTYhu,66,85,91,64,78,87,471
ST,medium,Hxjg3OTYhu,61,70,84,17,66,71,369
MR,easy,Hxjg3OTYhu,80,72,61,45,72,60,390
MR,medium,Hxjg3OTYhu,66,60,56,30,64,69,345
MR,hard,Hxjg3OTYhu,78,74,69,35,73,86,415
MS,easy,Hxjg3OTYhu,64,79,41,8,66,95,353
ST,easy,Hxjg3OTYhu,27,28,35,13,57,74,234
ST,hard,Hxjg3OTYhu,66,74,99,66,81,97,483
MS,hard,Hxjg3OTYhu,73,80,84,49,79,98,463
ST,medium,TFDf2hLPou,60,10,100,61,85,80,396
MS,medium,TFDf2hLPou,55,10,50,10,65,69,259
MR,hard,TFDf2hLPou,90,9,10,81,90,70,350
MS,hard,TFDf2hLPou,82,12,65,60,75,75,369
MR,easy,TFDf2hLPou,89,6,42,72,80,60,349
ST,easy,TFDf2hLPou,30,8,41,11,60,54,204
MR,medium,TFDf2hLPou,80,3,32,67,85,64,331
MS,easy,TFDf2hLPou,49,6,14,11,43,54,177
ST,hard,TFDf2hLPou,75,1,83,30,62,56,307
MS,easy,ExbVOsMHAA,30,5,30,15,35,30,145
ST,easy,ExbVOsMHAA,35,5,55,5,35,15,150
MS,medium,ExbVOsMHAA,60,10,50,35,75,55,285
ST,hard,ExbVOsMHAA,76,10,75,40,75,50,326
MS,hard,ExbVOsMHAA,65,5,80,55,85,60,350
MR,easy,ExbVOsMHAA,80,5,25,65,65,70,310
MR,medium,ExbVOsMHAA,70,10,30,69,60,74,313
ST,medium,ExbVOsMHAA,50,10,70,20,59,55,264
MR,hard,ExbVOsMHAA,65,6,30,65,75,65,306
ST,easy,GJzcwSPe9Z,15,5,15,5,20,5,65
MS,easy,GJzcwSPe9Z,50,20,40,5,45,45,205
ST,medium,GJzcwSPe9Z,35,40,55,35,65,50,280
MR,easy,GJzcwSPe9Z,55,40,5,40,65,65,270
MR,medium,GJzcwSPe9Z,60,50,5,50,65,65,295
MR,hard,GJzcwSPe9Z,65,65,5,50,65,75,325
MS,hard,GJzcwSPe9Z,70,50,80,65,75,65,405
MS,medium,GJzcwSPe9Z,40,25,50,15,50,45,225
ST,hard,GJzcwSPe9Z,50,25,75,50,50,40,290
MS,hard,qJhGaTGZut,90,19,99,60,95,70,433
MR,medium,qJhGaTGZut,60,2,10,50,85,29,236
ST,hard,qJhGaTGZut,74,3,100,51,79,20,327
MR,easy,qJhGaTGZut,74,6,10,50,86,13,239
ST,easy,qJhGaTGZut,31,9,11,5,15,2,73
MS,easy,qJhGaTGZut,17,1,0,0,21,0,39
ST,medium,qJhGaTGZut,73,1,50,35,49,10,218
MS,medium,qJhGaTGZut,77,4,64,13,70,14,242
MR,hard,qJhGaTGZut,49,9,1,29,86,5,179
MR,easy,dBrkfcNWsa,75,20,19,56,75,70,315
ST,medium,dBrkfcNWsa,60,30,40,40,69,29,268
MS,hard,dBrkfcNWsa,70,25,50,61,65,38,309
ST,easy,dBrkfcNWsa,35,24,15,10,40,20,144
MR,medium,dBrkfcNWsa,45,30,20,45,50,31,221
MR,hard,dBrkfcNWsa,71,40,25,55,71,41,303
MS,easy,dBrkfcNWsa,25,20,11,19,30,10,115
MS,medium,dBrkfcNWsa,65,25,50,55,60,32,287
ST,hard,dBrkfcNWsa,59,35,74,53,58,51,330
ST,easy,VLeNMXjDPG,30,30,55,0,50,23,188
MR,easy,VLeNMXjDPG,33,36,45,24,55,55,248
MS,hard,VLeNMXjDPG,71,65,81,36,73,83,409
MR,medium,VLeNMXjDPG,47,47,46,18,63,42,263
MR,hard,VLeNMXjDPG,58,51,47,22,60,49,287
MS,medium,VLeNMXjDPG,63,54,52,18,62,55,304
MS,easy,VLeNMXjDPG,34,70,13,0,43,32,192
ST,medium,VLeNMXjDPG,55,63,90,7,63,44,322
ST,hard,VLeNMXjDPG,74,31,99,50,74,68,396
ST,medium,qUOF6OZDRD,65,0,84,50,55,65,319
ST,hard,qUOF6OZDRD,70,0,90,75,60,80,375
MR,medium,qUOF6OZDRD,50,0,0,10,50,0,110
MS,easy,qUOF6OZDRD,10,0,10,5,5,5,35
MR,hard,qUOF6OZDRD,70,0,0,15,60,10,155
MS,hard,qUOF6OZDRD,85,0,95,45,80,80,385
MS,medium,qUOF6OZDRD,60,0,60,35,60,45,260
MR,easy,qUOF6OZDRD,15,0,0,10,20,5,50
ST,easy,qUOF6OZDRD,5,0,5,5,5,5,25
MR,easy,JP0BqEE4Fj,81,80,31,16,90,49,347
MR,hard,JP0BqEE4Fj,80,60,25,35,95,85,380
MR,medium,JP0BqEE4Fj,65,50,15,20,90,90,330
ST,easy,JP0BqEE4Fj,20,10,10,0,80,5,125
MS,hard,JP0BqEE4Fj,95,79,95,50,100,55,474
MS,easy,JP0BqEE4Fj,35,35,15,5,85,25,200
MS,medium,JP0BqEE4Fj,70,75,84,50,95,50,424
ST,hard,JP0BqEE4Fj,100,80,99,45,94,84,502
ST,medium,JP0BqEE4Fj,65,55,65,40,95,60,380
MR,hard,ctfjWeomyR,95,5,10,75,90,71,346
MS,medium,ctfjWeomyR,69,10,70,35,65,55,304
ST,easy,ctfjWeomyR,50,10,45,35,61,50,251
MS,hard,ctfjWeomyR,95,10,80,94,85,85,449
MS,easy,ctfjWeomyR,44,6,35,44,56,56,241
ST,medium,ctfjWeomyR,66,5,69,70,69,78,357
MR,medium,ctfjWeomyR,60,5,30,35,80,99,309
ST,hard,ctfjWeomyR,89,4,96,95,90,100,474
MR,easy,ctfjWeomyR,65,2,30,26,86,81,290
ST,easy,eJJDMz958g,75,20,65,10,70,10,250
MS,medium,eJJDMz958g,91,35,95,30,95,60,406
MS,easy,eJJDMz958g,74,15,50,5,60,15,219
MR,hard,eJJDMz958g,80,15,30,20,80,15,240
MR,medium,eJJDMz958g,85,15,24,20,80,20,244
ST,hard,eJJDMz958g,85,15,90,80,90,20,380
MR,easy,eJJDMz958g,80,15,20,20,79,10,224
MS,hard,eJJDMz958g,90,10,85,79,90,20,374
ST,medium,eJJDMz958g,85,9,85,30,85,15,309
MS,easy,vI3wi8YxaP,11,9,0,0,15,6,41
ST,medium,vI3wi8YxaP,20,65,100,49,80,40,354
MR,easy,vI3wi8YxaP,81,35,2,32,46,4,200
MR,medium,vI3wi8YxaP,79,13,0,44,80,6,222
MR,hard,vI3wi8YxaP,79,33,30,50,80,18,290
MS,medium,vI3wi8YxaP,81,37,99,53,88,58,416
ST,easy,vI3wi8YxaP,41,23,58,0,63,8,193
MS,hard,vI3wi8YxaP,78,43,100,56,88,25,390
ST,hard,vI3wi8YxaP,89,66,100,75,93,29,452
MR,hard,bKUxTtubP9,60,3,5,70,70,15,223
MR,medium,bKUxTtubP9,15,0,0,25,5,5,50
MS,easy,bKUxTtubP9,0,0,0,0,0,0,0
ST,hard,bKUxTtubP9,5,0,0,95,55,95,250
MR,easy,bKUxTtubP9,5,0,0,15,10,5,35
ST,easy,bKUxTtubP9,5,0,0,0,5,5,15
MS,hard,bKUxTtubP9,15,0,70,50,90,75,300
ST,medium,bKUxTtubP9,10,0,10,55,5,20,100
MS,medium,bKUxTtubP9,55,0,5,45,20,35,160
MS,hard,8eLeJBm5SV,80,65,90,85,85,80,485
MS,medium,8eLeJBm5SV,76,52,83,82,88,84,465
MR,hard,8eLeJBm5SV,91,49,1,67,79,62,349
MR,medium,8eLeJBm5SV,87,47,6,67,82,63,352
ST,medium,8eLeJBm5SV,64,45,96,74,81,72,432
MS,easy,8eLeJBm5SV,56,43,5,2,59,25,190
MR,easy,8eLeJBm5SV,58,18,1,16,57,52,202
ST,hard,8eLeJBm5SV,51,53,92,77,62,58,393
ST,easy,8eLeJBm5SV,37,9,15,10,65,53,189
MR,medium,FfPm6QztsA,40,5,60,60,55,55,275
MR,hard,FfPm6QztsA,60,5,50,70,50,60,295
MS,medium,FfPm6QztsA,55,5,70,20,55,25,230
ST,medium,FfPm6QztsA,50,3,65,50,45,6,219
MS,easy,FfPm6QztsA,30,2,9,5,16,1,63
ST,hard,FfPm6QztsA,25,1,26,85,35,10,182
ST,easy,FfPm6QztsA,15,4,16,1,19,1,56
MS,hard,FfPm6QztsA,86,4,84,93,82,96,445
MR,easy,FfPm6QztsA,82,3,28,90,60,66,329
ST,hard,kdi0TDNbL6,60,15,100,47,59,70,351
MS,medium,kdi0TDNbL6,71,52,99,2,71,21,316
MR,medium,kdi0TDNbL6,85,3,1,18,77,0,184
MR,hard,kdi0TDNbL6,100,5,0,35,88,7,235
MS,easy,kdi0TDNbL6,26,13,11,0,15,0,65
ST,medium,kdi0TDNbL6,65,14,85,39,65,20,288
ST,easy,kdi0TDNbL6,60,2,5,2,55,1,125
MR,easy,kdi0TDNbL6,36,1,1,15,25,0,78
MS,hard,kdi0TDNbL6,100,24,95,40,75,45,379
MS,medium,f5NHoRoonR,60,0,13,29,60,15,177
MR,hard,f5NHoRoonR,84,0,50,25,74,53,286
ST,easy,f5NHoRoonR,11,0,0,0,13,0,24
MS,easy,f5NHoRoonR,15,1,1,0,19,5,41
MR,easy,f5NHoRoonR,65,0,1,14,55,36,171
ST,hard,f5NHoRoonR,30,0,2,79,27,56,194
MS,hard,f5NHoRoonR,73,4,6,51,60,76,270
ST,medium,f5NHoRoonR,41,2,1,45,44,60,193
MR,medium,f5NHoRoonR,58,0,0,55,56,73,242
MR,easy,2Rn7YC7ktN,5,0,10,10,2,1,28
MR,hard,2Rn7YC7ktN,20,0,10,20,15,5,70
MS,easy,2Rn7YC7ktN,5,0,5,15,5,5,35
ST,easy,2Rn7YC7ktN,1,0,5,5,4,5,20
MR,medium,2Rn7YC7ktN,15,0,5,10,5,15,50
MS,medium,2Rn7YC7ktN,25,10,5,15,15,5,75
ST,hard,2Rn7YC7ktN,30,15,5,80,36,30,196
ST,medium,2Rn7YC7ktN,30,5,45,65,25,5,175
MS,hard,2Rn7YC7ktN,80,10,60,80,55,60,345
MS,hard,8PPM98ESGr,75,75,85,85,75,85,480
MR,hard,8PPM98ESGr,69,69,69,55,62,65,389
ST,medium,8PPM98ESGr,65,65,65,55,65,65,380
MS,easy,8PPM98ESGr,65,65,65,70,79,80,424
ST,easy,8PPM98ESGr,25,25,25,30,30,30,165
MS,medium,8PPM98ESGr,66,65,65,75,70,70,411
MR,easy,8PPM98ESGr,39,40,40,25,40,40,224
ST,hard,8PPM98ESGr,46,48,54,60,56,60,324
MR,medium,8PPM98ESGr,35,35,35,35,45,45,230
ST,hard,xtgn1TlDJE,70,5,100,85,75,45,380
MR,easy,xtgn1TlDJE,35,5,5,35,60,9,149
ST,medium,xtgn1TlDJE,70,6,80,75,74,55,360
MR,medium,xtgn1TlDJE,49,7,12,32,65,16,181
MS,hard,xtgn1TlDJE,79,17,90,92,90,53,421
MS,medium,xtgn1TlDJE,51,30,42,35,60,26,244
MS,easy,xtgn1TlDJE,45,3,61,26,66,30,231
MR,hard,xtgn1TlDJE,43,7,21,40,65,40,216
ST,easy,xtgn1TlDJE,32,2,13,26,75,23,171
MS,hard,tgdzehXaH9,90,85,100,84,75,75,509
MS,medium,tgdzehXaH9,75,74,35,25,86,10,305
MR,hard,tgdzehXaH9,95,4,1,50,100,91,341
MS,easy,tgdzehXaH9,35,50,35,6,86,15,227
ST,hard,tgdzehXaH9,35,7,100,75,80,65,362
MR,easy,tgdzehXaH9,84,6,1,70,77,81,319
MR,medium,tgdzehXaH9,90,10,4,91,69,94,358
ST,medium,tgdzehXaH9,71,6,95,78,70,75,395
ST,easy,tgdzehXaH9,30,30,50,10,85,60,265
MS,medium,xSgZ6tF2Kx,78,0,56,57,83,49,323
ST,medium,xSgZ6tF2Kx,57,0,79,40,72,29,277
MR,hard,xSgZ6tF2Kx,100,0,1,50,97,27,275
ST,easy,xSgZ6tF2Kx,11,28,18,14,11,1,83
ST,hard,xSgZ6tF2Kx,92,0,98,57,95,29,371
MS,easy,xSgZ6tF2Kx,49,2,0,8,54,4,117
MR,easy,xSgZ6tF2Kx,74,0,0,47,84,7,212
MS,hard,xSgZ6tF2Kx,99,0,98,58,97,2,354
MR,medium,xSgZ6tF2Kx,96,1,0,43,89,11,240
MR,medium,HmPsw2WtYS,70,6,73,60,72,60,341
MS,easy,HmPsw2WtYS,18,1,9,4,8,39,79
MR,easy,HmPsw2WtYS,1,2,4,9,3,13,32
MS,medium,HmPsw2WtYS,71,15,62,36,74,21,279
ST,medium,HmPsw2WtYS,66,15,98,80,70,87,416
ST,easy,HmPsw2WtYS,19,1,9,4,13,8,54
MS,hard,HmPsw2WtYS,64,10,97,96,69,61,397
MR,hard,HmPsw2WtYS,55,0,59,41,58,54,267
ST,hard,HmPsw2WtYS,66,7,87,91,65,78,394
