target_present,key,is_correct,rt,task,level,trial,id
1,right,1,0.8874,ST,easy,15,vXDUnP6HMG
1,right,1,0.8535,ST,easy,16,vXDUnP6HMG
0,left,1,1.1835,ST,hard,1,vXDUnP6HMG
0,left,1,0.8088,ST,hard,2,vXDUnP6HMG
1,left,0,1.0529,ST,hard,3,vXDUnP6HMG
0,left,1,1.8889,ST,hard,4,vXDUnP6HMG
0,left,1,1.4019,ST,hard,5,vXDUnP6HMG
0,left,1,0.7065,ST,hard,6,vXDUnP6HMG
0,right,0,1.1529,ST,hard,7,vXDUnP6HMG
0,left,1,0.837,ST,hard,8,vXDUnP6HMG
1,right,1,0.9203,ST,hard,9,vXDUnP6HMG
1,right,1,0.7527,ST,hard,10,vXDUnP6HMG
0,left,1,0.8044,ST,hard,11,vXDUnP6HMG
0,left,1,0.7361,ST,hard,12,vXDUnP6HMG
1,left,0,0.8544,ST,hard,13,vXDUnP6HMG
1,left,0,1.3759,ST,hard,14,vXDUnP6HMG
1,right,1,1.0387,ST,hard,15,vXDUnP6HMG
0,left,1,1.4725,ST,hard,16,vXDUnP6HMG
1,right,1,0.9973,ST,medium,1,vXDUnP6HMG
0,left,1,1.0618,ST,medium,2,vXDUnP6HMG
0,left,1,0.7359,ST,medium,3,vXDUnP6HMG
0,left,1,0.8866,ST,medium,4,vXDUnP6HMG
0,left,1,0.6592,ST,medium,5,vXDUnP6HMG
0,left,1,0.687,ST,medium,6,vXDUnP6HMG
0,left,1,0.6861,ST,medium,7,vXDUnP6HMG
1,right,1,0.6563,ST,medium,8,vXDUnP6HMG
1,right,1,0.5708,ST,medium,9,vXDUnP6HMG
0,left,1,0.7675,ST,medium,10,vXDUnP6HMG
1,left,0,1.4373,ST,medium,11,vXDUnP6HMG
1,right,1,0.73740000000000006,ST,medium,12,vXDUnP6HMG
0,left,1,0.704,ST,medium,13,vXDUnP6HMG
0,left,1,0.6701,ST,medium,14,vXDUnP6HMG
0,left,1,1.2735,ST,medium,15,vXDUnP6HMG
1,right,1,1.7534,ST,medium,16,vXDUnP6HMG
1,right,1,1.3717,ST,easy,1,Go0eoSC1Hu
0,left,1,0.8761,ST,easy,2,Go0eoSC1Hu
0,left,1,0.8007,ST,easy,3,Go0eoSC1Hu
0,left,1,0.8091,ST,easy,4,Go0eoSC1Hu
1,right,1,0.7933,ST,easy,5,Go0eoSC1Hu
0,left,1,0.7848,ST,easy,6,Go0eoSC1Hu
1,right,1,0.6702,ST,easy,7,Go0eoSC1Hu
1,right,1,0.8617,ST,easy,8,Go0eoSC1Hu
0,left,1,0.5991,ST,easy,9,Go0eoSC1Hu
1,right,1,0.8505,ST,easy,10,Go0eoSC1Hu
0,left,1,0.7045,ST,easy,11,Go0eoSC1Hu
0,left,1,0.6663,ST,easy,12,Go0eoSC1Hu
1,right,1,0.7583,ST,easy,13,Go0eoSC1Hu
1,right,1,0.823,ST,easy,14,Go0eoSC1Hu
1,right,1,0.6742,ST,easy,15,Go0eoSC1Hu
1,right,1,0.616,ST,easy,16,Go0eoSC1Hu
1,right,1,1.3855,ST,hard,1,Go0eoSC1Hu
1,left,0,1.7484,ST,hard,2,Go0eoSC1Hu
1,left,0,1.0923,ST,hard,3,Go0eoSC1Hu
0,right,0,1.5542,ST,hard,4,Go0eoSC1Hu
0,left,1,1.0013,ST,hard,5,Go0eoSC1Hu
1,right,1,0.8679,ST,hard,6,Go0eoSC1Hu
1,right,1,0.9537,ST,hard,7,Go0eoSC1Hu
1,right,1,1.9745,ST,hard,8,Go0eoSC1Hu
1,left,0,2.191,ST,hard,9,Go0eoSC1Hu
0,left,1,0.9079,ST,hard,10,Go0eoSC1Hu
1,right,1,0.7005,ST,hard,11,Go0eoSC1Hu
0,left,1,1.0824,ST,hard,12,Go0eoSC1Hu
1,right,1,0.6862,ST,hard,13,Go0eoSC1Hu
0,left,1,1.7025,ST,hard,14,Go0eoSC1Hu
0,left,1,0.7403,ST,hard,15,Go0eoSC1Hu
0,left,1,0.7243,ST,hard,16,Go0eoSC1Hu
0,left,1,4.5782,ST,medium,1,Go0eoSC1Hu
1,right,1,3.0618,ST,medium,2,Go0eoSC1Hu
0,left,1,1.4592,ST,medium,3,Go0eoSC1Hu
1,right,1,1.7149,ST,medium,4,Go0eoSC1Hu
0,left,1,2.1006,ST,medium,5,Go0eoSC1Hu
0,left,1,1.5516,ST,medium,6,Go0eoSC1Hu
0,left,1,1.9544,ST,medium,7,Go0eoSC1Hu
0,left,1,1.5799,ST,medium,8,Go0eoSC1Hu
1,right,1,2.3233,ST,medium,9,Go0eoSC1Hu
1,right,1,1.3667,ST,medium,10,Go0eoSC1Hu
0,left,1,1.3435,ST,medium,11,Go0eoSC1Hu
1,right,1,1.6571,ST,medium,12,Go0eoSC1Hu
0,left,1,1.1841,ST,medium,13,Go0eoSC1Hu
1,right,1,1.2842,ST,medium,14,Go0eoSC1Hu
1,left,0,1.5835,ST,medium,15,Go0eoSC1Hu
0,left,1,12.3985,ST,medium,16,Go0eoSC1Hu
0,left,1,1.1098,ST,easy,1,uofo7FKPdo
