id,task,level,EF_w,FR_w,ME_w,PE_w,TI_w,PH_w,OW_w
jKBHzXx0Pg,MR,easy,17.333333333333332,8,23.333333333333332,2,3,0,53.666666666666664
jKBHzXx0Pg,MR,medium,16,13,19.666666666666664,2.2666666666666666,3,0,53.93333333333333
jKBHzXx0Pg,MR,hard,20.53333333333333,14,25,3.6,4,0,67.13333333333333
jKBHzXx0Pg,MS,easy,14.666666666666666,5.333333333333333,11,0.3333333333333333,15,0,46.333333333333336
jKBHzXx0Pg,MS,medium,21.333333333333332,10,15,0.6666666666666666,26.666666666666664,0,73.66666666666666
jKBHzXx0Pg,MS,hard,24,12,18,1.6666666666666667,28.333333333333332,0,84
jKBHzXx0Pg,ST,easy,12,3.6666666666666665,7.333333333333333,1.3333333333333333,20,0,44.33333333333333
jKBHzXx0Pg,ST,hard,15,4.133333333333333,10,4,26.666666666666664,0,59.8
jKBHzXx0Pg,ST,medium,13,2.3333333333333335,8,1.8666666666666667,22.333333333333332,0,47.53333333333333
TqUBvW8Aaz,MR,medium,16,24.266666666666666,30,4.666666666666667,1.0666666666666667,0,76
TqUBvW8Aaz,MR,hard,16,21.6,30,6.533333333333333,1.7333333333333334,0,75.86666666666667
TqUBvW8Aaz,MR,easy,10,14.4,7,4.533333333333333,0.9333333333333333,0,36.86666666666667
TqUBvW8Aaz,MS,easy,5,2.6666666666666665,9.066666666666666,0.4,5,0,22.133333333333336
TqUBvW8Aaz,MS,medium,19,13.066666666666666,25.066666666666666,0.4,26.666666666666664,0,84.19999999999999
TqUBvW8Aaz,MS,hard,20,13.333333333333334,26.666666666666668,3.3333333333333335,33,0,96.33333333333333
TqUBvW8Aaz,ST,hard,9.333333333333334,15.8,4.333333333333333,10,33,1.6666666666666667,74.13333333333334
TqUBvW8Aaz,ST,easy,2.8,6,1.6666666666666667,1.2000000000000002,11.666666666666666,1.0666666666666667,24.4
TqUBvW8Aaz,ST,medium,11.2,18,5.333333333333333,10,33,2.4,79.93333333333334
WAh9qhgg6o,MR,medium,3.3333333333333335,3,10.666666666666666,3,0,0.6666666666666666,20.666666666666664
WAh9qhgg6o,MR,easy,2.6666666666666665,4,8,5,1.3333333333333333,1.3333333333333333,22.333333333333336
WAh9qhgg6o,MR,hard,2,1,4,4,1.3333333333333333,1.3333333333333333,13.666666666666666
WAh9qhgg6o,MS,easy,12,0,15,0.6666666666666666,15,5,47.666666666666664
WAh9qhgg6o,MS,medium,16,0,16,3,30,8,73
WAh9qhgg6o,MS,hard,15,0,14,4,28.333333333333332,7,68.33333333333333
WAh9qhgg6o,ST,easy,0.6666666666666666,1.3333333333333333,4,0,5,0,11
WAh9qhgg6o,ST,medium,1.8666666666666667,4.4,10.133333333333333,6.6000000000000005,31.333333333333332,0,54.333333333333336
WAh9qhgg6o,ST,hard,1.5333333333333332,6.666666666666667,23.733333333333334,7.800000000000001,33.33333333333333,0,73.06666666666666
6xDo1DDaCf,MR,easy,13.333333333333334,3.3333333333333335,16,0.3333333333333333,6.666666666666667,0,39.66666666666667
6xDo1DDaCf,MR,medium,13.333333333333334,3.3333333333333335,12,0,3.3333333333333335,0,32
6xDo1DDaCf,MR,hard,20,4,13,1.6666666666666665,2,0,40.66666666666667
6xDo1DDaCf,MS,hard,8,5.266666666666667,24,1.6666666666666665,14,0,52.93333333333333
6xDo1DDaCf,MS,easy,3.3333333333333335,1.6666666666666667,9.333333333333334,0,2,0,16.333333333333336
6xDo1DDaCf,MS,medium,10.666666666666666,4.666666666666667,19.733333333333334,0,10,0,45.06666666666666
6xDo1DDaCf,ST,medium,20,10,13,0,2,0,45
6xDo1DDaCf,ST,easy,14.666666666666666,6.666666666666667,11,0,1.3333333333333333,0,33.666666666666664
6xDo1DDaCf,ST,hard,24,11.2,18.8,0,2,0,56
9ZffIZqFHz,MR,easy,15,9.333333333333334,25,7.800000000000001,3.3333333333333335,0,60.46666666666667
9ZffIZqFHz,MR,medium,12.200000000000001,5.2,14.666666666666666,5,6,0,43.06666666666667
9ZffIZqFHz,MR,hard,11,2.6666666666666665,16.666666666666664,6,2,0,38.33333333333333
9ZffIZqFHz,MS,medium,8.533333333333333,1,26.666666666666664,0.06666666666666667,17.6,0,53.86666666666667
9ZffIZqFHz,MS,hard,13.333333333333334,18,33,4.333333333333333,25.333333333333332,0,94
9ZffIZqFHz,MS,easy,2.8,0.2,5,0.06666666666666667,2.933333333333333,0,11
9ZffIZqFHz,ST,easy,4,1.6,9.466666666666667,3,28.333333333333332,0,46.4
9ZffIZqFHz,ST,medium,5,18.666666666666668,11.866666666666667,9.200000000000001,33,0,77.73333333333333
9ZffIZqFHz,ST,hard,4.8,25.066666666666666,9.2,13,33,0,85.06666666666666
wiRZfBYOru,MR,hard,18.133333333333333,15.4,9.2,8.133333333333333,0,18.666666666666668,69.53333333333333
wiRZfBYOru,MR,medium,18.4,13.8,9.066666666666666,4.133333333333333,0,18.933333333333334,64.33333333333333
wiRZfBYOru,MR,easy,17.066666666666666,11.4,10.666666666666666,2.2666666666666666,0,18.133333333333333,59.533333333333324
wiRZfBYOru,MS,easy,1.3333333333333333,0.9333333333333333,2,0.13333333333333333,0.7333333333333333,1.8,6.933333333333334
wiRZfBYOru,MS,hard,26.133333333333333,12.533333333333333,19,2.2666666666666666,6.066666666666666,15.8,81.79999999999998
wiRZfBYOru,MS,medium,22.933333333333334,11.066666666666666,17.2,0.9333333333333333,5.666666666666667,17,74.8
wiRZfBYOru,ST,medium,19.466666666666665,13.8,15,1.4,0,18.666666666666668,68.33333333333333
wiRZfBYOru,ST,easy,13.066666666666666,10.200000000000001,10,0.4,0,13.333333333333334,47
wiRZfBYOru,ST,hard,23.2,17.8,15.8,0.8,0,15.466666666666667,73.06666666666666
cCWrG11sgp,MR,easy,20,1.9333333333333333,7.733333333333333,0,16.666666666666664,2.8000000000000003,49.133333333333326
cCWrG11sgp,MR,medium,20,2.6666666666666665,10,0,23.333333333333332,15.200000000000001,71.2
cCWrG11sgp,MR,hard,26.666666666666668,5.866666666666666,12,0,28,7.800000000000001,80.33333333333333
cCWrG11sgp,MS,hard,26.666666666666668,7.333333333333333,17,0,33,2.4,86.39999999999999
cCWrG11sgp,MS,medium,26.666666666666668,8,17.8,0,33.33333333333333,3,88.8
cCWrG11sgp,MS,easy,22.666666666666668,10.266666666666666,15,0,31.333333333333332,2.3333333333333335,81.6
cCWrG11sgp,ST,hard,18,5.333333333333333,22.666666666666668,4.333333333333333,26.333333333333332,0,76.66666666666667
cCWrG11sgp,ST,easy,20,7.333333333333333,17.333333333333332,3.3333333333333335,33.33333333333333,0,81.33333333333333
cCWrG11sgp,ST,medium,20,10.266666666666666,21.866666666666667,3,32.666666666666664,0,87.8
gI6hCgCchT,MR,medium,9.333333333333334,3.3333333333333335,23.333333333333332,3,1.6,0,40.6
gI6hCgCchT,MR,easy,2,0.7333333333333333,6.666666666666666,0.2,0.26666666666666666,0,9.866666666666665
gI6hCgCchT,MR,hard,8.133333333333333,5,21.333333333333332,10,5.333333333333333,0,49.8
gI6hCgCchT,MS,easy,5,0.3333333333333333,16,0.6666666666666666,6.666666666666667,0,28.666666666666668
gI6hCgCchT,MS,medium,19,31,26.133333333333333,3.3333333333333335,12,0,91.46666666666667
gI6hCgCchT,MS,hard,19.8,33,26.666666666666668,6.6,13.2,0,99.26666666666667
