id,task,level,pool,scale,score_w,score
TqUBvW8Aaz,MS,hard,pool1,FR,13.333333333333334,100
TqUBvW8Aaz,MS,hard,pool1,ME,26.666666666666668,100
TqUBvW8Aaz,MS,hard,pool1,PE,3.3333333333333335,50
TqUBvW8Aaz,MS,hard,pool1,TI,33,99
TqUBvW8Aaz,MS,hard,pool1,PH,0,50
TqUBvW8Aaz,MS,hard,pool1,OW,96.33333333333333,499
TqUBvW8Aaz,ST,hard,pool1,EF,9.333333333333334,70
TqUBvW8Aaz,ST,hard,pool1,FR,15.8,79
TqUBvW8Aaz,ST,hard,pool1,ME,4.333333333333333,65
TqUBvW8Aaz,ST,hard,pool1,PE,10,50
TqUBvW8Aaz,ST,hard,pool1,TI,33,99
TqUBvW8Aaz,ST,hard,pool1,PH,1.6666666666666667,25
TqUBvW8Aaz,ST,hard,pool1,OW,74.13333333333334,388
TqUBvW8Aaz,ST,easy,pool1,EF,2.8,21
TqUBvW8Aaz,ST,easy,pool1,FR,6,30
TqUBvW8Aaz,ST,easy,pool1,ME,1.6666666666666667,25
TqUBvW8Aaz,ST,easy,pool1,PE,1.2000000000000002,6
TqUBvW8Aaz,ST,easy,pool1,TI,11.666666666666666,35
TqUBvW8Aaz,ST,easy,pool1,PH,1.0666666666666667,16
TqUBvW8Aaz,ST,easy,pool1,OW,24.4,133
TqUBvW8Aaz,ST,medium,pool1,EF,11.2,84
TqUBvW8Aaz,ST,medium,pool1,FR,18,90
TqUBvW8Aaz,ST,medium,pool1,ME,5.333333333333333,80
TqUBvW8Aaz,ST,medium,pool1,PE,10,50
TqUBvW8Aaz,ST,medium,pool1,TI,33,99
TqUBvW8Aaz,ST,medium,pool1,PH,2.4,36
TqUBvW8Aaz,ST,medium,pool1,OW,79.93333333333334,439
WAh9qhgg6o,MR,medium,pool1,EF,3.3333333333333335,25
WAh9qhgg6o,MR,medium,pool1,FR,3,15
WAh9qhgg6o,MR,medium,pool1,ME,10.666666666666666,40
WAh9qhgg6o,MR,medium,pool1,PE,3,15
WAh9qhgg6o,MR,medium,pool1,TI,0,0
WAh9qhgg6o,MR,medium,pool1,PH,0.6666666666666666,10
WAh9qhgg6o,MR,medium,pool1,OW,20.666666666666664,105
WAh9qhgg6o,MR,easy,pool1,EF,2.6666666666666665,20
WAh9qhgg6o,MR,easy,pool1,FR,4,20
WAh9qhgg6o,MR,easy,pool1,ME,8,30
WAh9qhgg6o,MR,easy,pool1,PE,5,25
WAh9qhgg6o,MR,easy,pool1,TI,1.3333333333333333,10
WAh9qhgg6o,MR,easy,pool1,PH,1.3333333333333333,20
WAh9qhgg6o,MR,easy,pool1,OW,22.333333333333336,125
WAh9qhgg6o,MR,hard,pool1,EF,2,15
WAh9qhgg6o,MR,hard,pool1,FR,1,5
WAh9qhgg6o,MR,hard,pool1,ME,4,15
WAh9qhgg6o,MR,hard,pool1,PE,4,20
WAh9qhgg6o,MR,hard,pool1,TI,1.3333333333333333,10
WAh9qhgg6o,MR,hard,pool1,PH,1.3333333333333333,20
WAh9qhgg6o,MR,hard,pool1,OW,13.666666666666666,85
WAh9qhgg6o,MS,easy,pool1,EF,12,60
WAh9qhgg6o,MS,easy,pool1,FR,0,25
WAh9qhgg6o,MS,easy,pool1,ME,15,75
WAh9qhgg6o,MS,easy,pool1,PE,0.6666666666666666,10
WAh9qhgg6o,MS,easy,pool1,TI,15,45
WAh9qhgg6o,MS,easy,pool1,PH,5,25
WAh9qhgg6o,MS,easy,pool1,OW,47.666666666666664,240
WAh9qhgg6o,MS,medium,pool1,EF,16,80
WAh9qhgg6o,MS,medium,pool1,FR,0,65
WAh9qhgg6o,MS,medium,pool1,ME,16,80
WAh9qhgg6o,MS,medium,pool1,PE,3,45
WAh9qhgg6o,MS,medium,pool1,TI,30,90
WAh9qhgg6o,MS,medium,pool1,PH,8,40
WAh9qhgg6o,MS,medium,pool1,OW,73,400
WAh9qhgg6o,MS,hard,pool1,EF,15,75
WAh9qhgg6o,MS,hard,pool1,FR,0,60
WAh9qhgg6o,MS,hard,pool1,ME,14,70
WAh9qhgg6o,MS,hard,pool1,PE,4,60
WAh9qhgg6o,MS,hard,pool1,TI,28.333333333333332,85
WAh9qhgg6o,MS,hard,pool1,PH,7,35
WAh9qhgg6o,MS,hard,pool1,OW,68.33333333333333,385
WAh9qhgg6o,ST,easy,pool1,EF,0.6666666666666666,10
WAh9qhgg6o,ST,easy,pool1,FR,1.3333333333333333,10
WAh9qhgg6o,ST,easy,pool1,ME,4,15
WAh9qhgg6o,ST,easy,pool1,PE,0,0
WAh9qhgg6o,ST,easy,pool1,TI,5,15
WAh9qhgg6o,ST,easy,pool1,PH,0,1
WAh9qhgg6o,ST,easy,pool1,OW,11,51
WAh9qhgg6o,ST,medium,pool1,EF,1.8666666666666667,28
WAh9qhgg6o,ST,medium,pool1,FR,4.4,33
WAh9qhgg6o,ST,medium,pool1,ME,10.133333333333333,38
WAh9qhgg6o,ST,medium,pool1,PE,6.6000000000000005,33
WAh9qhgg6o,ST,medium,pool1,TI,31.333333333333332,94
WAh9qhgg6o,ST,medium,pool1,PH,0,12
WAh9qhgg6o,ST,medium,pool1,OW,54.333333333333336,238
WAh9qhgg6o,ST,hard,pool1,EF,1.5333333333333332,23
WAh9qhgg6o,ST,hard,pool1,FR,6.666666666666667,50
WAh9qhgg6o,ST,hard,pool1,ME,23.733333333333334,89
WAh9qhgg6o,ST,hard,pool1,PE,7.800000000000001,39
WAh9qhgg6o,ST,hard,pool1,TI,33.33333333333333,100
WAh9qhgg6o,ST,hard,pool1,PH,0,17
WAh9qhgg6o,ST,hard,pool1,OW,73.06666666666666,318
6xDo1DDaCf,MR,easy,pool1,EF,13.333333333333334,50
6xDo1DDaCf,MR,easy,pool1,FR,3.3333333333333335,50
6xDo1DDaCf,MR,easy,pool1,ME,16,80
6xDo1DDaCf,MR,easy,pool1,PE,0.3333333333333333,1
6xDo1DDaCf,MR,easy,pool1,TI,6.666666666666667,50
6xDo1DDaCf,MR,easy,pool1,PH,0,20
6xDo1DDaCf,MR,easy,pool1,OW,39.66666666666667,251
6xDo1DDaCf,MR,medium,pool1,EF,13.333333333333334,50
6xDo1DDaCf,MR,medium,pool1,FR,3.3333333333333335,50
6xDo1DDaCf,MR,medium,pool1,ME,12,60
6xDo1DDaCf,MR,medium,pool1,PE,0,0
6xDo1DDaCf,MR,medium,pool1,TI,3.3333333333333335,25
6xDo1DDaCf,MR,medium,pool1,PH,0,20
6xDo1DDaCf,MR,medium,pool1,OW,32,205
6xDo1DDaCf,MR,hard,pool1,EF,20,75
6xDo1DDaCf,MR,hard,pool1,FR,4,60
6xDo1DDaCf,MR,hard,pool1,ME,13,65
6xDo1DDaCf,MR,hard,pool1,PE,1.6666666666666665,5
6xDo1DDaCf,MR,hard,pool1,TI,2,15
6xDo1DDaCf,MR,hard,pool1,PH,0,25
6xDo1DDaCf,MR,hard,pool1,OW,40.66666666666667,245
6xDo1DDaCf,MS,hard,pool1,EF,8,60
6xDo1DDaCf,MS,hard,pool1,FR,5.266666666666667,79
6xDo1DDaCf,MS,hard,pool1,ME,24,90
6xDo1DDaCf,MS,hard,pool1,PE,1.6666666666666665,5
6xDo1DDaCf,MS,hard,pool1,TI,14,70
6xDo1DDaCf,MS,hard,pool1,PH,0,50
