target_present,key,is_correct,rt,task,level,trial,id,pool
1,right,1,1.321,ST,hard,16,TqUBvW8Aaz,pool1
1,right,1,1.9684,ST,medium,1,TqUBvW8Aaz,pool1
1,right,1,2.3244,ST,medium,2,TqUBvW8Aaz,pool1
0,right,0,3.6992,ST,medium,3,TqUBvW8Aaz,pool1
0,left,1,1.4426,ST,medium,4,TqUBvW8Aaz,pool1
0,left,1,2.3118,ST,medium,5,TqUBvW8Aaz,pool1
0,left,1,1.4486,ST,medium,6,TqUBvW8Aaz,pool1
1,left,0,3.3589,ST,medium,7,TqUBvW8Aaz,pool1
1,right,1,1.0269,ST,medium,8,TqUBvW8Aaz,pool1
1,left,0,1.928,ST,medium,9,TqUBvW8Aaz,pool1
1,right,1,0.9937,ST,medium,10,TqUBvW8Aaz,pool1
0,left,1,1.4962,ST,medium,11,TqUBvW8Aaz,pool1
1,right,1,4.9978,ST,medium,12,TqUBvW8Aaz,pool1
0,left,1,1.1601,ST,medium,13,TqUBvW8Aaz,pool1
1,right,1,0.6179,ST,medium,14,TqUBvW8Aaz,pool1
1,left,0,3.2216,ST,medium,15,TqUBvW8Aaz,pool1
0,left,1,1.1213,ST,medium,16,TqUBvW8Aaz,pool1
0,left,1,1.319,ST,easy,1,WAh9qhgg6o,pool1
1,right,1,1.055,ST,easy,2,WAh9qhgg6o,pool1
0,left,1,1.133,ST,easy,3,WAh9qhgg6o,pool1
1,right,1,1.2,ST,easy,4,WAh9qhgg6o,pool1
1,right,1,0.933,ST,easy,5,WAh9qhgg6o,pool1
0,left,1,0.787,ST,easy,6,WAh9qhgg6o,pool1
1,right,1,1.027,ST,easy,7,WAh9qhgg6o,pool1
1,right,1,1.08,ST,easy,8,WAh9qhgg6o,pool1
1,right,1,0.734,ST,easy,9,WAh9qhgg6o,pool1
0,left,1,0.721,ST,easy,10,WAh9qhgg6o,pool1
1,right,1,0.854,ST,easy,11,WAh9qhgg6o,pool1
1,right,1,1.201,ST,easy,12,WAh9qhgg6o,pool1
0,left,1,0.881,ST,easy,13,WAh9qhgg6o,pool1
1,right,1,0.681,ST,easy,14,WAh9qhgg6o,pool1
0,left,1,0.761,ST,easy,15,WAh9qhgg6o,pool1
1,right,1,0.841,ST,easy,16,WAh9qhgg6o,pool1
1,right,1,1.01,ST,hard,1,WAh9qhgg6o,pool1
0,right,0,1.56,ST,hard,2,WAh9qhgg6o,pool1
1,left,0,0.883,ST,hard,3,WAh9qhgg6o,pool1
0,left,1,1.014,ST,hard,4,WAh9qhgg6o,pool1
1,right,1,0.561,ST,hard,5,WAh9qhgg6o,pool1
1,right,1,0.627,ST,hard,6,WAh9qhgg6o,pool1
0,left,1,0.747,ST,hard,7,WAh9qhgg6o,pool1
0,right,0,1.12,ST,hard,8,WAh9qhgg6o,pool1
1,right,1,0.614,ST,hard,9,WAh9qhgg6o,pool1
1,left,0,1.293,ST,hard,10,WAh9qhgg6o,pool1
1,right,1,0.574,ST,hard,11,WAh9qhgg6o,pool1
1,left,0,0.751,ST,hard,12,WAh9qhgg6o,pool1
