task_type,choice,n,w,id,pool
mental_rotation,ME,2,0.13333333333333333,cCWrG11sgp,pool2
mental_rotation,PH,3,0.2,cCWrG11sgp,pool2
mental_rotation,TI,5,0.3333333333333333,cCWrG11sgp,pool2
mental_span,EF,4,0.26666666666666666,cCWrG11sgp,pool2
mental_span,FR,2,0.13333333333333333,cCWrG11sgp,pool2
mental_span,ME,3,0.2,cCWrG11sgp,pool2
mental_span,PH,1,0.06666666666666667,cCWrG11sgp,pool2
mental_span,TI,5,0.3333333333333333,cCWrG11sgp,pool2
sternberg,EF,3,0.2,cCWrG11sgp,pool2
sternberg,FR,2,0.13333333333333333,cCWrG11sgp,pool2
sternberg,ME,4,0.26666666666666666,cCWrG11sgp,pool2
sternberg,PE,1,0.06666666666666667,cCWrG11sgp,pool2
sternberg,TI,5,0.3333333333333333,cCWrG11sgp,pool2
mental_rotation,EF,2,0.13333333333333333,gI6hCgCchT,pool2
mental_rotation,FR,1,0.06666666666666667,gI6hCgCchT,pool2
mental_rotation,ME,5,0.3333333333333333,gI6hCgCchT,pool2
mental_rotation,PE,3,0.2,gI6hCgCchT,pool2
mental_rotation,TI,4,0.26666666666666666,gI6hCgCchT,pool2
mental_span,EF,3,0.2,gI6hCgCchT,pool2
mental_span,FR,5,0.3333333333333333,gI6hCgCchT,pool2
mental_span,ME,4,0.26666666666666666,gI6hCgCchT,pool2
mental_span,PE,1,0.06666666666666667,gI6hCgCchT,pool2
mental_span,TI,2,0.13333333333333333,gI6hCgCchT,pool2
sternberg,EF,3,0.2,gI6hCgCchT,pool2
sternberg,FR,4,0.26666666666666666,gI6hCgCchT,pool2
sternberg,ME,5,0.3333333333333333,gI6hCgCchT,pool2
sternberg,PE,1,0.06666666666666667,gI6hCgCchT,pool2
sternberg,TI,2,0.13333333333333333,gI6hCgCchT,pool2
mental_rotation,EF,3,0.2,kGWL9y5AS9,pool2
mental_rotation,FR,5,0.3333333333333333,kGWL9y5AS9,pool2
mental_rotation,ME,4,0.26666666666666666,kGWL9y5AS9,pool2
mental_rotation,PE,1,0.06666666666666667,kGWL9y5AS9,pool2
mental_rotation,PH,2,0.13333333333333333,kGWL9y5AS9,pool2
mental_span,EF,3,0.2,kGWL9y5AS9,pool2
mental_span,ME,5,0.3333333333333333,kGWL9y5AS9,pool2
mental_span,PE,4,0.26666666666666666,kGWL9y5AS9,pool2
mental_span,PH,2,0.13333333333333333,kGWL9y5AS9,pool2
mental_span,TI,1,0.06666666666666667,kGWL9y5AS9,pool2
sternberg,EF,5,0.3333333333333333,kGWL9y5AS9,pool2
sternberg,ME,3,0.2,kGWL9y5AS9,pool2
sternberg,PE,3,0.2,kGWL9y5AS9,pool2
sternberg,PH,2,0.13333333333333333,kGWL9y5AS9,pool2
sternberg,TI,2,0.13333333333333333,kGWL9y5AS9,pool2
mental_rotation,EF,2,0.13333333333333333,ntoLpzjCrW,pool2
mental_rotation,FR,5,0.3333333333333333,ntoLpzjCrW,pool2
mental_rotation,ME,3,0.2,ntoLpzjCrW,pool2
mental_rotation,PE,1,0.06666666666666667,ntoLpzjCrW,pool2
mental_rotation,TI,4,0.26666666666666666,ntoLpzjCrW,pool2
mental_span,EF,1,0.06666666666666667,ntoLpzjCrW,pool2
mental_span,FR,2,0.13333333333333333,ntoLpzjCrW,pool2
mental_span,ME,4,0.26666666666666666,ntoLpzjCrW,pool2
mental_span,PE,4,0.26666666666666666,ntoLpzjCrW,pool2
mental_span,TI,4,0.26666666666666666,ntoLpzjCrW,pool2
sternberg,EF,1,0.06666666666666667,ntoLpzjCrW,pool2
sternberg,FR,3,0.2,ntoLpzjCrW,pool2
sternberg,ME,5,0.3333333333333333,ntoLpzjCrW,pool2
sternberg,PE,3,0.2,ntoLpzjCrW,pool2
sternberg,TI,3,0.2,ntoLpzjCrW,pool2
mental_rotation,EF,2,0.13333333333333333,12zOSfawTO,pool2
mental_rotation,FR,1,0.06666666666666667,12zOSfawTO,pool2
mental_rotation,ME,4,0.26666666666666666,12zOSfawTO,pool2
mental_rotation,PE,5,0.3333333333333333,12zOSfawTO,pool2
mental_rotation,PH,1,0.06666666666666667,12zOSfawTO,pool2
mental_rotation,TI,2,0.13333333333333333,12zOSfawTO,pool2
mental_span,EF,3,0.2,12zOSfawTO,pool2
mental_span,FR,4,0.26666666666666666,12zOSfawTO,pool2
mental_span,ME,2,0.13333333333333333,12zOSfawTO,pool2
mental_span,PE,1,0.06666666666666667,12zOSfawTO,pool2
mental_span,PH,1,0.06666666666666667,12zOSfawTO,pool2
mental_span,TI,4,0.26666666666666666,12zOSfawTO,pool2
sternberg,EF,2,0.13333333333333333,12zOSfawTO,pool2
sternberg,FR,5,0.3333333333333333,12zOSfawTO,pool2
sternberg,ME,2,0.13333333333333333,12zOSfawTO,pool2
sternberg,PE,2,0.13333333333333333,12zOSfawTO,pool2
sternberg,PH,1,0.06666666666666667,12zOSfawTO,pool2
sternberg,TI,3,0.2,12zOSfawTO,pool2
mental_rotation,EF,4,0.26666666666666666,DVCsNitb7p,pool2
mental_rotation,FR,2,0.13333333333333333,DVCsNitb7p,pool2
mental_rotation,ME,3,0.2,DVCsNitb7p,pool2
mental_rotation,PE,1,0.06666666666666667,DVCsNitb7p,pool2
mental_rotation,TI,5,0.3333333333333333,DVCsNitb7p,pool2
mental_span,EF,2,0.13333333333333333,DVCsNitb7p,pool2
mental_span,FR,3,0.2,DVCsNitb7p,pool2
