trials,task,level,n,rt,acc,id
2,MS,medium,5,NA,1,vXDUnP6HMG
2,MS,hard,7,NA,1,vXDUnP6HMG
3,MS,easy,3,NA,1,vXDUnP6HMG
3,MS,medium,5,NA,1,vXDUnP6HMG
3,MS,hard,6,NA,0.8571428571428571,vXDUnP6HMG
4,MS,easy,3,NA,1,vXDUnP6HMG
4,MS,medium,5,NA,1,vXDUnP6HMG
4,MS,hard,7,NA,1,vXDUnP6HMG
5,MS,easy,3,NA,1,vXDUnP6HMG
5,MS,medium,5,NA,1,vXDUnP6HMG
5,MS,hard,6,NA,0.8571428571428571,vXDUnP6HMG
6,MS,easy,3,NA,1,vXDUnP6HMG
6,MS,medium,5,NA,1,vXDUnP6HMG
6,MS,hard,6,NA,0.8571428571428571,vXDUnP6HMG
7,MS,easy,2,NA,0.6666666666666666,vXDUnP6HMG
7,MS,medium,4,NA,0.8,vXDUnP6HMG
7,MS,hard,6,NA,0.8571428571428571,vXDUnP6HMG
8,MS,easy,3,NA,1,vXDUnP6HMG
8,MS,medium,5,NA,1,vXDUnP6HMG
8,MS,hard,6,NA,0.8571428571428571,vXDUnP6HMG
9,MS,easy,3,NA,1,vXDUnP6HMG
9,MS,medium,5,NA,1,vXDUnP6HMG
9,MS,hard,5,NA,0.7142857142857143,vXDUnP6HMG
10,MS,easy,3,NA,1,vXDUnP6HMG
10,MS,medium,5,NA,1,vXDUnP6HMG
10,MS,hard,5,NA,0.7142857142857143,vXDUnP6HMG
11,MS,easy,3,NA,1,vXDUnP6HMG
11,MS,medium,5,NA,1,vXDUnP6HMG
11,MS,hard,4,NA,0.5714285714285714,vXDUnP6HMG
12,MS,easy,3,NA,1,vXDUnP6HMG
12,MS,medium,5,NA,1,vXDUnP6HMG
12,MS,hard,6,NA,0.8571428571428571,vXDUnP6HMG
13,MS,easy,3,NA,1,vXDUnP6HMG
13,MS,medium,4,NA,0.8,vXDUnP6HMG
13,MS,hard,6,NA,0.8571428571428571,vXDUnP6HMG
14,MS,easy,3,NA,1,vXDUnP6HMG
14,MS,medium,5,NA,1,vXDUnP6HMG
14,MS,hard,6,NA,0.8571428571428571,vXDUnP6HMG
15,MS,easy,3,NA,1,vXDUnP6HMG
15,MS,medium,5,NA,1,vXDUnP6HMG
15,MS,hard,4,NA,0.5714285714285714,vXDUnP6HMG
16,MS,easy,3,NA,1,vXDUnP6HMG
16,MS,medium,5,NA,1,vXDUnP6HMG
16,MS,hard,4,NA,0.5714285714285714,vXDUnP6HMG
1,MS,easy,3,NA,1,Go0eoSC1Hu
1,MS,medium,5,NA,1,Go0eoSC1Hu
1,MS,hard,6,NA,0.8571428571428571,Go0eoSC1Hu
2,MS,easy,3,NA,1,Go0eoSC1Hu
2,MS,medium,4,NA,0.8,Go0eoSC1Hu
2,MS,hard,7,NA,1,Go0eoSC1Hu
3,MS,easy,3,NA,1,Go0eoSC1Hu
3,MS,medium,5,NA,1,Go0eoSC1Hu
3,MS,hard,6,NA,0.8571428571428571,Go0eoSC1Hu
4,MS,easy,3,NA,1,Go0eoSC1Hu
4,MS,medium,5,NA,1,Go0eoSC1Hu
4,MS,hard,6,NA,0.8571428571428571,Go0eoSC1Hu
5,MS,easy,3,NA,1,Go0eoSC1Hu
5,MS,medium,5,NA,1,Go0eoSC1Hu
5,MS,hard,5,NA,0.7142857142857143,Go0eoSC1Hu
6,MS,easy,3,NA,1,Go0eoSC1Hu
6,MS,medium,5,NA,1,Go0eoSC1Hu
6,MS,hard,5,NA,0.7142857142857143,Go0eoSC1Hu
7,MS,easy,3,NA,1,Go0eoSC1Hu
7,MS,medium,5,NA,1,Go0eoSC1Hu
7,MS,hard,2,NA,0.2857142857142857,Go0eoSC1Hu
8,MS,easy,3,NA,1,Go0eoSC1Hu
8,MS,medium,5,NA,1,Go0eoSC1Hu
8,MS,hard,7,NA,1,Go0eoSC1Hu
9,MS,easy,3,NA,1,Go0eoSC1Hu
9,MS,medium,5,NA,1,Go0eoSC1Hu
9,MS,hard,5,NA,0.7142857142857143,Go0eoSC1Hu
10,MS,easy,3,NA,1,Go0eoSC1Hu
10,MS,medium,5,NA,1,Go0eoSC1Hu
10,MS,hard,4,NA,0.5714285714285714,Go0eoSC1Hu
11,MS,easy,3,NA,1,Go0eoSC1Hu
11,MS,medium,5,NA,1,Go0eoSC1Hu
11,MS,hard,5,NA,0.7142857142857143,Go0eoSC1Hu
12,MS,easy,3,NA,1,Go0eoSC1Hu
12,MS,medium,5,NA,1,Go0eoSC1Hu
12,MS,hard,6,NA,0.8571428571428571,Go0eoSC1Hu
13,MS,easy,3,NA,1,Go0eoSC1Hu
13,MS,medium,5,NA,1,Go0eoSC1Hu
13,MS,hard,6,NA,0.8571428571428571,Go0eoSC1Hu
14,MS,easy,3,NA,1,Go0eoSC1Hu
14,MS,medium,5,NA,1,Go0eoSC1Hu
14,MS,hard,5,NA,0.7142857142857143,Go0eoSC1Hu
