correctAns,key,is_correct,rt,task,level,trial,id,pool
right,right,1,4.149,MR,easy,12,TT3KEsSN3J,pool5
left,left,1,15.1784,MR,easy,13,TT3KEsSN3J,pool5
left,left,1,3.616,MR,easy,14,TT3KEsSN3J,pool5
right,right,1,2.3498,MR,easy,15,TT3KEsSN3J,pool5
left,left,1,4.1157,MR,easy,16,TT3KEsSN3J,pool5
left,left,1,11.5629,MR,medium,1,TT3KEsSN3J,pool5
right,right,1,4.4655,MR,medium,2,TT3KEsSN3J,pool5
left,left,1,8.4347,MR,medium,3,TT3KEsSN3J,pool5
right,right,1,3.0255,MR,medium,4,TT3KEsSN3J,pool5
left,left,1,4.2597,MR,medium,5,TT3KEsSN3J,pool5
left,left,1,3.7264,MR,medium,6,TT3KEsSN3J,pool5
left,left,1,10.3483,MR,medium,7,TT3KEsSN3J,pool5
left,left,1,10.6403,MR,medium,8,TT3KEsSN3J,pool5
left,left,1,4.2353,MR,medium,9,TT3KEsSN3J,pool5
left,left,1,14.2599,MR,medium,10,TT3KEsSN3J,pool5
right,left,0,10.3302,MR,medium,11,TT3KEsSN3J,pool5
right,right,1,9.0182,MR,medium,12,TT3KEsSN3J,pool5
left,left,1,4.9987,MR,medium,13,TT3KEsSN3J,pool5
right,right,1,7.2873,MR,medium,14,TT3KEsSN3J,pool5
left,left,1,5.5319,MR,medium,15,TT3KEsSN3J,pool5
left,left,1,6.8316,MR,medium,16,TT3KEsSN3J,pool5
left,left,1,9.8786,MR,hard,1,TT3KEsSN3J,pool5
left,left,1,5.4484,MR,hard,2,TT3KEsSN3J,pool5
right,right,1,4.3156,MR,hard,3,TT3KEsSN3J,pool5
right,right,1,5.5486,MR,hard,4,TT3KEsSN3J,pool5
right,right,1,8.0642,MR,hard,5,TT3KEsSN3J,pool5
right,right,1,8.9807,MR,hard,6,TT3KEsSN3J,pool5
left,left,1,13.3938,MR,hard,7,TT3KEsSN3J,pool5
left,left,1,9.7806,MR,hard,8,TT3KEsSN3J,pool5
right,right,1,3.849,MR,hard,9,TT3KEsSN3J,pool5
left,left,1,15.2952,MR,hard,10,TT3KEsSN3J,pool5
right,left,0,7.2482,MR,hard,11,TT3KEsSN3J,pool5
right,right,1,5.7062,MR,hard,12,TT3KEsSN3J,pool5
right,left,0,10.7801,MR,hard,13,TT3KEsSN3J,pool5
right,right,1,9.9303,MR,hard,14,TT3KEsSN3J,pool5
right,right,1,3.9325,MR,hard,15,TT3KEsSN3J,pool5
left,right,0,13.6794,MR,hard,16,TT3KEsSN3J,pool5
right,right,1,4.3375,MR,easy,1,t9OiOaQwxH,pool5
left,right,0,4.4558,MR,easy,2,t9OiOaQwxH,pool5
right,right,1,2.7368,MR,easy,3,t9OiOaQwxH,pool5
right,right,1,7.5526,MR,easy,4,t9OiOaQwxH,pool5
left,right,0,2.8861,MR,easy,5,t9OiOaQwxH,pool5
left,right,0,2.0699,MR,easy,6,t9OiOaQwxH,pool5
right,right,1,3.7549,MR,easy,7,t9OiOaQwxH,pool5
left,right,0,2.4202,MR,easy,8,t9OiOaQwxH,pool5
left,right,0,2.9706,MR,easy,9,t9OiOaQwxH,pool5
right,right,1,2.4864,MR,easy,10,t9OiOaQwxH,pool5
left,right,0,2.5523,MR,easy,11,t9OiOaQwxH,pool5
left,right,0,2.3199,MR,easy,12,t9OiOaQwxH,pool5
left,right,0,2.9194,MR,easy,13,t9OiOaQwxH,pool5
right,right,1,3.0377,MR,easy,14,t9OiOaQwxH,pool5
right,right,1,2.3712,MR,easy,15,t9OiOaQwxH,pool5
right,right,1,2.7549,MR,easy,16,t9OiOaQwxH,pool5
left,right,0,2.8548,MR,medium,1,t9OiOaQwxH,pool5
right,right,1,3.3373,MR,medium,2,t9OiOaQwxH,pool5
right,right,1,2.6367,MR,medium,3,t9OiOaQwxH,pool5
right,right,1,8.7119,MR,medium,4,t9OiOaQwxH,pool5
right,right,1,2.6536,MR,medium,5,t9OiOaQwxH,pool5
right,right,1,2.7364,MR,medium,6,t9OiOaQwxH,pool5
left,right,0,3.1379,MR,medium,7,t9OiOaQwxH,pool5
right,right,1,3.0203,MR,medium,8,t9OiOaQwxH,pool5
right,right,1,1.2856,MR,medium,9,t9OiOaQwxH,pool5
right,right,1,3.5561,MR,medium,10,t9OiOaQwxH,pool5
left,right,0,4.1726,MR,medium,11,t9OiOaQwxH,pool5
right,right,1,1.2862,MR,medium,12,t9OiOaQwxH,pool5
right,right,1,1.4863,MR,medium,13,t9OiOaQwxH,pool5
right,right,1,1.4027,MR,medium,14,t9OiOaQwxH,pool5
left,right,0,1.836,MR,medium,15,t9OiOaQwxH,pool5
right,right,1,1.5195,MR,medium,16,t9OiOaQwxH,pool5
right,right,1,17.2352,MR,hard,1,t9OiOaQwxH,pool5
left,left,1,13.4514,MR,hard,2,t9OiOaQwxH,pool5
right,left,0,15.122,MR,hard,3,t9OiOaQwxH,pool5
left,left,1,7.1789,MR,hard,4,t9OiOaQwxH,pool5
left,right,0,8.8532,MR,hard,5,t9OiOaQwxH,pool5
right,right,1,13.9814,MR,hard,6,t9OiOaQwxH,pool5
left,right,0,6.2806,MR,hard,7,t9OiOaQwxH,pool5
left,right,0,4.6892,MR,hard,8,t9OiOaQwxH,pool5
left,right,0,11.6791,MR,hard,9,t9OiOaQwxH,pool5
right,right,1,35.2395,MR,hard,10,t9OiOaQwxH,pool5
left,left,1,5.8572,MR,hard,11,t9OiOaQwxH,pool5
left,right,0,6.5411,MR,hard,12,t9OiOaQwxH,pool5
left,right,0,8.578,MR,hard,13,t9OiOaQwxH,pool5
right,right,1,6.1583,MR,hard,14,t9OiOaQwxH,pool5
right,right,1,10.9474,MR,hard,15,t9OiOaQwxH,pool5
left,right,0,7.5748,MR,hard,16,t9OiOaQwxH,pool5
right,right,1,3.309,MR,easy,1,2W50OifXwA,pool5
left,left,1,3.868,MR,easy,2,2W50OifXwA,pool5
left,left,1,8.022,MR,easy,3,2W50OifXwA,pool5
left,left,1,6.953,MR,easy,4,2W50OifXwA,pool5
right,right,1,2.935,MR,easy,5,2W50OifXwA,pool5
left,left,1,7.404,MR,easy,6,2W50OifXwA,pool5
left,left,1,8.087,MR,easy,7,2W50OifXwA,pool5
left,left,1,5.754,MR,easy,8,2W50OifXwA,pool5
right,right,1,2.353,MR,easy,9,2W50OifXwA,pool5
right,right,1,3.651,MR,easy,10,2W50OifXwA,pool5
right,right,1,3.185,MR,easy,11,2W50OifXwA,pool5
right,right,1,2.486,MR,easy,12,2W50OifXwA,pool5
right,right,1,4.455,MR,easy,13,2W50OifXwA,pool5
right,right,1,3.503,MR,easy,14,2W50OifXwA,pool5
left,left,1,12.023,MR,easy,15,2W50OifXwA,pool5
left,left,1,10.788,MR,easy,16,2W50OifXwA,pool5
right,right,1,6.513,MR,medium,1,2W50OifXwA,pool5
left,left,1,4.201,MR,medium,2,2W50OifXwA,pool5
left,left,1,12.739,MR,medium,3,2W50OifXwA,pool5
right,right,1,4.719,MR,medium,4,2W50OifXwA,pool5
left,left,1,28.047,MR,medium,5,2W50OifXwA,pool5
left,left,1,21.058,MR,medium,6,2W50OifXwA,pool5
right,left,0,7.038,MR,medium,7,2W50OifXwA,pool5
right,right,1,6.17,MR,medium,8,2W50OifXwA,pool5
right,right,1,4.486,MR,medium,9,2W50OifXwA,pool5
left,left,1,10.505,MR,medium,10,2W50OifXwA,pool5
left,left,1,14.827,MR,medium,11,2W50OifXwA,pool5
left,left,1,12.19,MR,medium,12,2W50OifXwA,pool5
left,left,1,5.97,MR,medium,13,2W50OifXwA,pool5
right,right,1,3.201,MR,medium,14,2W50OifXwA,pool5
left,left,1,43.2,MR,medium,15,2W50OifXwA,pool5
right,right,1,2.807,MR,medium,16,2W50OifXwA,pool5
left,left,1,6.366,MR,hard,1,2W50OifXwA,pool5
left,left,1,6.052,MR,hard,2,2W50OifXwA,pool5
left,left,1,16.291,MR,hard,3,2W50OifXwA,pool5
right,right,1,3.067,MR,hard,4,2W50OifXwA,pool5
right,left,0,10.57,MR,hard,5,2W50OifXwA,pool5
left,left,1,7.618,MR,hard,6,2W50OifXwA,pool5
left,left,1,2.479,MR,hard,7,2W50OifXwA,pool5
right,right,1,5.319,MR,hard,8,2W50OifXwA,pool5
right,right,1,3.185,MR,hard,9,2W50OifXwA,pool5
left,left,1,7.788,MR,hard,10,2W50OifXwA,pool5
right,right,1,5.435,MR,hard,11,2W50OifXwA,pool5
left,left,1,18.008,MR,hard,12,2W50OifXwA,pool5
left,left,1,5.203,MR,hard,13,2W50OifXwA,pool5
left,left,1,12.305,MR,hard,14,2W50OifXwA,pool5
right,right,1,2.986,MR,hard,15,2W50OifXwA,pool5
right,right,1,4.219,MR,hard,16,2W50OifXwA,pool5
