level,task,order,id
hard,MS,1,3hMsm8I7aY
easy,MS,2,3hMsm8I7aY
medium,MR,3,3hMsm8I7aY
hard,MR,4,3hMsm8I7aY
easy,MR,5,3hMsm8I7aY
hard,ST,6,3hMsm8I7aY
medium,ST,7,3hMsm8I7aY
medium,MS,8,3hMsm8I7aY
easy,ST,9,3hMsm8I7aY
medium,MS,1,TM72GyUTkf
medium,MR,2,TM72GyUTkf
hard,ST,3,TM72GyUTkf
medium,ST,4,TM72GyUTkf
hard,MS,5,TM72GyUTkf
hard,MR,6,TM72GyUTkf
easy,MS,7,TM72GyUTkf
easy,MR,8,TM72GyUTkf
easy,ST,9,TM72GyUTkf
easy,MS,1,vXDUnP6HMG
easy,ST,2,vXDUnP6HMG
hard,MR,3,vXDUnP6HMG
medium,MR,4,vXDUnP6HMG
medium,ST,5,vXDUnP6HMG
easy,MR,6,vXDUnP6HMG
hard,ST,7,vXDUnP6HMG
hard,MS,8,vXDUnP6HMG
medium,MS,9,vXDUnP6HMG
hard,MS,1,Go0eoSC1Hu
easy,MR,2,Go0eoSC1Hu
medium,ST,3,Go0eoSC1Hu
medium,MS,4,Go0eoSC1Hu
easy,MS,5,Go0eoSC1Hu
easy,ST,6,Go0eoSC1Hu
hard,ST,7,Go0eoSC1Hu
medium,MR,8,Go0eoSC1Hu
hard,MR,9,Go0eoSC1Hu
medium,MS,1,uofo7FKPdo
medium,MR,2,uofo7FKPdo
easy,MS,3,uofo7FKPdo
easy,ST,4,uofo7FKPdo
easy,MR,5,uofo7FKPdo
medium,ST,6,uofo7FKPdo
hard,MR,7,uofo7FKPdo
hard,MS,8,uofo7FKPdo
hard,ST,9,uofo7FKPdo
medium,ST,1,VEZTZ89Pge
hard,MR,2,VEZTZ89Pge
hard,ST,3,VEZTZ89Pge
medium,MS,4,VEZTZ89Pge
easy,ST,5,VEZTZ89Pge
easy,MR,6,VEZTZ89Pge
medium,MR,7,VEZTZ89Pge
hard,MS,8,VEZTZ89Pge
easy,MS,9,VEZTZ89Pge
easy,ST,1,HF94YUUt2C
hard,MR,2,HF94YUUt2C
medium,MR,3,HF94YUUt2C
hard,MS,4,HF94YUUt2C
medium,MS,5,HF94YUUt2C
easy,MR,6,HF94YUUt2C
medium,ST,7,HF94YUUt2C
hard,ST,8,HF94YUUt2C
easy,MS,9,HF94YUUt2C
hard,MR,1,z93bJWn4hw
hard,MS,2,z93bJWn4hw
medium,ST,3,z93bJWn4hw
medium,MS,4,z93bJWn4hw
easy,MR,5,z93bJWn4hw
