task,level,id,pool,scale,score
MS,medium,WAh9qhgg6o,pool1,EF,80
MS,medium,WAh9qhgg6o,pool1,FR,65
MR,medium,WAh9qhgg6o,pool1,ME,40
MR,medium,WAh9qhgg6o,pool1,PH,10
MR,medium,WAh9qhgg6o,pool1,TI,0
MR,medium,WAh9qhgg6o,pool1,PE,15
MR,medium,WAh9qhgg6o,pool1,EF,25
MR,medium,WAh9qhgg6o,pool1,FR,15
ST,easy,WAh9qhgg6o,pool1,ME,15
ST,easy,WAh9qhgg6o,pool1,PH,1
ST,easy,WAh9qhgg6o,pool1,TI,15
ST,easy,WAh9qhgg6o,pool1,PE,0
ST,easy,WAh9qhgg6o,pool1,EF,10
ST,easy,WAh9qhgg6o,pool1,FR,10
MR,easy,WAh9qhgg6o,pool1,ME,30
MR,easy,WAh9qhgg6o,pool1,PH,20
MR,easy,WAh9qhgg6o,pool1,TI,10
MR,easy,WAh9qhgg6o,pool1,PE,25
MR,easy,WAh9qhgg6o,pool1,EF,20
MR,easy,WAh9qhgg6o,pool1,FR,20
MR,hard,WAh9qhgg6o,pool1,ME,15
MR,hard,WAh9qhgg6o,pool1,PH,20
MR,hard,WAh9qhgg6o,pool1,TI,10
MR,hard,WAh9qhgg6o,pool1,PE,20
MR,hard,WAh9qhgg6o,pool1,EF,15
MR,hard,WAh9qhgg6o,pool1,FR,5
MS,hard,WAh9qhgg6o,pool1,ME,70
MS,hard,WAh9qhgg6o,pool1,PH,35
MS,hard,WAh9qhgg6o,pool1,TI,85
MS,hard,WAh9qhgg6o,pool1,PE,60
MS,hard,WAh9qhgg6o,pool1,EF,75
MS,hard,WAh9qhgg6o,pool1,FR,60
ST,medium,WAh9qhgg6o,pool1,ME,38
ST,medium,WAh9qhgg6o,pool1,PH,12
ST,medium,WAh9qhgg6o,pool1,TI,94
ST,medium,WAh9qhgg6o,pool1,PE,33
ST,medium,WAh9qhgg6o,pool1,EF,28
ST,medium,WAh9qhgg6o,pool1,FR,33
ST,hard,WAh9qhgg6o,pool1,ME,89
ST,hard,WAh9qhgg6o,pool1,PH,17
ST,hard,WAh9qhgg6o,pool1,TI,100
ST,hard,WAh9qhgg6o,pool1,PE,39
ST,hard,WAh9qhgg6o,pool1,EF,23
ST,hard,WAh9qhgg6o,pool1,FR,50
MS,hard,6xDo1DDaCf,pool1,ME,90
MS,hard,6xDo1DDaCf,pool1,PH,50
MS,hard,6xDo1DDaCf,pool1,TI,70
MS,hard,6xDo1DDaCf,pool1,PE,5
MS,hard,6xDo1DDaCf,pool1,EF,60
MS,hard,6xDo1DDaCf,pool1,FR,79
MR,easy,6xDo1DDaCf,pool1,ME,80
MR,easy,6xDo1DDaCf,pool1,PH,20
MR,easy,6xDo1DDaCf,pool1,TI,50
MR,easy,6xDo1DDaCf,pool1,PE,1
MR,easy,6xDo1DDaCf,pool1,EF,50
MR,easy,6xDo1DDaCf,pool1,FR,50
MR,medium,6xDo1DDaCf,pool1,ME,60
MR,medium,6xDo1DDaCf,pool1,PH,20
MR,medium,6xDo1DDaCf,pool1,TI,25
MR,medium,6xDo1DDaCf,pool1,PE,0
MR,medium,6xDo1DDaCf,pool1,EF,50
MR,medium,6xDo1DDaCf,pool1,FR,50
