task,level,id,pool,scale,score
ST,easy,ntoLpzjCrW,pool2,PE,20
ST,easy,ntoLpzjCrW,pool2,EF,49
ST,easy,ntoLpzjCrW,pool2,FR,70
MR,hard,12zOSfawTO,pool2,ME,10
MR,hard,12zOSfawTO,pool2,PH,10
MR,hard,12zOSfawTO,pool2,TI,10
MR,hard,12zOSfawTO,pool2,PE,20
MR,hard,12zOSfawTO,pool2,EF,11
MR,hard,12zOSfawTO,pool2,FR,10
MR,easy,12zOSfawTO,pool2,ME,10
MR,easy,12zOSfawTO,pool2,PH,5
MR,easy,12zOSfawTO,pool2,TI,10
MR,easy,12zOSfawTO,pool2,PE,30
MR,easy,12zOSfawTO,pool2,EF,5
MR,easy,12zOSfawTO,pool2,FR,5
MS,medium,12zOSfawTO,pool2,ME,20
MS,medium,12zOSfawTO,pool2,PH,20
MS,medium,12zOSfawTO,pool2,TI,14
MS,medium,12zOSfawTO,pool2,PE,11
MS,medium,12zOSfawTO,pool2,EF,16
MS,medium,12zOSfawTO,pool2,FR,15
MR,medium,12zOSfawTO,pool2,ME,24
MR,medium,12zOSfawTO,pool2,PH,25
MR,medium,12zOSfawTO,pool2,TI,26
MR,medium,12zOSfawTO,pool2,PE,15
MR,medium,12zOSfawTO,pool2,EF,20
MR,medium,12zOSfawTO,pool2,FR,25
MS,easy,12zOSfawTO,pool2,ME,50
MS,easy,12zOSfawTO,pool2,PH,50
MS,easy,12zOSfawTO,pool2,TI,50
MS,easy,12zOSfawTO,pool2,PE,50
MS,easy,12zOSfawTO,pool2,EF,50
MS,easy,12zOSfawTO,pool2,FR,50
MS,hard,12zOSfawTO,pool2,ME,80
MS,hard,12zOSfawTO,pool2,PH,80
MS,hard,12zOSfawTO,pool2,TI,80
MS,hard,12zOSfawTO,pool2,PE,20
MS,hard,12zOSfawTO,pool2,EF,80
MS,hard,12zOSfawTO,pool2,FR,80
ST,hard,12zOSfawTO,pool2,ME,80
ST,hard,12zOSfawTO,pool2,PH,80
ST,hard,12zOSfawTO,pool2,TI,80
ST,hard,12zOSfawTO,pool2,PE,20
ST,hard,12zOSfawTO,pool2,EF,80
ST,hard,12zOSfawTO,pool2,FR,80
ST,easy,12zOSfawTO,pool2,ME,84
ST,easy,12zOSfawTO,pool2,PH,85
ST,easy,12zOSfawTO,pool2,TI,85
ST,easy,12zOSfawTO,pool2,PE,15
ST,easy,12zOSfawTO,pool2,EF,85
ST,easy,12zOSfawTO,pool2,FR,85
ST,medium,12zOSfawTO,pool2,ME,85
ST,medium,12zOSfawTO,pool2,PH,85
ST,medium,12zOSfawTO,pool2,TI,85
ST,medium,12zOSfawTO,pool2,PE,15
ST,medium,12zOSfawTO,pool2,EF,85
ST,medium,12zOSfawTO,pool2,FR,85
ST,hard,DVCsNitb7p,pool2,ME,80
ST,hard,DVCsNitb7p,pool2,PH,32
ST,hard,DVCsNitb7p,pool2,TI,82
ST,hard,DVCsNitb7p,pool2,PE,68
ST,hard,DVCsNitb7p,pool2,EF,64
ST,hard,DVCsNitb7p,pool2,FR,70
ST,medium,DVCsNitb7p,pool2,ME,77
ST,medium,DVCsNitb7p,pool2,PH,14
ST,medium,DVCsNitb7p,pool2,TI,83
ST,medium,DVCsNitb7p,pool2,PE,64
ST,medium,DVCsNitb7p,pool2,EF,83
ST,medium,DVCsNitb7p,pool2,FR,83
MS,easy,DVCsNitb7p,pool2,ME,82
MS,easy,DVCsNitb7p,pool2,PH,42
MS,easy,DVCsNitb7p,pool2,TI,85
MS,easy,DVCsNitb7p,pool2,PE,60
MS,easy,DVCsNitb7p,pool2,EF,84
MS,easy,DVCsNitb7p,pool2,FR,77
MS,medium,DVCsNitb7p,pool2,ME,91
MS,medium,DVCsNitb7p,pool2,PH,52
MS,medium,DVCsNitb7p,pool2,TI,95
MS,medium,DVCsNitb7p,pool2,PE,74
MS,medium,DVCsNitb7p,pool2,EF,92
MS,medium,DVCsNitb7p,pool2,FR,88
MR,hard,DVCsNitb7p,pool2,ME,90
MR,hard,DVCsNitb7p,pool2,PH,59
MR,hard,DVCsNitb7p,pool2,TI,92
MR,hard,DVCsNitb7p,pool2,PE,73
MR,hard,DVCsNitb7p,pool2,EF,89
MR,hard,DVCsNitb7p,pool2,FR,68
MR,medium,DVCsNitb7p,pool2,ME,86
MR,medium,DVCsNitb7p,pool2,PH,51
MR,medium,DVCsNitb7p,pool2,TI,88
MR,medium,DVCsNitb7p,pool2,PE,71
MR,medium,DVCsNitb7p,pool2,EF,83
MR,medium,DVCsNitb7p,pool2,FR,71
ST,easy,DVCsNitb7p,pool2,ME,90
ST,easy,DVCsNitb7p,pool2,PH,53
ST,easy,DVCsNitb7p,pool2,TI,78
ST,easy,DVCsNitb7p,pool2,PE,50
ST,easy,DVCsNitb7p,pool2,EF,67
ST,easy,DVCsNitb7p,pool2,FR,72
MS,hard,DVCsNitb7p,pool2,ME,82
MS,hard,DVCsNitb7p,pool2,PH,86
MS,hard,DVCsNitb7p,pool2,TI,90
MS,hard,DVCsNitb7p,pool2,PE,48
MS,hard,DVCsNitb7p,pool2,EF,82
MS,hard,DVCsNitb7p,pool2,FR,85
MR,easy,DVCsNitb7p,pool2,ME,88
MR,easy,DVCsNitb7p,pool2,PH,69
MR,easy,DVCsNitb7p,pool2,TI,74
MR,easy,DVCsNitb7p,pool2,PE,74
MR,easy,DVCsNitb7p,pool2,EF,64
MR,easy,DVCsNitb7p,pool2,FR,70
MR,medium,sPXXgeOo7t,pool2,ME,65
MR,medium,sPXXgeOo7t,pool2,PH,30
MR,medium,sPXXgeOo7t,pool2,TI,30
MR,medium,sPXXgeOo7t,pool2,PE,25
MR,medium,sPXXgeOo7t,pool2,EF,75
MR,medium,sPXXgeOo7t,pool2,FR,30
MR,easy,sPXXgeOo7t,pool2,ME,60
MR,easy,sPXXgeOo7t,pool2,PH,30
MR,easy,sPXXgeOo7t,pool2,TI,30
MR,easy,sPXXgeOo7t,pool2,PE,35
MR,easy,sPXXgeOo7t,pool2,EF,70
MR,easy,sPXXgeOo7t,pool2,FR,20
ST,hard,sPXXgeOo7t,pool2,ME,100
ST,hard,sPXXgeOo7t,pool2,PH,24
ST,hard,sPXXgeOo7t,pool2,TI,40
ST,hard,sPXXgeOo7t,pool2,PE,45
ST,hard,sPXXgeOo7t,pool2,EF,99
ST,hard,sPXXgeOo7t,pool2,FR,100
MS,medium,sPXXgeOo7t,pool2,ME,100
MS,medium,sPXXgeOo7t,pool2,PH,70
MS,medium,sPXXgeOo7t,pool2,TI,70
MS,medium,sPXXgeOo7t,pool2,PE,25
MS,medium,sPXXgeOo7t,pool2,EF,100
MS,medium,sPXXgeOo7t,pool2,FR,100
MS,easy,sPXXgeOo7t,pool2,ME,70
MS,easy,sPXXgeOo7t,pool2,PH,55
MS,easy,sPXXgeOo7t,pool2,TI,50
MS,easy,sPXXgeOo7t,pool2,PE,0
MS,easy,sPXXgeOo7t,pool2,EF,60
MS,easy,sPXXgeOo7t,pool2,FR,10
ST,easy,sPXXgeOo7t,pool2,ME,65
ST,easy,sPXXgeOo7t,pool2,PH,35
ST,easy,sPXXgeOo7t,pool2,TI,35
ST,easy,sPXXgeOo7t,pool2,PE,0
ST,easy,sPXXgeOo7t,pool2,EF,60
ST,easy,sPXXgeOo7t,pool2,FR,20
ST,medium,sPXXgeOo7t,pool2,ME,80
ST,medium,sPXXgeOo7t,pool2,PH,39
ST,medium,sPXXgeOo7t,pool2,TI,80
ST,medium,sPXXgeOo7t,pool2,PE,25
ST,medium,sPXXgeOo7t,pool2,EF,75
ST,medium,sPXXgeOo7t,pool2,FR,70
MS,hard,sPXXgeOo7t,pool2,ME,100
MS,hard,sPXXgeOo7t,pool2,PH,85
MS,hard,sPXXgeOo7t,pool2,TI,100
MS,hard,sPXXgeOo7t,pool2,PE,20
MS,hard,sPXXgeOo7t,pool2,EF,100
MS,hard,sPXXgeOo7t,pool2,FR,100
MR,hard,sPXXgeOo7t,pool2,ME,75
MR,hard,sPXXgeOo7t,pool2,PH,40
MR,hard,sPXXgeOo7t,pool2,TI,35
MR,hard,sPXXgeOo7t,pool2,PE,30
MR,hard,sPXXgeOo7t,pool2,EF,70
MR,hard,sPXXgeOo7t,pool2,FR,50
MS,easy,ujNKR4re1M,pool2,ME,0
MS,easy,ujNKR4re1M,pool2,PH,0
MS,easy,ujNKR4re1M,pool2,TI,0
MS,easy,ujNKR4re1M,pool2,PE,0
MS,easy,ujNKR4re1M,pool2,EF,0
MS,easy,ujNKR4re1M,pool2,FR,55
MR,medium,ujNKR4re1M,pool2,ME,75
MR,medium,ujNKR4re1M,pool2,PH,0
MR,medium,ujNKR4re1M,pool2,TI,0
MR,medium,ujNKR4re1M,pool2,PE,35
MR,medium,ujNKR4re1M,pool2,EF,100
MR,medium,ujNKR4re1M,pool2,FR,50
MS,hard,ujNKR4re1M,pool2,ME,99
MS,hard,ujNKR4re1M,pool2,PH,0
MS,hard,ujNKR4re1M,pool2,TI,60
MS,hard,ujNKR4re1M,pool2,PE,61
MS,hard,ujNKR4re1M,pool2,EF,99
MS,hard,ujNKR4re1M,pool2,FR,75
ST,easy,ujNKR4re1M,pool2,ME,0
ST,easy,ujNKR4re1M,pool2,PH,0
ST,easy,ujNKR4re1M,pool2,TI,15
ST,easy,ujNKR4re1M,pool2,PE,0
ST,easy,ujNKR4re1M,pool2,EF,30
ST,easy,ujNKR4re1M,pool2,FR,35
MR,hard,ujNKR4re1M,pool2,ME,85
MR,hard,ujNKR4re1M,pool2,PH,0
MR,hard,ujNKR4re1M,pool2,TI,1
MR,hard,ujNKR4re1M,pool2,PE,50
MR,hard,ujNKR4re1M,pool2,EF,75
MR,hard,ujNKR4re1M,pool2,FR,70
MS,medium,ujNKR4re1M,pool2,ME,60
MS,medium,ujNKR4re1M,pool2,PH,0
MS,medium,ujNKR4re1M,pool2,TI,45
MS,medium,ujNKR4re1M,pool2,PE,20
MS,medium,ujNKR4re1M,pool2,EF,90
MS,medium,ujNKR4re1M,pool2,FR,85
MR,easy,ujNKR4re1M,pool2,ME,20
MR,easy,ujNKR4re1M,pool2,PH,0
MR,easy,ujNKR4re1M,pool2,TI,0
MR,easy,ujNKR4re1M,pool2,PE,25
MR,easy,ujNKR4re1M,pool2,EF,10
MR,easy,ujNKR4re1M,pool2,FR,19
ST,hard,ujNKR4re1M,pool2,ME,100
ST,hard,ujNKR4re1M,pool2,PH,0
ST,hard,ujNKR4re1M,pool2,TI,100
ST,hard,ujNKR4re1M,pool2,PE,100
ST,hard,ujNKR4re1M,pool2,EF,0
ST,hard,ujNKR4re1M,pool2,FR,95
ST,medium,ujNKR4re1M,pool2,ME,70
ST,medium,ujNKR4re1M,pool2,PH,0
ST,medium,ujNKR4re1M,pool2,TI,69
ST,medium,ujNKR4re1M,pool2,PE,25
ST,medium,ujNKR4re1M,pool2,EF,71
ST,medium,ujNKR4re1M,pool2,FR,45
MR,hard,8EBFmIUfAy,pool2,ME,35
MR,hard,8EBFmIUfAy,pool2,PH,45
MR,hard,8EBFmIUfAy,pool2,TI,40
MR,hard,8EBFmIUfAy,pool2,PE,65
MR,hard,8EBFmIUfAy,pool2,EF,50
MR,hard,8EBFmIUfAy,pool2,FR,40
ST,hard,8EBFmIUfAy,pool2,ME,65
ST,hard,8EBFmIUfAy,pool2,PH,70
ST,hard,8EBFmIUfAy,pool2,TI,75
ST,hard,8EBFmIUfAy,pool2,PE,70
ST,hard,8EBFmIUfAy,pool2,EF,80
ST,hard,8EBFmIUfAy,pool2,FR,35
ST,medium,8EBFmIUfAy,pool2,ME,70
ST,medium,8EBFmIUfAy,pool2,PH,60
ST,medium,8EBFmIUfAy,pool2,TI,60
ST,medium,8EBFmIUfAy,pool2,PE,60
ST,medium,8EBFmIUfAy,pool2,EF,80
ST,medium,8EBFmIUfAy,pool2,FR,45
MR,medium,8EBFmIUfAy,pool2,ME,55
MR,medium,8EBFmIUfAy,pool2,PH,45
MR,medium,8EBFmIUfAy,pool2,TI,25
MR,medium,8EBFmIUfAy,pool2,PE,50
MR,medium,8EBFmIUfAy,pool2,EF,49
MR,medium,8EBFmIUfAy,pool2,FR,25
MS,medium,8EBFmIUfAy,pool2,ME,65
MS,medium,8EBFmIUfAy,pool2,PH,55
MS,medium,8EBFmIUfAy,pool2,TI,80
MS,medium,8EBFmIUfAy,pool2,PE,75
MS,medium,8EBFmIUfAy,pool2,EF,80
MS,medium,8EBFmIUfAy,pool2,FR,55
MS,hard,8EBFmIUfAy,pool2,ME,80
MS,hard,8EBFmIUfAy,pool2,PH,80
MS,hard,8EBFmIUfAy,pool2,TI,75
MS,hard,8EBFmIUfAy,pool2,PE,25
MS,hard,8EBFmIUfAy,pool2,EF,75
MS,hard,8EBFmIUfAy,pool2,FR,75
ST,easy,8EBFmIUfAy,pool2,ME,40
ST,easy,8EBFmIUfAy,pool2,PH,35
ST,easy,8EBFmIUfAy,pool2,TI,31
ST,easy,8EBFmIUfAy,pool2,PE,25
ST,easy,8EBFmIUfAy,pool2,EF,54
ST,easy,8EBFmIUfAy,pool2,FR,20
MR,easy,8EBFmIUfAy,pool2,ME,34
MR,easy,8EBFmIUfAy,pool2,PH,44
MR,easy,8EBFmIUfAy,pool2,TI,44
MR,easy,8EBFmIUfAy,pool2,PE,65
MR,easy,8EBFmIUfAy,pool2,EF,35
MR,easy,8EBFmIUfAy,pool2,FR,15
MS,easy,8EBFmIUfAy,pool2,ME,26
MS,easy,8EBFmIUfAy,pool2,PH,25
MS,easy,8EBFmIUfAy,pool2,TI,25
MS,easy,8EBFmIUfAy,pool2,PE,25
MS,easy,8EBFmIUfAy,pool2,EF,30
MS,easy,8EBFmIUfAy,pool2,FR,25
MS,easy,aqEAPJJI8e,pool34,ME,59
MS,easy,aqEAPJJI8e,pool34,PH,57
MS,easy,aqEAPJJI8e,pool34,TI,48
MS,easy,aqEAPJJI8e,pool34,PE,48
MS,easy,aqEAPJJI8e,pool34,EF,56
MS,easy,aqEAPJJI8e,pool34,FR,49
ST,hard,aqEAPJJI8e,pool34,ME,60
ST,hard,aqEAPJJI8e,pool34,PH,54
ST,hard,aqEAPJJI8e,pool34,TI,46
ST,hard,aqEAPJJI8e,pool34,PE,46
ST,hard,aqEAPJJI8e,pool34,EF,50
ST,hard,aqEAPJJI8e,pool34,FR,62
ST,easy,aqEAPJJI8e,pool34,ME,62
ST,easy,aqEAPJJI8e,pool34,PH,38
ST,easy,aqEAPJJI8e,pool34,TI,49
ST,easy,aqEAPJJI8e,pool34,PE,34
ST,easy,aqEAPJJI8e,pool34,EF,53
ST,easy,aqEAPJJI8e,pool34,FR,66
ST,medium,aqEAPJJI8e,pool34,ME,60
ST,medium,aqEAPJJI8e,pool34,PH,47
ST,medium,aqEAPJJI8e,pool34,TI,56
ST,medium,aqEAPJJI8e,pool34,PE,50
ST,medium,aqEAPJJI8e,pool34,EF,64
ST,medium,aqEAPJJI8e,pool34,FR,44
MS,medium,aqEAPJJI8e,pool34,ME,54
MS,medium,aqEAPJJI8e,pool34,PH,46
MS,medium,aqEAPJJI8e,pool34,TI,65
MS,medium,aqEAPJJI8e,pool34,PE,49
MS,medium,aqEAPJJI8e,pool34,EF,66
MS,medium,aqEAPJJI8e,pool34,FR,64
MR,easy,aqEAPJJI8e,pool34,ME,54
MR,easy,aqEAPJJI8e,pool34,PH,69
MR,easy,aqEAPJJI8e,pool34,TI,47
MR,easy,aqEAPJJI8e,pool34,PE,45
MR,easy,aqEAPJJI8e,pool34,EF,68
MR,easy,aqEAPJJI8e,pool34,FR,55
MR,hard,aqEAPJJI8e,pool34,ME,55
MR,hard,aqEAPJJI8e,pool34,PH,49
MR,hard,aqEAPJJI8e,pool34,TI,68
MR,hard,aqEAPJJI8e,pool34,PE,41
MR,hard,aqEAPJJI8e,pool34,EF,67
MR,hard,aqEAPJJI8e,pool34,FR,58
MR,medium,aqEAPJJI8e,pool34,ME,64
MR,medium,aqEAPJJI8e,pool34,PH,53
MR,medium,aqEAPJJI8e,pool34,TI,65
MR,medium,aqEAPJJI8e,pool34,PE,42
MR,medium,aqEAPJJI8e,pool34,EF,49
MR,medium,aqEAPJJI8e,pool34,FR,61
MS,hard,aqEAPJJI8e,pool34,ME,51
MS,hard,aqEAPJJI8e,pool34,PH,64
MS,hard,aqEAPJJI8e,pool34,TI,62
MS,hard,aqEAPJJI8e,pool34,PE,41
MS,hard,aqEAPJJI8e,pool34,EF,65
MS,hard,aqEAPJJI8e,pool34,FR,73
ST,hard,rh40WUcVcA,pool34,ME,97
ST,hard,rh40WUcVcA,pool34,PH,55
ST,hard,rh40WUcVcA,pool34,TI,99
ST,hard,rh40WUcVcA,pool34,PE,70
ST,hard,rh40WUcVcA,pool34,EF,91
ST,hard,rh40WUcVcA,pool34,FR,80
MS,easy,rh40WUcVcA,pool34,ME,70
MS,easy,rh40WUcVcA,pool34,PH,65
MS,easy,rh40WUcVcA,pool34,TI,5
MS,easy,rh40WUcVcA,pool34,PE,10
MS,easy,rh40WUcVcA,pool34,EF,55
MS,easy,rh40WUcVcA,pool34,FR,40
MR,hard,rh40WUcVcA,pool34,ME,55
MR,hard,rh40WUcVcA,pool34,PH,40
MR,hard,rh40WUcVcA,pool34,TI,39
MR,hard,rh40WUcVcA,pool34,PE,70
MR,hard,rh40WUcVcA,pool34,EF,30
MR,hard,rh40WUcVcA,pool34,FR,4
ST,easy,rh40WUcVcA,pool34,ME,60
ST,easy,rh40WUcVcA,pool34,PH,50
ST,easy,rh40WUcVcA,pool34,TI,66
ST,easy,rh40WUcVcA,pool34,PE,13
ST,easy,rh40WUcVcA,pool34,EF,65
ST,easy,rh40WUcVcA,pool34,FR,37
MR,easy,rh40WUcVcA,pool34,ME,50
MR,easy,rh40WUcVcA,pool34,PH,50
MR,easy,rh40WUcVcA,pool34,TI,50
MR,easy,rh40WUcVcA,pool34,PE,69
MR,easy,rh40WUcVcA,pool34,EF,37
MR,easy,rh40WUcVcA,pool34,FR,32
ST,medium,rh40WUcVcA,pool34,ME,82
ST,medium,rh40WUcVcA,pool34,PH,76
ST,medium,rh40WUcVcA,pool34,TI,89
ST,medium,rh40WUcVcA,pool34,PE,90
ST,medium,rh40WUcVcA,pool34,EF,90
ST,medium,rh40WUcVcA,pool34,FR,50
MS,medium,rh40WUcVcA,pool34,ME,99
MS,medium,rh40WUcVcA,pool34,PH,100
MS,medium,rh40WUcVcA,pool34,TI,100
MS,medium,rh40WUcVcA,pool34,PE,40
MS,medium,rh40WUcVcA,pool34,EF,94
MS,medium,rh40WUcVcA,pool34,FR,81
MS,hard,rh40WUcVcA,pool34,ME,100
MS,hard,rh40WUcVcA,pool34,PH,100
MS,hard,rh40WUcVcA,pool34,TI,100
MS,hard,rh40WUcVcA,pool34,PE,30
MS,hard,rh40WUcVcA,pool34,EF,100
MS,hard,rh40WUcVcA,pool34,FR,100
MR,medium,rh40WUcVcA,pool34,ME,48
MR,medium,rh40WUcVcA,pool34,PH,43
MR,medium,rh40WUcVcA,pool34,TI,0
MR,medium,rh40WUcVcA,pool34,PE,50
MR,medium,rh40WUcVcA,pool34,EF,36
MR,medium,rh40WUcVcA,pool34,FR,25
MS,easy,ky7vtw0gdz,pool34,ME,50
MS,easy,ky7vtw0gdz,pool34,PH,32
MS,easy,ky7vtw0gdz,pool34,TI,65
MS,easy,ky7vtw0gdz,pool34,PE,7
MS,easy,ky7vtw0gdz,pool34,EF,65
MS,easy,ky7vtw0gdz,pool34,FR,46
MR,hard,ky7vtw0gdz,pool34,ME,73
MR,hard,ky7vtw0gdz,pool34,PH,8
MR,hard,ky7vtw0gdz,pool34,TI,28
MR,hard,ky7vtw0gdz,pool34,PE,25
MR,hard,ky7vtw0gdz,pool34,EF,71
MR,hard,ky7vtw0gdz,pool34,FR,50
ST,medium,ky7vtw0gdz,pool34,ME,98
ST,medium,ky7vtw0gdz,pool34,PH,13
ST,medium,ky7vtw0gdz,pool34,TI,100
ST,medium,ky7vtw0gdz,pool34,PE,50
ST,medium,ky7vtw0gdz,pool34,EF,83
ST,medium,ky7vtw0gdz,pool34,FR,64
ST,easy,ky7vtw0gdz,pool34,ME,77
ST,easy,ky7vtw0gdz,pool34,PH,17
ST,easy,ky7vtw0gdz,pool34,TI,66
ST,easy,ky7vtw0gdz,pool34,PE,21
ST,easy,ky7vtw0gdz,pool34,EF,64
ST,easy,ky7vtw0gdz,pool34,FR,19
ST,hard,ky7vtw0gdz,pool34,ME,100
ST,hard,ky7vtw0gdz,pool34,PH,75
ST,hard,ky7vtw0gdz,pool34,TI,100
ST,hard,ky7vtw0gdz,pool34,PE,68
ST,hard,ky7vtw0gdz,pool34,EF,100
ST,hard,ky7vtw0gdz,pool34,FR,100
MR,medium,ky7vtw0gdz,pool34,ME,79
MR,medium,ky7vtw0gdz,pool34,PH,13
MR,medium,ky7vtw0gdz,pool34,TI,7
MR,medium,ky7vtw0gdz,pool34,PE,66
MR,medium,ky7vtw0gdz,pool34,EF,88
MR,medium,ky7vtw0gdz,pool34,FR,68
MS,hard,ky7vtw0gdz,pool34,ME,99
MS,hard,ky7vtw0gdz,pool34,PH,98
MS,hard,ky7vtw0gdz,pool34,TI,99
MS,hard,ky7vtw0gdz,pool34,PE,83
MS,hard,ky7vtw0gdz,pool34,EF,100
MS,hard,ky7vtw0gdz,pool34,FR,100
MR,easy,ky7vtw0gdz,pool34,ME,99
MR,easy,ky7vtw0gdz,pool34,PH,99
MR,easy,ky7vtw0gdz,pool34,TI,100
MR,easy,ky7vtw0gdz,pool34,PE,0
MR,easy,ky7vtw0gdz,pool34,EF,96
MR,easy,ky7vtw0gdz,pool34,FR,58
MS,medium,ky7vtw0gdz,pool34,ME,81
MS,medium,ky7vtw0gdz,pool34,PH,30
MS,medium,ky7vtw0gdz,pool34,TI,79
MS,medium,ky7vtw0gdz,pool34,PE,46
MS,medium,ky7vtw0gdz,pool34,EF,76
MS,medium,ky7vtw0gdz,pool34,FR,63
MR,medium,zvDM8Go5Bd,pool34,ME,80
MR,medium,zvDM8Go5Bd,pool34,PH,1
MR,medium,zvDM8Go5Bd,pool34,TI,0
MR,medium,zvDM8Go5Bd,pool34,PE,50
MR,medium,zvDM8Go5Bd,pool34,EF,65
MR,medium,zvDM8Go5Bd,pool34,FR,70
MS,medium,zvDM8Go5Bd,pool34,ME,80
MS,medium,zvDM8Go5Bd,pool34,PH,10
MS,medium,zvDM8Go5Bd,pool34,TI,50
MS,medium,zvDM8Go5Bd,pool34,PE,30
MS,medium,zvDM8Go5Bd,pool34,EF,70
MS,medium,zvDM8Go5Bd,pool34,FR,60
ST,easy,zvDM8Go5Bd,pool34,ME,0
ST,easy,zvDM8Go5Bd,pool34,PH,0
ST,easy,zvDM8Go5Bd,pool34,TI,71
ST,easy,zvDM8Go5Bd,pool34,PE,1
ST,easy,zvDM8Go5Bd,pool34,EF,60
ST,easy,zvDM8Go5Bd,pool34,FR,0
MS,easy,zvDM8Go5Bd,pool34,ME,30
MS,easy,zvDM8Go5Bd,pool34,PH,25
MS,easy,zvDM8Go5Bd,pool34,TI,65
MS,easy,zvDM8Go5Bd,pool34,PE,0
MS,easy,zvDM8Go5Bd,pool34,EF,60
MS,easy,zvDM8Go5Bd,pool34,FR,1
ST,hard,zvDM8Go5Bd,pool34,ME,80
ST,hard,zvDM8Go5Bd,pool34,PH,0
ST,hard,zvDM8Go5Bd,pool34,TI,100
ST,hard,zvDM8Go5Bd,pool34,PE,80
ST,hard,zvDM8Go5Bd,pool34,EF,81
ST,hard,zvDM8Go5Bd,pool34,FR,99
MS,hard,zvDM8Go5Bd,pool34,ME,100
MS,hard,zvDM8Go5Bd,pool34,PH,65
MS,hard,zvDM8Go5Bd,pool34,TI,99
MS,hard,zvDM8Go5Bd,pool34,PE,95
MS,hard,zvDM8Go5Bd,pool34,EF,99
MS,hard,zvDM8Go5Bd,pool34,FR,100
ST,medium,zvDM8Go5Bd,pool34,ME,80
ST,medium,zvDM8Go5Bd,pool34,PH,19
ST,medium,zvDM8Go5Bd,pool34,TI,100
ST,medium,zvDM8Go5Bd,pool34,PE,50
ST,medium,zvDM8Go5Bd,pool34,EF,85
ST,medium,zvDM8Go5Bd,pool34,FR,85
MR,easy,zvDM8Go5Bd,pool34,ME,75
MR,easy,zvDM8Go5Bd,pool34,PH,2
MR,easy,zvDM8Go5Bd,pool34,TI,2
MR,easy,zvDM8Go5Bd,pool34,PE,51
MR,easy,zvDM8Go5Bd,pool34,EF,64
MR,easy,zvDM8Go5Bd,pool34,FR,21
MR,hard,zvDM8Go5Bd,pool34,ME,60
MR,hard,zvDM8Go5Bd,pool34,PH,3
MR,hard,zvDM8Go5Bd,pool34,TI,2
MR,hard,zvDM8Go5Bd,pool34,PE,50
MR,hard,zvDM8Go5Bd,pool34,EF,45
MR,hard,zvDM8Go5Bd,pool34,FR,24
ST,hard,7SltMY2Jba,pool34,ME,80
ST,hard,7SltMY2Jba,pool34,PH,19
ST,hard,7SltMY2Jba,pool34,TI,42
ST,hard,7SltMY2Jba,pool34,PE,79
ST,hard,7SltMY2Jba,pool34,EF,50
ST,hard,7SltMY2Jba,pool34,FR,85
MS,medium,7SltMY2Jba,pool34,ME,87
MS,medium,7SltMY2Jba,pool34,PH,42
MS,medium,7SltMY2Jba,pool34,TI,45
MS,medium,7SltMY2Jba,pool34,PE,21
MS,medium,7SltMY2Jba,pool34,EF,69
MS,medium,7SltMY2Jba,pool34,FR,73
MS,easy,7SltMY2Jba,pool34,ME,19
MS,easy,7SltMY2Jba,pool34,PH,22
MS,easy,7SltMY2Jba,pool34,TI,23
MS,easy,7SltMY2Jba,pool34,PE,5
MS,easy,7SltMY2Jba,pool34,EF,20
MS,easy,7SltMY2Jba,pool34,FR,27
ST,medium,7SltMY2Jba,pool34,ME,75
ST,medium,7SltMY2Jba,pool34,PH,46
ST,medium,7SltMY2Jba,pool34,TI,54
ST,medium,7SltMY2Jba,pool34,PE,33
ST,medium,7SltMY2Jba,pool34,EF,62
ST,medium,7SltMY2Jba,pool34,FR,62
MR,medium,7SltMY2Jba,pool34,ME,57
MR,medium,7SltMY2Jba,pool34,PH,35
MR,medium,7SltMY2Jba,pool34,TI,39
MR,medium,7SltMY2Jba,pool34,PE,21
MR,medium,7SltMY2Jba,pool34,EF,66
MR,medium,7SltMY2Jba,pool34,FR,24
MR,easy,7SltMY2Jba,pool34,ME,31
MR,easy,7SltMY2Jba,pool34,PH,33
MR,easy,7SltMY2Jba,pool34,TI,33
MR,easy,7SltMY2Jba,pool34,PE,31
MR,easy,7SltMY2Jba,pool34,EF,60
MR,easy,7SltMY2Jba,pool34,FR,46
ST,easy,7SltMY2Jba,pool34,ME,56
ST,easy,7SltMY2Jba,pool34,PH,32
ST,easy,7SltMY2Jba,pool34,TI,34
ST,easy,7SltMY2Jba,pool34,PE,9
ST,easy,7SltMY2Jba,pool34,EF,48
ST,easy,7SltMY2Jba,pool34,FR,32
MR,hard,7SltMY2Jba,pool34,ME,82
MR,hard,7SltMY2Jba,pool34,PH,39
MR,hard,7SltMY2Jba,pool34,TI,39
MR,hard,7SltMY2Jba,pool34,PE,37
MR,hard,7SltMY2Jba,pool34,EF,66
MR,hard,7SltMY2Jba,pool34,FR,51
MS,hard,7SltMY2Jba,pool34,ME,83
MS,hard,7SltMY2Jba,pool34,PH,44
MS,hard,7SltMY2Jba,pool34,TI,41
MS,hard,7SltMY2Jba,pool34,PE,55
MS,hard,7SltMY2Jba,pool34,EF,74
MS,hard,7SltMY2Jba,pool34,FR,66
ST,hard,PbOEQpRS9f,pool34,ME,56
ST,hard,PbOEQpRS9f,pool34,PH,0
ST,hard,PbOEQpRS9f,pool34,TI,100
ST,hard,PbOEQpRS9f,pool34,PE,61
ST,hard,PbOEQpRS9f,pool34,EF,31
