task,level,id,scale,score
ST,hard,HF94YUUt2C,FR,95
MS,hard,HF94YUUt2C,ME,100
MS,hard,HF94YUUt2C,PH,0
MS,hard,HF94YUUt2C,TI,95
MS,hard,HF94YUUt2C,PE,45
MS,hard,HF94YUUt2C,EF,99
MS,hard,HF94YUUt2C,FR,85
MS,medium,HF94YUUt2C,ME,70
MS,medium,HF94YUUt2C,PH,11
MS,medium,HF94YUUt2C,TI,60
MS,medium,HF94YUUt2C,PE,15
MS,medium,HF94YUUt2C,EF,74
MS,medium,HF94YUUt2C,FR,65
MS,hard,z93bJWn4hw,ME,40
MS,hard,z93bJWn4hw,PH,38
MS,hard,z93bJWn4hw,TI,50
MS,hard,z93bJWn4hw,PE,51
MS,hard,z93bJWn4hw,EF,69
MS,hard,z93bJWn4hw,FR,41
MR,easy,z93bJWn4hw,ME,49
MR,easy,z93bJWn4hw,PH,25
MR,easy,z93bJWn4hw,TI,24
MR,easy,z93bJWn4hw,PE,27
MR,easy,z93bJWn4hw,EF,25
MR,easy,z93bJWn4hw,FR,22
ST,medium,z93bJWn4hw,ME,50
ST,medium,z93bJWn4hw,PH,30
ST,medium,z93bJWn4hw,TI,51
ST,medium,z93bJWn4hw,PE,50
ST,medium,z93bJWn4hw,EF,54
ST,medium,z93bJWn4hw,FR,44
MS,medium,z93bJWn4hw,ME,36
MS,medium,z93bJWn4hw,PH,25
MS,medium,z93bJWn4hw,TI,25
MS,medium,z93bJWn4hw,PE,26
MS,medium,z93bJWn4hw,EF,49
MS,medium,z93bJWn4hw,FR,17
MS,easy,z93bJWn4hw,ME,29
MS,easy,z93bJWn4hw,PH,23
MS,easy,z93bJWn4hw,TI,15
MS,easy,z93bJWn4hw,PE,7
MS,easy,z93bJWn4hw,EF,13
MS,easy,z93bJWn4hw,FR,3
ST,easy,z93bJWn4hw,ME,32
ST,easy,z93bJWn4hw,PH,18
ST,easy,z93bJWn4hw,TI,11
ST,easy,z93bJWn4hw,PE,6
ST,easy,z93bJWn4hw,EF,15
ST,easy,z93bJWn4hw,FR,3
ST,hard,z93bJWn4hw,ME,NA
ST,hard,z93bJWn4hw,PH,99
ST,hard,z93bJWn4hw,TI,99
ST,hard,z93bJWn4hw,PE,90
ST,hard,z93bJWn4hw,EF,85
ST,hard,z93bJWn4hw,FR,93
MR,medium,z93bJWn4hw,ME,50
MR,medium,z93bJWn4hw,PH,26
MR,medium,z93bJWn4hw,TI,26
MR,medium,z93bJWn4hw,PE,20
MR,medium,z93bJWn4hw,EF,29
MR,medium,z93bJWn4hw,FR,8
MR,hard,z93bJWn4hw,ME,50
MR,hard,z93bJWn4hw,PH,20
MR,hard,z93bJWn4hw,TI,20
MR,hard,z93bJWn4hw,PE,38
MR,hard,z93bJWn4hw,EF,62
MR,hard,z93bJWn4hw,FR,12
MS,medium,PsevAJnzJ0,ME,98
MS,medium,PsevAJnzJ0,PH,34
MS,medium,PsevAJnzJ0,TI,100
MS,medium,PsevAJnzJ0,PE,52
MS,medium,PsevAJnzJ0,EF,90
MS,medium,PsevAJnzJ0,FR,90
MR,medium,PsevAJnzJ0,ME,21
MR,medium,PsevAJnzJ0,PH,1
MR,medium,PsevAJnzJ0,TI,1
MR,medium,PsevAJnzJ0,PE,33
MR,medium,PsevAJnzJ0,EF,61
MR,medium,PsevAJnzJ0,FR,61
MS,easy,PsevAJnzJ0,ME,0
MS,easy,PsevAJnzJ0,PH,8
MS,easy,PsevAJnzJ0,TI,4
MS,easy,PsevAJnzJ0,PE,5
MS,easy,PsevAJnzJ0,EF,6
MS,easy,PsevAJnzJ0,FR,57
ST,easy,PsevAJnzJ0,ME,2
ST,easy,PsevAJnzJ0,PH,4
ST,easy,PsevAJnzJ0,TI,1
ST,easy,PsevAJnzJ0,PE,0
ST,easy,PsevAJnzJ0,EF,0
ST,easy,PsevAJnzJ0,FR,1
MR,easy,PsevAJnzJ0,ME,26
MR,easy,PsevAJnzJ0,PH,32
MR,easy,PsevAJnzJ0,TI,1
MR,easy,PsevAJnzJ0,PE,57
MR,easy,PsevAJnzJ0,EF,25
MR,easy,PsevAJnzJ0,FR,19
ST,medium,PsevAJnzJ0,ME,8
ST,medium,PsevAJnzJ0,PH,1
ST,medium,PsevAJnzJ0,TI,15
ST,medium,PsevAJnzJ0,PE,67
ST,medium,PsevAJnzJ0,EF,20
ST,medium,PsevAJnzJ0,FR,6
MR,hard,PsevAJnzJ0,ME,75
MR,hard,PsevAJnzJ0,PH,1
MR,hard,PsevAJnzJ0,TI,3
MR,hard,PsevAJnzJ0,PE,82
MR,hard,PsevAJnzJ0,EF,17
MR,hard,PsevAJnzJ0,FR,91
MS,hard,PsevAJnzJ0,ME,88
MS,hard,PsevAJnzJ0,PH,NA
MS,hard,PsevAJnzJ0,TI,79
MS,hard,PsevAJnzJ0,PE,75
MS,hard,PsevAJnzJ0,EF,69
MS,hard,PsevAJnzJ0,FR,12
ST,hard,PsevAJnzJ0,ME,92
ST,hard,PsevAJnzJ0,PH,1
ST,hard,PsevAJnzJ0,TI,81
ST,hard,PsevAJnzJ0,PE,NA
ST,hard,PsevAJnzJ0,EF,21
ST,hard,PsevAJnzJ0,FR,15
ST,medium,Piksbkqbn1,ME,80
ST,medium,Piksbkqbn1,PH,64
ST,medium,Piksbkqbn1,TI,95
ST,medium,Piksbkqbn1,PE,63
ST,medium,Piksbkqbn1,EF,67
ST,medium,Piksbkqbn1,FR,85
MR,hard,Piksbkqbn1,ME,85
MR,hard,Piksbkqbn1,PH,71
MR,hard,Piksbkqbn1,TI,37
MR,hard,Piksbkqbn1,PE,53
MR,hard,Piksbkqbn1,EF,87
MR,hard,Piksbkqbn1,FR,65
ST,hard,Piksbkqbn1,ME,74
ST,hard,Piksbkqbn1,PH,68
ST,hard,Piksbkqbn1,TI,92
ST,hard,Piksbkqbn1,PE,89
ST,hard,Piksbkqbn1,EF,66
ST,hard,Piksbkqbn1,FR,86
MS,medium,Piksbkqbn1,ME,78
MS,medium,Piksbkqbn1,PH,67
MS,medium,Piksbkqbn1,TI,88
MS,medium,Piksbkqbn1,PE,75
MS,medium,Piksbkqbn1,EF,79
MS,medium,Piksbkqbn1,FR,80
ST,easy,Piksbkqbn1,ME,62
ST,easy,Piksbkqbn1,PH,48
ST,easy,Piksbkqbn1,TI,43
ST,easy,Piksbkqbn1,PE,33
ST,easy,Piksbkqbn1,EF,42
ST,easy,Piksbkqbn1,FR,42
MR,easy,Piksbkqbn1,ME,40
MR,easy,Piksbkqbn1,PH,34
MR,easy,Piksbkqbn1,TI,23
MR,easy,Piksbkqbn1,PE,28
MR,easy,Piksbkqbn1,EF,40
MR,easy,Piksbkqbn1,FR,42
MR,medium,Piksbkqbn1,ME,60
MR,medium,Piksbkqbn1,PH,43
MR,medium,Piksbkqbn1,TI,30
MR,medium,Piksbkqbn1,PE,59
MR,medium,Piksbkqbn1,EF,59
MR,medium,Piksbkqbn1,FR,45
MS,hard,Piksbkqbn1,ME,69
MS,hard,Piksbkqbn1,PH,61
MS,hard,Piksbkqbn1,TI,83
MS,hard,Piksbkqbn1,PE,88
MS,hard,Piksbkqbn1,EF,55
MS,hard,Piksbkqbn1,FR,51
MS,easy,Piksbkqbn1,ME,27
MS,easy,Piksbkqbn1,PH,NA
MS,easy,Piksbkqbn1,TI,28
MS,easy,Piksbkqbn1,PE,29
MS,easy,Piksbkqbn1,EF,35
MS,easy,Piksbkqbn1,FR,15
ST,easy,dWejUN00z6,ME,15
ST,easy,dWejUN00z6,PH,0
ST,easy,dWejUN00z6,TI,15
ST,easy,dWejUN00z6,PE,0
ST,easy,dWejUN00z6,EF,25
ST,easy,dWejUN00z6,FR,19
MR,hard,dWejUN00z6,ME,65
MR,hard,dWejUN00z6,PH,10
MR,hard,dWejUN00z6,TI,0
MR,hard,dWejUN00z6,PE,40
MR,hard,dWejUN00z6,EF,70
MR,hard,dWejUN00z6,FR,65
MR,medium,dWejUN00z6,ME,70
MR,medium,dWejUN00z6,PH,11
MR,medium,dWejUN00z6,TI,5
MR,medium,dWejUN00z6,PE,49
MR,medium,dWejUN00z6,EF,71
MR,medium,dWejUN00z6,FR,78
MS,hard,dWejUN00z6,ME,84
MS,hard,dWejUN00z6,PH,1
MS,hard,dWejUN00z6,TI,86
MS,hard,dWejUN00z6,PE,39
MS,hard,dWejUN00z6,EF,92
MS,hard,dWejUN00z6,FR,50
MS,medium,dWejUN00z6,ME,75
