task,level,id,rt,acc
MR,hard,ujNKR4re1M,4.42469375,0.625
MR,hard,vBoSbHJ7AD,9.973923076923077,0.8461538461538461
MR,hard,wBsXFrRWgF,2.2522285714285712,0.35714285714285715
MR,hard,wiRZfBYOru,9.48643125,0.4375
MR,hard,woSzLv5BIV,1.0539928571428572,0.2857142857142857
MR,hard,yTPpr0532t,3.6237,0.4375
MR,hard,yWB1eDgHxE,5.363673333333334,0.4
MR,hard,zMSGYZOzxF,7.5701937500000005,0.5
MR,hard,zvDM8Go5Bd,5.165813333333333,0.4666666666666667
MR,medium,0dkwUmCwzJ,4.50888125,0.375
MR,medium,0wY7q7AFDw,6.574114285714286,0.8571428571428571
MR,medium,12zOSfawTO,4.49038125,0.4375
MR,medium,2HJHCZEQE1,6.926042857142857,1
MR,medium,5oMH7YJKDi,5.924875,0.9375
MR,medium,6xDo1DDaCf,4.5535,1
MR,medium,7SltMY2Jba,9.878461538461538,0.7692307692307693
MR,medium,7s1EYKyluI,1.3820533333333334,0.5333333333333333
MR,medium,8EBFmIUfAy,7.5678875,0.4375
MR,medium,9ZffIZqFHz,7.06789375,0.875
MR,medium,DVCsNitb7p,12.332586666666666,0.9333333333333333
MR,medium,E1wQ16OGRS,11.34435,1
MR,medium,E6k5x9v8pf,3.8949333333333334,1
MR,medium,Fd15tXKjh3,8.98916875,0.9375
MR,medium,FgaXoRhEpQ,8.2010125,0.9375
MR,medium,GxpGXkXK8v,0.84658,0.2
MR,medium,HV4ueBgaoL,1.61378,0.4
MR,medium,JIY5GSm8aI,4.973886666666667,0.5333333333333333
MR,medium,KMzkcoEoDX,5.584042857142857,0.9285714285714286
MR,medium,O0ngZJhb9l,2.0864066666666665,0.6666666666666666
MR,medium,PbOEQpRS9f,0.29473333333333335,0.26666666666666666
MR,medium,PkgTbVVI07,2.8349533333333334,0.6
MR,medium,Q479YcpCNr,10.16023125,0.625
MR,medium,TqUBvW8Aaz,11.6550375,0.5625
MR,medium,V4epNAqh9h,1.9565666666666666,0.3333333333333333
MR,medium,W98TU3XJxb,5.314264285714286,0.9285714285714286
MR,medium,WAh9qhgg6o,4.562625,0.125
MR,medium,WQyxRdU13t,11.562,1
MR,medium,YlvUbMLU90,3.52734375,0.6875
MR,medium,aqEAPJJI8e,1.3543733333333334,0.4
MR,medium,bKUxjX0i0W,2.26843125,0.4375
MR,medium,cCWrG11sgp,7.1793125,0.9375
MR,medium,cGANl4iQl1,7.1974875,0.4375
MR,medium,cSI9W49vxo,3.485646666666667,0.8
MR,medium,cdCa7qlKqK,5.214025,0.6875
MR,medium,gI6hCgCchT,18.8183875,0.625
MR,medium,h3qLkF1oCE,2.00374,0.4666666666666667
MR,medium,jDL2pqqoXv,5.0875,0.5625
MR,medium,jKBHzXx0Pg,9.09813125,0.8125
MR,medium,kGWL9y5AS9,10.729413333333333,0.4666666666666667
MR,medium,ky7vtw0gdz,5.9148625,0.4375
MR,medium,lO4tI9SjJX,14.06891875,0.625
MR,medium,ntoLpzjCrW,7.522873333333333,0.5333333333333333
MR,medium,pevbr5tS1I,3.9993125,0.5625
MR,medium,rh40WUcVcA,0.7730384615384616,0.6153846153846154
MR,medium,sPXXgeOo7t,2.738575,0.5
MR,medium,ttxEdLIMGM,9.958575,0.75
MR,medium,u8oFh0ZHHs,1.1287666666666667,0.4666666666666667
MR,medium,ujNKR4re1M,4.42259375,0.75
MR,medium,vBoSbHJ7AD,7.108,0.8666666666666667
MR,medium,wBsXFrRWgF,2.9201875,0.3125
MR,medium,wiRZfBYOru,3.9151866666666666,0.6
MR,medium,woSzLv5BIV,1.17245,0.5714285714285714
MR,medium,yTPpr0532t,14.253673333333333,0.6666666666666666
MR,medium,yWB1eDgHxE,4.6327,0.5714285714285714
MR,medium,zMSGYZOzxF,5.09816875,0.625
MR,medium,zvDM8Go5Bd,8.94686,0.6
