task,level,id,scale,score
MR,hard,WAh9qhgg6o,TI,10
MR,hard,WAh9qhgg6o,PE,20
MR,hard,WAh9qhgg6o,EF,15
MR,hard,WAh9qhgg6o,FR,5
MS,hard,WAh9qhgg6o,ME,70
MS,hard,WAh9qhgg6o,PH,35
MS,hard,WAh9qhgg6o,TI,85
MS,hard,WAh9qhgg6o,PE,60
MS,hard,WAh9qhgg6o,EF,75
MS,hard,WAh9qhgg6o,FR,60
ST,medium,WAh9qhgg6o,ME,38
ST,medium,WAh9qhgg6o,PH,12
ST,medium,WAh9qhgg6o,TI,94
ST,medium,WAh9qhgg6o,PE,33
ST,medium,WAh9qhgg6o,EF,28
ST,medium,WAh9qhgg6o,FR,33
ST,hard,WAh9qhgg6o,ME,89
ST,hard,WAh9qhgg6o,PH,17
ST,hard,WAh9qhgg6o,TI,100
ST,hard,WAh9qhgg6o,PE,39
ST,hard,WAh9qhgg6o,EF,23
ST,hard,WAh9qhgg6o,FR,50
MS,hard,6xDo1DDaCf,ME,90
MS,hard,6xDo1DDaCf,PH,50
MS,hard,6xDo1DDaCf,TI,70
MS,hard,6xDo1DDaCf,PE,5
MS,hard,6xDo1DDaCf,EF,60
MS,hard,6xDo1DDaCf,FR,79
MR,easy,6xDo1DDaCf,ME,80
MR,easy,6xDo1DDaCf,PH,20
MR,easy,6xDo1DDaCf,TI,50
MR,easy,6xDo1DDaCf,PE,1
MR,easy,6xDo1DDaCf,EF,50
MR,easy,6xDo1DDaCf,FR,50
MR,medium,6xDo1DDaCf,ME,60
MR,medium,6xDo1DDaCf,PH,20
MR,medium,6xDo1DDaCf,TI,25
MR,medium,6xDo1DDaCf,PE,0
MR,medium,6xDo1DDaCf,EF,50
MR,medium,6xDo1DDaCf,FR,50
MS,easy,6xDo1DDaCf,ME,35
MS,easy,6xDo1DDaCf,PH,10
MS,easy,6xDo1DDaCf,TI,10
MS,easy,6xDo1DDaCf,PE,0
MS,easy,6xDo1DDaCf,EF,25
MS,easy,6xDo1DDaCf,FR,25
MS,medium,6xDo1DDaCf,ME,74
MS,medium,6xDo1DDaCf,PH,55
MS,medium,6xDo1DDaCf,TI,50
MS,medium,6xDo1DDaCf,PE,0
MS,medium,6xDo1DDaCf,EF,80
MS,medium,6xDo1DDaCf,FR,70
ST,medium,6xDo1DDaCf,ME,65
ST,medium,6xDo1DDaCf,PH,10
ST,medium,6xDo1DDaCf,TI,30
ST,medium,6xDo1DDaCf,PE,0
ST,medium,6xDo1DDaCf,EF,75
ST,medium,6xDo1DDaCf,FR,75
MR,hard,6xDo1DDaCf,ME,65
MR,hard,6xDo1DDaCf,PH,25
MR,hard,6xDo1DDaCf,TI,15
MR,hard,6xDo1DDaCf,PE,5
MR,hard,6xDo1DDaCf,EF,75
