correctAns,base_pic,rotated_pic,key,is_correct,rt,task,level,trial,id
left,images/base/1_a.png,images/combined/1_b_x_270_y_0_z_90.png,right,0,2.092,MR,hard,14,uofo7FKPdo
right,images/base/4_b.png,images/combined/4_b_x_270_y_0_z_270.png,right,1,1.019,MR,hard,15,uofo7FKPdo
left,images/base/2_b.png,images/combined/2_a_x_270_y_0_z_270.png,left,1,1.067,MR,hard,16,uofo7FKPdo
left,images/base/2_a.png,images/combined/2_b_x_0_y_0_z_45.png,left,1,4.611,MR,easy,1,VEZTZ89Pge
right,images/base/14_b.png,images/combined/14_b_x_0_y_0_z_45.png,left,0,3.183,MR,easy,2,VEZTZ89Pge
left,images/base/9_a.png,images/combined/9_b_x_0_y_0_z_315.png,left,1,6.972,MR,easy,3,VEZTZ89Pge
left,images/base/4_a.png,images/combined/4_b_x_0_y_0_z_315.png,left,1,2.816,MR,easy,4,VEZTZ89Pge
left,images/base/3_a.png,images/combined/3_b_x_0_y_0_z_45.png,left,1,5.7,MR,easy,5,VEZTZ89Pge
left,images/base/10_a.png,images/combined/10_b_x_0_y_0_z_45.png,left,1,7.996,MR,easy,6,VEZTZ89Pge
right,images/base/13_b.png,images/combined/13_b_x_0_y_0_z_315.png,right,1,3.971,MR,easy,7,VEZTZ89Pge
left,images/base/16_a.png,images/combined/16_b_x_0_y_0_z_315.png,left,1,10.151,MR,easy,8,VEZTZ89Pge
right,images/base/11_b.png,images/combined/11_b_x_0_y_0_z_315.png,right,1,7.4,MR,easy,9,VEZTZ89Pge
right,images/base/6_a.png,images/combined/6_a_x_0_y_0_z_45.png,right,1,4.25,MR,easy,10,VEZTZ89Pge
left,images/base/7_a.png,images/combined/7_b_x_0_y_0_z_315.png,left,1,2.532,MR,easy,11,VEZTZ89Pge
right,images/base/5_a.png,images/combined/5_a_x_0_y_0_z_45.png,right,1,3.433,MR,easy,12,VEZTZ89Pge
right,images/base/12_a.png,images/combined/12_a_x_0_y_0_z_45.png,right,1,3.084,MR,easy,13,VEZTZ89Pge
left,images/base/15_a.png,images/combined/15_b_x_0_y_0_z_45.png,left,1,9.799,MR,easy,14,VEZTZ89Pge
right,images/base/1_a.png,images/combined/1_a_x_0_y_0_z_315.png,left,0,4.485,MR,easy,15,VEZTZ89Pge
left,images/base/8_b.png,images/combined/8_a_x_0_y_0_z_45.png,left,1,6.033,MR,easy,16,VEZTZ89Pge
right,images/base/12_a.png,images/combined/12_a_x_45_y_0_z_90.png,right,1,1.85,MR,medium,1,VEZTZ89Pge
left,images/base/13_b.png,images/combined/13_a_x_315_y_0_z_90.png,right,0,4.041,MR,medium,2,VEZTZ89Pge
right,images/base/3_b.png,images/combined/3_b_x_45_y_0_z_90.png,left,0,7.285,MR,medium,3,VEZTZ89Pge
right,images/base/2_a.png,images/combined/2_a_x_45_y_0_z_90.png,right,1,6.233,MR,medium,4,VEZTZ89Pge
right,images/base/5_b.png,images/combined/5_b_x_315_y_0_z_90.png,right,1,11.134,MR,medium,5,VEZTZ89Pge
right,images/base/11_a.png,images/combined/11_a_x_45_y_0_z_270.png,left,0,4.553,MR,medium,6,VEZTZ89Pge
left,images/base/14_b.png,images/combined/14_a_x_45_y_0_z_90.png,left,1,9.368,MR,medium,7,VEZTZ89Pge
left,images/base/7_a.png,images/combined/7_b_x_45_y_0_z_90.png,left,1,7.703,MR,medium,8,VEZTZ89Pge
right,images/base/10_a.png,images/combined/10_a_x_45_y_0_z_270.png,left,0,9.077,MR,medium,9,VEZTZ89Pge
right,images/base/16_b.png,images/combined/16_b_x_45_y_0_z_90.png,left,0,6.017,MR,medium,10,VEZTZ89Pge
right,images/base/6_b.png,images/combined/6_b_x_45_y_0_z_90.png,right,1,11.802,MR,medium,11,VEZTZ89Pge
left,images/base/8_a.png,images/combined/8_b_x_315_y_0_z_270.png,left,1,7.571,MR,medium,12,VEZTZ89Pge
right,images/base/15_b.png,images/combined/15_b_x_315_y_0_z_90.png,right,1,6.634,MR,medium,13,VEZTZ89Pge
left,images/base/4_a.png,images/combined/4_b_x_315_y_0_z_270.png,left,1,7.908,MR,medium,14,VEZTZ89Pge
left,images/base/1_a.png,images/combined/1_b_x_315_y_0_z_90.png,right,0,9.233,MR,medium,15,VEZTZ89Pge
right,images/base/9_b.png,images/combined/9_b_x_315_y_0_z_270.png,right,1,7.286,MR,medium,16,VEZTZ89Pge
left,images/base/14_a.png,images/combined/14_b_x_90_y_0_z_270.png,left,1,11.028,MR,hard,1,VEZTZ89Pge
right,images/base/6_a.png,images/combined/6_a_x_90_y_0_z_270.png,left,0,5.383,MR,hard,2,VEZTZ89Pge
right,images/base/2_b.png,images/combined/2_b_x_90_y_0_z_270.png,right,1,7.151,MR,hard,3,VEZTZ89Pge
right,images/base/4_b.png,images/combined/4_b_x_270_y_0_z_90.png,right,1,6.958,MR,hard,4,VEZTZ89Pge
right,images/base/11_a.png,images/combined/11_a_x_270_y_0_z_90.png,right,1,4.154,MR,hard,5,VEZTZ89Pge
right,images/base/13_a.png,images/combined/13_a_x_90_y_0_z_270.png,left,0,5.749,MR,hard,6,VEZTZ89Pge
right,images/base/3_a.png,images/combined/3_a_x_90_y_0_z_90.png,left,0,8.176,MR,hard,7,VEZTZ89Pge
left,images/base/1_b.png,images/combined/1_a_x_270_y_0_z_90.png,left,1,3.8,MR,hard,8,VEZTZ89Pge
left,images/base/7_a.png,images/combined/7_b_x_270_y_0_z_270.png,left,1,7.309,MR,hard,9,VEZTZ89Pge
left,images/base/5_b.png,images/combined/5_a_x_90_y_0_z_270.png,left,1,4.735,MR,hard,10,VEZTZ89Pge
right,images/base/9_b.png,images/combined/9_b_x_270_y_0_z_90.png,left,0,3.517,MR,hard,11,VEZTZ89Pge
right,images/base/12_b.png,images/combined/12_b_x_270_y_0_z_270.png,right,1,5.64,MR,hard,12,VEZTZ89Pge
left,images/base/16_a.png,images/combined/16_b_x_270_y_0_z_90.png,left,1,5.133,MR,hard,13,VEZTZ89Pge
right,images/base/15_b.png,images/combined/15_b_x_270_y_0_z_270.png,left,0,5.816,MR,hard,14,VEZTZ89Pge
left,images/base/8_b.png,images/combined/8_a_x_90_y_0_z_90.png,left,1,4.823,MR,hard,15,VEZTZ89Pge
right,images/base/10_b.png,images/combined/10_b_x_90_y_0_z_90.png,right,1,2.951,MR,hard,16,VEZTZ89Pge
left,images/base/16_b.png,images/combined/16_a_x_0_y_0_z_315.png,left,1,8.0236,MR,easy,1,HF94YUUt2C
left,images/base/12_a.png,images/combined/12_b_x_0_y_0_z_315.png,left,1,4.8343,MR,easy,2,HF94YUUt2C
left,images/base/4_b.png,images/combined/4_a_x_0_y_0_z_45.png,left,1,4.7297,MR,easy,3,HF94YUUt2C
right,images/base/2_b.png,images/combined/2_b_x_0_y_0_z_45.png,right,1,2.5613,MR,easy,4,HF94YUUt2C
right,images/base/1_a.png,images/combined/1_a_x_0_y_0_z_315.png,right,1,2.7031,MR,easy,5,HF94YUUt2C
right,images/base/13_a.png,images/combined/13_a_x_0_y_0_z_315.png,right,1,3.4287,MR,easy,6,HF94YUUt2C
