correctAns,base_pic,rotated_pic,key,is_correct,rt,task,level,trial,id
right,images/base/14_b.png,images/combined/14_b_x_90_y_0_z_90.png,right,1,6.4336,MR,hard,13,urmN2MGqMI
left,images/base/8_a.png,images/combined/8_b_x_270_y_0_z_90.png,left,1,7.6257,MR,hard,14,urmN2MGqMI
right,images/base/11_a.png,images/combined/11_a_x_270_y_0_z_270.png,right,1,6.9195,MR,hard,15,urmN2MGqMI
left,images/base/4_b.png,images/combined/4_a_x_270_y_0_z_270.png,right,0,4.6002,MR,hard,16,urmN2MGqMI
right,images/base/12_b.png,images/combined/12_b_x_0_y_0_z_315.png,right,1,9.3485,MR,easy,1,d51zamtky2
left,images/base/2_a.png,images/combined/2_b_x_0_y_0_z_45.png,left,1,2.63,MR,easy,2,d51zamtky2
left,images/base/5_a.png,images/combined/5_b_x_0_y_0_z_45.png,left,1,2.1065,MR,easy,3,d51zamtky2
left,images/base/4_b.png,images/combined/4_a_x_0_y_0_z_315.png,left,1,2.37,MR,easy,4,d51zamtky2
left,images/base/11_b.png,images/combined/11_a_x_0_y_0_z_315.png,left,1,2.0731,MR,easy,5,d51zamtky2
right,images/base/7_a.png,images/combined/7_a_x_0_y_0_z_315.png,right,1,3.4414,MR,easy,6,d51zamtky2
left,images/base/8_a.png,images/combined/8_b_x_0_y_0_z_315.png,left,1,3.0447,MR,easy,7,d51zamtky2
right,images/base/3_b.png,images/combined/3_b_x_0_y_0_z_315.png,right,1,1.7624,MR,easy,8,d51zamtky2
right,images/base/13_a.png,images/combined/13_a_x_0_y_0_z_315.png,left,0,1.8521,MR,easy,9,d51zamtky2
right,images/base/6_a.png,images/combined/6_a_x_0_y_0_z_315.png,right,1,3.2844,MR,easy,10,d51zamtky2
left,images/base/10_a.png,images/combined/10_b_x_0_y_0_z_315.png,left,1,3.0649,MR,easy,11,d51zamtky2
left,images/base/15_a.png,images/combined/15_b_x_0_y_0_z_45.png,left,1,4.9963,MR,easy,12,d51zamtky2
right,images/base/9_a.png,images/combined/9_a_x_0_y_0_z_45.png,right,1,3.1363,MR,easy,13,d51zamtky2
left,images/base/14_a.png,images/combined/14_b_x_0_y_0_z_315.png,left,1,2.2361,MR,easy,14,d51zamtky2
left,images/base/1_b.png,images/combined/1_a_x_0_y_0_z_45.png,right,0,5.1679,MR,easy,15,d51zamtky2
right,images/base/16_a.png,images/combined/16_a_x_0_y_0_z_315.png,right,1,5.3715,MR,easy,16,d51zamtky2
left,images/base/7_a.png,images/combined/7_b_x_45_y_0_z_90.png,left,1,6.0715,MR,medium,1,d51zamtky2
left,images/base/14_b.png,images/combined/14_a_x_45_y_0_z_90.png,left,1,2.8474,MR,medium,2,d51zamtky2
right,images/base/11_a.png,images/combined/11_a_x_45_y_0_z_270.png,right,1,4.1766,MR,medium,3,d51zamtky2
left,images/base/9_b.png,images/combined/9_a_x_315_y_0_z_90.png,left,1,8.9762,MR,medium,4,d51zamtky2
left,images/base/6_b.png,images/combined/6_a_x_45_y_0_z_90.png,left,1,5.0663,MR,medium,5,d51zamtky2
right,images/base/4_a.png,images/combined/4_a_x_45_y_0_z_90.png,right,1,2.3966,MR,medium,6,d51zamtky2
left,images/base/5_a.png,images/combined/5_b_x_45_y_0_z_90.png,left,1,5.9075,MR,medium,7,d51zamtky2
left,images/base/12_a.png,images/combined/12_b_x_315_y_0_z_270.png,left,1,5.1836,MR,medium,8,d51zamtky2
right,images/base/1_a.png,images/combined/1_a_x_45_y_0_z_270.png,right,1,6.0228,MR,medium,9,d51zamtky2
right,images/base/15_a.png,images/combined/15_a_x_45_y_0_z_270.png,right,1,7.799,MR,medium,10,d51zamtky2
left,images/base/16_b.png,images/combined/16_a_x_45_y_0_z_90.png,left,1,8.8716,MR,medium,11,d51zamtky2
left,images/base/13_a.png,images/combined/13_b_x_315_y_0_z_270.png,left,1,3.0292,MR,medium,12,d51zamtky2
left,images/base/10_b.png,images/combined/10_a_x_45_y_0_z_90.png,left,1,2.3845,MR,medium,13,d51zamtky2
left,images/base/2_b.png,images/combined/2_a_x_315_y_0_z_270.png,left,1,4.3357,MR,medium,14,d51zamtky2
right,images/base/8_a.png,images/combined/8_a_x_315_y_0_z_270.png,right,1,4.2232,MR,medium,15,d51zamtky2
right,images/base/3_a.png,images/combined/3_a_x_45_y_0_z_90.png,right,1,3.0384,MR,medium,16,d51zamtky2
right,images/base/12_b.png,images/combined/12_b_x_270_y_0_z_270.png,right,1,5.0966,MR,hard,1,d51zamtky2
left,images/base/2_b.png,images/combined/2_a_x_90_y_0_z_270.png,left,1,5.8611,MR,hard,2,d51zamtky2
right,images/base/4_a.png,images/combined/4_a_x_270_y_0_z_270.png,right,1,8.6339,MR,hard,3,d51zamtky2
left,images/base/7_a.png,images/combined/7_b_x_90_y_0_z_270.png,left,1,4.129,MR,hard,4,d51zamtky2
left,images/base/14_a.png,images/combined/14_b_x_270_y_0_z_270.png,left,1,5.6001,MR,hard,5,d51zamtky2
left,images/base/15_b.png,images/combined/15_a_x_90_y_0_z_90.png,left,1,10.6179,MR,hard,6,d51zamtky2
left,images/base/3_a.png,images/combined/3_b_x_90_y_0_z_270.png,left,1,6.6956,MR,hard,7,d51zamtky2
left,images/base/8_b.png,images/combined/8_a_x_90_y_0_z_270.png,left,1,13.7211,MR,hard,8,d51zamtky2
left,images/base/10_a.png,images/combined/10_b_x_270_y_0_z_270.png,left,1,9.6025,MR,hard,9,d51zamtky2
left,images/base/13_a.png,images/combined/13_b_x_270_y_0_z_270.png,left,1,10.1159,MR,hard,10,d51zamtky2
right,images/base/9_a.png,images/combined/9_a_x_270_y_0_z_90.png,right,1,8.3069,MR,hard,11,d51zamtky2
right,images/base/1_a.png,images/combined/1_a_x_270_y_0_z_270.png,right,1,2.9132,MR,hard,12,d51zamtky2
right,images/base/11_b.png,images/combined/11_b_x_90_y_0_z_270.png,right,1,7.4927,MR,hard,13,d51zamtky2
left,images/base/5_b.png,images/combined/5_a_x_90_y_0_z_270.png,left,1,13.1634,MR,hard,14,d51zamtky2
left,images/base/6_b.png,images/combined/6_a_x_90_y_0_z_90.png,left,1,9.6121,MR,hard,15,d51zamtky2
left,images/base/16_b.png,images/combined/16_a_x_270_y_0_z_270.png,left,1,28.9494,MR,hard,16,d51zamtky2
right,images/base/7_b.png,images/combined/7_b_x_0_y_0_z_315.png,right,1,4.0231,MR,easy,1,EgEJAn9pKN
right,images/base/9_b.png,images/combined/9_b_x_0_y_0_z_45.png,left,0,2.7823,MR,easy,2,EgEJAn9pKN
right,images/base/3_b.png,images/combined/3_b_x_0_y_0_z_315.png,right,1,3.2501,MR,easy,3,EgEJAn9pKN
right,images/base/5_b.png,images/combined/5_b_x_0_y_0_z_315.png,right,1,4.0256,MR,easy,4,EgEJAn9pKN
right,images/base/1_a.png,images/combined/1_a_x_0_y_0_z_45.png,left,0,2.0574,MR,easy,5,EgEJAn9pKN
left,images/base/15_a.png,images/combined/15_b_x_0_y_0_z_315.png,left,1,3.2578,MR,easy,6,EgEJAn9pKN
right,images/base/8_b.png,images/combined/8_b_x_0_y_0_z_45.png,right,1,2.1793,MR,easy,7,EgEJAn9pKN
left,images/base/4_a.png,images/combined/4_b_x_0_y_0_z_315.png,left,1,2.4723,MR,easy,8,EgEJAn9pKN
left,images/base/12_b.png,images/combined/12_a_x_0_y_0_z_315.png,right,0,4.8743,MR,easy,9,EgEJAn9pKN
right,images/base/11_a.png,images/combined/11_a_x_0_y_0_z_315.png,right,1,9.7598,MR,easy,10,EgEJAn9pKN
left,images/base/16_b.png,images/combined/16_a_x_0_y_0_z_315.png,left,1,4.4401,MR,easy,11,EgEJAn9pKN
right,images/base/6_b.png,images/combined/6_b_x_0_y_0_z_45.png,right,1,2.8149,MR,easy,12,EgEJAn9pKN
left,images/base/14_b.png,images/combined/14_a_x_0_y_0_z_45.png,left,1,1.9243,MR,easy,13,EgEJAn9pKN
left,images/base/13_a.png,images/combined/13_b_x_0_y_0_z_315.png,left,1,3.399,MR,easy,14,EgEJAn9pKN
right,images/base/2_a.png,images/combined/2_a_x_0_y_0_z_315.png,right,1,2.382,MR,easy,15,EgEJAn9pKN
right,images/base/10_a.png,images/combined/10_a_x_0_y_0_z_315.png,right,1,3.5189,MR,easy,16,EgEJAn9pKN
right,images/base/9_a.png,images/combined/9_a_x_315_y_0_z_270.png,left,0,4.208,MR,medium,1,EgEJAn9pKN
right,images/base/4_a.png,images/combined/4_a_x_45_y_0_z_90.png,right,1,3.6568,MR,medium,2,EgEJAn9pKN
left,images/base/14_b.png,images/combined/14_a_x_315_y_0_z_270.png,left,1,3.8644,MR,medium,3,EgEJAn9pKN
left,images/base/1_b.png,images/combined/1_a_x_45_y_0_z_90.png,left,1,2.5434,MR,medium,4,EgEJAn9pKN
left,images/base/16_b.png,images/combined/16_a_x_45_y_0_z_270.png,left,1,3.9358,MR,medium,5,EgEJAn9pKN
left,images/base/5_b.png,images/combined/5_a_x_45_y_0_z_90.png,right,0,2.3952,MR,medium,6,EgEJAn9pKN
left,images/base/8_b.png,images/combined/8_a_x_45_y_0_z_270.png,left,1,3.2459,MR,medium,7,EgEJAn9pKN
left,images/base/11_b.png,images/combined/11_a_x_45_y_0_z_270.png,right,0,1.2145,MR,medium,8,EgEJAn9pKN
left,images/base/7_a.png,images/combined/7_b_x_315_y_0_z_90.png,left,1,2.0072,MR,medium,9,EgEJAn9pKN
left,images/base/6_a.png,images/combined/6_b_x_45_y_0_z_270.png,left,1,3.5657,MR,medium,10,EgEJAn9pKN
left,images/base/10_a.png,images/combined/10_b_x_45_y_0_z_90.png,left,1,1.8645,MR,medium,11,EgEJAn9pKN
right,images/base/15_b.png,images/combined/15_b_x_45_y_0_z_270.png,left,0,1.9355,MR,medium,12,EgEJAn9pKN
left,images/base/2_b.png,images/combined/2_a_x_315_y_0_z_270.png,left,1,7.1666,MR,medium,13,EgEJAn9pKN
left,images/base/13_b.png,images/combined/13_a_x_315_y_0_z_270.png,left,1,4.1325,MR,medium,14,EgEJAn9pKN
right,images/base/3_a.png,images/combined/3_a_x_45_y_0_z_90.png,left,0,3.7458,MR,medium,15,EgEJAn9pKN
left,images/base/12_a.png,images/combined/12_b_x_45_y_0_z_270.png,right,0,3.4931,MR,medium,16,EgEJAn9pKN
left,images/base/10_b.png,images/combined/10_a_x_270_y_0_z_90.png,left,1,2.9857,MR,hard,1,EgEJAn9pKN
left,images/base/11_a.png,images/combined/11_b_x_90_y_0_z_270.png,left,1,4.9294,MR,hard,2,EgEJAn9pKN
left,images/base/15_a.png,images/combined/15_b_x_270_y_0_z_90.png,right,0,2.9345,MR,hard,3,EgEJAn9pKN
left,images/base/16_b.png,images/combined/16_a_x_90_y_0_z_270.png,left,1,4.6344,MR,hard,4,EgEJAn9pKN
left,images/base/6_a.png,images/combined/6_b_x_270_y_0_z_90.png,left,1,3.1749,MR,hard,5,EgEJAn9pKN
right,images/base/7_b.png,images/combined/7_b_x_90_y_0_z_90.png,right,1,6.9515,MR,hard,6,EgEJAn9pKN
right,images/base/14_b.png,images/combined/14_b_x_90_y_0_z_90.png,right,1,5.3811,MR,hard,7,EgEJAn9pKN
left,images/base/1_b.png,images/combined/1_a_x_90_y_0_z_270.png,left,1,2.914,MR,hard,8,EgEJAn9pKN
left,images/base/12_a.png,images/combined/12_b_x_270_y_0_z_270.png,left,1,4.3605,MR,hard,9,EgEJAn9pKN
right,images/base/8_a.png,images/combined/8_a_x_90_y_0_z_270.png,left,0,4.7752,MR,hard,10,EgEJAn9pKN
right,images/base/5_b.png,images/combined/5_b_x_90_y_0_z_270.png,left,0,4.75,MR,hard,11,EgEJAn9pKN
right,images/base/3_a.png,images/combined/3_a_x_270_y_0_z_270.png,right,1,2.9661,MR,hard,12,EgEJAn9pKN
right,images/base/4_a.png,images/combined/4_a_x_90_y_0_z_270.png,left,0,4.0619,MR,hard,13,EgEJAn9pKN
right,images/base/2_b.png,images/combined/2_b_x_270_y_0_z_90.png,right,1,2.1999,MR,hard,14,EgEJAn9pKN
left,images/base/13_a.png,images/combined/13_b_x_90_y_0_z_270.png,left,1,1.1986,MR,hard,15,EgEJAn9pKN
left,images/base/9_b.png,images/combined/9_a_x_270_y_0_z_90.png,right,0,4.015,MR,hard,16,EgEJAn9pKN
right,images/base/11_b.png,images/combined/11_b_x_0_y_0_z_45.png,right,1,5.0664,MR,easy,1,W3y75sVKt1
right,images/base/7_a.png,images/combined/7_a_x_0_y_0_z_315.png,right,1,3.3877,MR,easy,2,W3y75sVKt1
left,images/base/4_a.png,images/combined/4_b_x_0_y_0_z_45.png,left,1,11.8666,MR,easy,3,W3y75sVKt1
right,images/base/16_a.png,images/combined/16_a_x_0_y_0_z_45.png,right,1,4.0516,MR,easy,4,W3y75sVKt1
left,images/base/10_b.png,images/combined/10_a_x_0_y_0_z_45.png,left,1,8.1175,MR,easy,5,W3y75sVKt1
right,images/base/3_a.png,images/combined/3_a_x_0_y_0_z_315.png,right,1,2.74,MR,easy,6,W3y75sVKt1
right,images/base/8_a.png,images/combined/8_a_x_0_y_0_z_315.png,right,1,3.2354,MR,easy,7,W3y75sVKt1
left,images/base/6_a.png,images/combined/6_b_x_0_y_0_z_45.png,left,1,4.4847,MR,easy,8,W3y75sVKt1
left,images/base/9_a.png,images/combined/9_b_x_0_y_0_z_45.png,left,1,4.939,MR,easy,9,W3y75sVKt1
right,images/base/5_b.png,images/combined/5_b_x_0_y_0_z_315.png,right,1,3.1598,MR,easy,10,W3y75sVKt1
right,images/base/15_b.png,images/combined/15_b_x_0_y_0_z_315.png,right,1,2.283,MR,easy,11,W3y75sVKt1
right,images/base/1_a.png,images/combined/1_a_x_0_y_0_z_315.png,right,1,2.3797,MR,easy,12,W3y75sVKt1
left,images/base/13_a.png,images/combined/13_b_x_0_y_0_z_45.png,left,1,2.4499,MR,easy,13,W3y75sVKt1
right,images/base/12_a.png,images/combined/12_a_x_0_y_0_z_315.png,right,1,2.7825,MR,easy,14,W3y75sVKt1
left,images/base/2_a.png,images/combined/2_b_x_0_y_0_z_45.png,left,1,3.3892,MR,easy,15,W3y75sVKt1
right,images/base/14_a.png,images/combined/14_a_x_0_y_0_z_45.png,right,1,2.4025,MR,easy,16,W3y75sVKt1
left,images/base/12_a.png,images/combined/12_b_x_45_y_0_z_270.png,left,1,28.339,MR,medium,1,W3y75sVKt1
right,images/base/4_b.png,images/combined/4_b_x_315_y_0_z_90.png,right,1,6.4507,MR,medium,2,W3y75sVKt1
right,images/base/11_a.png,images/combined/11_a_x_45_y_0_z_270.png,right,1,8.4014,MR,medium,3,W3y75sVKt1
right,images/base/9_b.png,images/combined/9_b_x_45_y_0_z_270.png,right,1,12.6166,MR,medium,4,W3y75sVKt1
right,images/base/16_a.png,images/combined/16_a_x_45_y_0_z_270.png,right,1,11.5974,MR,medium,5,W3y75sVKt1
left,images/base/5_b.png,images/combined/5_a_x_315_y_0_z_90.png,left,1,5.2503,MR,medium,6,W3y75sVKt1
right,images/base/7_a.png,images/combined/7_a_x_315_y_0_z_270.png,right,1,7.4671,MR,medium,7,W3y75sVKt1
right,images/base/14_a.png,images/combined/14_a_x_45_y_0_z_90.png,right,1,12.3509,MR,medium,8,W3y75sVKt1
right,images/base/6_b.png,images/combined/6_b_x_45_y_0_z_270.png,right,1,17.4959,MR,medium,9,W3y75sVKt1
left,images/base/8_a.png,images/combined/8_b_x_315_y_0_z_90.png,left,1,8.6171,MR,medium,10,W3y75sVKt1
left,images/base/1_a.png,images/combined/1_b_x_45_y_0_z_270.png,left,1,11.7637,MR,medium,11,W3y75sVKt1
left,images/base/13_a.png,images/combined/13_b_x_45_y_0_z_90.png,left,1,10.3676,MR,medium,12,W3y75sVKt1
left,images/base/10_b.png,images/combined/10_a_x_45_y_0_z_90.png,left,1,30.0957,MR,medium,13,W3y75sVKt1
left,images/base/15_b.png,images/combined/15_a_x_315_y_0_z_270.png,left,1,15.6257,MR,medium,14,W3y75sVKt1
left,images/base/2_a.png,images/combined/2_b_x_315_y_0_z_270.png,left,1,8.915,MR,medium,15,W3y75sVKt1
right,images/base/3_b.png,images/combined/3_b_x_315_y_0_z_90.png,right,1,4.1071,MR,medium,16,W3y75sVKt1
left,images/base/10_a.png,images/combined/10_b_x_90_y_0_z_90.png,left,1,12.2667,MR,hard,1,W3y75sVKt1
left,images/base/16_b.png,images/combined/16_a_x_270_y_0_z_270.png,right,0,9.2854,MR,hard,2,W3y75sVKt1
left,images/base/13_b.png,images/combined/13_a_x_270_y_0_z_90.png,left,1,7.5811,MR,hard,3,W3y75sVKt1
left,images/base/1_b.png,images/combined/1_a_x_270_y_0_z_270.png,left,1,8.5502,MR,hard,4,W3y75sVKt1
right,images/base/3_b.png,images/combined/3_b_x_90_y_0_z_90.png,right,1,9.5983,MR,hard,5,W3y75sVKt1
left,images/base/2_b.png,images/combined/2_a_x_270_y_0_z_270.png,left,1,22.2977,MR,hard,6,W3y75sVKt1
left,images/base/14_a.png,images/combined/14_b_x_270_y_0_z_270.png,left,1,7.9862,MR,hard,7,W3y75sVKt1
right,images/base/8_b.png,images/combined/8_b_x_270_y_0_z_90.png,right,1,5.9868,MR,hard,8,W3y75sVKt1
left,images/base/9_b.png,images/combined/9_a_x_90_y_0_z_90.png,left,1,14.155,MR,hard,9,W3y75sVKt1
left,images/base/6_a.png,images/combined/6_b_x_270_y_0_z_270.png,left,1,28.8954,MR,hard,10,W3y75sVKt1
left,images/base/12_b.png,images/combined/12_a_x_270_y_0_z_90.png,left,1,5.6484,MR,hard,11,W3y75sVKt1
left,images/base/4_a.png,images/combined/4_b_x_270_y_0_z_90.png,left,1,4.475,MR,hard,12,W3y75sVKt1
left,images/base/11_b.png,images/combined/11_a_x_270_y_0_z_90.png,left,1,10.4771,MR,hard,13,W3y75sVKt1
right,images/base/5_b.png,images/combined/5_b_x_90_y_0_z_90.png,right,1,7.0825,MR,hard,14,W3y75sVKt1
left,images/base/15_b.png,images/combined/15_a_x_90_y_0_z_90.png,left,1,9.6701,MR,hard,15,W3y75sVKt1
left,images/base/7_b.png,images/combined/7_a_x_270_y_0_z_270.png,left,1,6.5828,MR,hard,16,W3y75sVKt1
right,images/base/8_b.png,images/combined/8_b_x_0_y_0_z_45.png,right,1,4.023,MR,easy,1,soqMs9Hfya
left,images/base/11_a.png,images/combined/11_b_x_0_y_0_z_315.png,left,1,4.957,MR,easy,2,soqMs9Hfya
right,images/base/3_a.png,images/combined/3_a_x_0_y_0_z_45.png,right,1,3.125,MR,easy,3,soqMs9Hfya
left,images/base/10_b.png,images/combined/10_a_x_0_y_0_z_315.png,left,1,13.043,MR,easy,4,soqMs9Hfya
right,images/base/14_b.png,images/combined/14_b_x_0_y_0_z_315.png,right,1,3.458,MR,easy,5,soqMs9Hfya
right,images/base/12_a.png,images/combined/12_a_x_0_y_0_z_315.png,right,1,11.725,MR,easy,6,soqMs9Hfya
left,images/base/4_a.png,images/combined/4_b_x_0_y_0_z_315.png,left,1,4.661,MR,easy,7,soqMs9Hfya
right,images/base/13_b.png,images/combined/13_b_x_0_y_0_z_45.png,right,1,3.524,MR,easy,8,soqMs9Hfya
left,images/base/6_b.png,images/combined/6_a_x_0_y_0_z_315.png,left,1,6.942,MR,easy,9,soqMs9Hfya
right,images/base/7_a.png,images/combined/7_a_x_0_y_0_z_45.png,right,1,5.491,MR,easy,10,soqMs9Hfya
right,images/base/16_b.png,images/combined/16_b_x_0_y_0_z_45.png,right,1,3.241,MR,easy,11,soqMs9Hfya
right,images/base/2_b.png,images/combined/2_b_x_0_y_0_z_315.png,right,1,5.376,MR,easy,12,soqMs9Hfya
right,images/base/5_a.png,images/combined/5_a_x_0_y_0_z_45.png,right,1,4.172,MR,easy,13,soqMs9Hfya
left,images/base/9_a.png,images/combined/9_b_x_0_y_0_z_45.png,left,1,4.777,MR,easy,14,soqMs9Hfya
left,images/base/15_a.png,images/combined/15_b_x_0_y_0_z_45.png,left,1,14.741,MR,easy,15,soqMs9Hfya
right,images/base/1_a.png,images/combined/1_a_x_0_y_0_z_315.png,right,1,2.995,MR,easy,16,soqMs9Hfya
right,images/base/4_a.png,images/combined/4_a_x_45_y_0_z_90.png,left,0,6.789,MR,medium,1,soqMs9Hfya
right,images/base/10_b.png,images/combined/10_b_x_315_y_0_z_90.png,left,0,6.31,MR,medium,2,soqMs9Hfya
left,images/base/9_b.png,images/combined/9_a_x_315_y_0_z_90.png,right,0,5.36,MR,medium,3,soqMs9Hfya
right,images/base/14_a.png,images/combined/14_a_x_315_y_0_z_90.png,right,1,8.207,MR,medium,4,soqMs9Hfya
right,images/base/7_a.png,images/combined/7_a_x_315_y_0_z_270.png,right,1,5.41,MR,medium,5,soqMs9Hfya
left,images/base/13_b.png,images/combined/13_a_x_315_y_0_z_90.png,left,1,4.56,MR,medium,6,soqMs9Hfya
left,images/base/6_b.png,images/combined/6_a_x_315_y_0_z_270.png,left,1,8.559,MR,medium,7,soqMs9Hfya
left,images/base/3_a.png,images/combined/3_b_x_45_y_0_z_90.png,left,1,5.528,MR,medium,8,soqMs9Hfya
left,images/base/11_a.png,images/combined/11_b_x_315_y_0_z_90.png,left,1,12.46,MR,medium,9,soqMs9Hfya
right,images/base/8_a.png,images/combined/8_a_x_45_y_0_z_270.png,right,1,8.792,MR,medium,10,soqMs9Hfya
right,images/base/5_b.png,images/combined/5_b_x_315_y_0_z_90.png,right,1,4.47,MR,medium,11,soqMs9Hfya
left,images/base/2_a.png,images/combined/2_b_x_45_y_0_z_90.png,left,1,7.609,MR,medium,12,soqMs9Hfya
left,images/base/1_b.png,images/combined/1_a_x_45_y_0_z_270.png,left,1,9.709,MR,medium,13,soqMs9Hfya
left,images/base/15_b.png,images/combined/15_a_x_45_y_0_z_270.png,left,1,12.21,MR,medium,14,soqMs9Hfya
right,images/base/16_b.png,images/combined/16_b_x_315_y_0_z_90.png,left,0,8.294,MR,medium,15,soqMs9Hfya
right,images/base/12_a.png,images/combined/12_a_x_45_y_0_z_270.png,right,1,8.357,MR,medium,16,soqMs9Hfya
right,images/base/16_a.png,images/combined/16_a_x_90_y_0_z_90.png,right,1,5.606,MR,hard,1,soqMs9Hfya
right,images/base/6_b.png,images/combined/6_b_x_270_y_0_z_270.png,left,0,8.54,MR,hard,2,soqMs9Hfya
left,images/base/9_b.png,images/combined/9_a_x_90_y_0_z_90.png,left,1,9.771,MR,hard,3,soqMs9Hfya
left,images/base/15_b.png,images/combined/15_a_x_270_y_0_z_270.png,right,0,9.119,MR,hard,4,soqMs9Hfya
right,images/base/10_a.png,images/combined/10_a_x_90_y_0_z_270.png,right,1,8.476,MR,hard,5,soqMs9Hfya
right,images/base/13_a.png,images/combined/13_a_x_270_y_0_z_270.png,right,1,7.008,MR,hard,6,soqMs9Hfya
left,images/base/1_b.png,images/combined/1_a_x_90_y_0_z_270.png,left,1,5.933,MR,hard,7,soqMs9Hfya
left,images/base/8_a.png,images/combined/8_b_x_90_y_0_z_90.png,left,1,21.81,MR,hard,8,soqMs9Hfya
right,images/base/12_a.png,images/combined/12_a_x_270_y_0_z_90.png,right,1,7.36,MR,hard,9,soqMs9Hfya
left,images/base/11_b.png,images/combined/11_a_x_90_y_0_z_270.png,left,1,10.662,MR,hard,10,soqMs9Hfya
left,images/base/14_b.png,images/combined/14_a_x_90_y_0_z_270.png,left,1,9.875,MR,hard,11,soqMs9Hfya
right,images/base/4_b.png,images/combined/4_b_x_90_y_0_z_90.png,right,1,10.21,MR,hard,12,soqMs9Hfya
left,images/base/3_b.png,images/combined/3_a_x_90_y_0_z_90.png,left,1,11.523,MR,hard,13,soqMs9Hfya
right,images/base/2_b.png,images/combined/2_b_x_90_y_0_z_270.png,right,1,15.977,MR,hard,14,soqMs9Hfya
right,images/base/7_a.png,images/combined/7_a_x_270_y_0_z_90.png,left,0,4.808,MR,hard,15,soqMs9Hfya
right,images/base/5_a.png,images/combined/5_a_x_90_y_0_z_90.png,left,0,9.309,MR,hard,16,soqMs9Hfya
right,images/base/7_b.png,images/combined/7_b_x_0_y_0_z_45.png,right,1,5.0338,MR,easy,1,YuaQwhP1ZU
left,images/base/11_b.png,images/combined/11_a_x_0_y_0_z_45.png,left,1,4.5953,MR,easy,2,YuaQwhP1ZU
left,images/base/13_b.png,images/combined/13_a_x_0_y_0_z_45.png,left,1,5.8493,MR,easy,3,YuaQwhP1ZU
right,images/base/12_b.png,images/combined/12_b_x_0_y_0_z_45.png,right,1,6.1575,MR,easy,4,YuaQwhP1ZU
right,images/base/5_a.png,images/combined/5_a_x_0_y_0_z_315.png,right,1,3.15,MR,easy,5,YuaQwhP1ZU
left,images/base/2_a.png,images/combined/2_b_x_0_y_0_z_45.png,left,1,4.3343,MR,easy,6,YuaQwhP1ZU
right,images/base/4_b.png,images/combined/4_b_x_0_y_0_z_45.png,right,1,2.4438,MR,easy,7,YuaQwhP1ZU
right,images/base/8_a.png,images/combined/8_a_x_0_y_0_z_45.png,right,1,2.7159,MR,easy,8,YuaQwhP1ZU
left,images/base/1_b.png,images/combined/1_a_x_0_y_0_z_315.png,left,1,2.2368,MR,easy,9,YuaQwhP1ZU
right,images/base/15_a.png,images/combined/15_a_x_0_y_0_z_45.png,right,1,6.3992000000000004,MR,easy,10,YuaQwhP1ZU
left,images/base/3_a.png,images/combined/3_b_x_0_y_0_z_45.png,left,1,2.9509,MR,easy,11,YuaQwhP1ZU
right,images/base/10_b.png,images/combined/10_b_x_0_y_0_z_45.png,right,1,2.0481,MR,easy,12,YuaQwhP1ZU
right,images/base/14_b.png,images/combined/14_b_x_0_y_0_z_315.png,right,1,3.2878,MR,easy,13,YuaQwhP1ZU
left,images/base/16_a.png,images/combined/16_b_x_0_y_0_z_315.png,left,1,1.7016,MR,easy,14,YuaQwhP1ZU
right,images/base/6_b.png,images/combined/6_b_x_0_y_0_z_45.png,right,1,2.7999,MR,easy,15,YuaQwhP1ZU
right,images/base/9_b.png,images/combined/9_b_x_0_y_0_z_315.png,right,1,2.25,MR,easy,16,YuaQwhP1ZU
left,images/base/11_a.png,images/combined/11_b_x_315_y_0_z_270.png,right,0,3.0491,MR,medium,1,YuaQwhP1ZU
right,images/base/1_b.png,images/combined/1_b_x_45_y_0_z_90.png,left,0,5.2555,MR,medium,2,YuaQwhP1ZU
left,images/base/14_a.png,images/combined/14_b_x_45_y_0_z_270.png,left,1,2.6401,MR,medium,3,YuaQwhP1ZU
right,images/base/4_b.png,images/combined/4_b_x_45_y_0_z_90.png,right,1,1.7078,MR,medium,4,YuaQwhP1ZU
right,images/base/15_b.png,images/combined/15_b_x_45_y_0_z_270.png,right,1,3.3255,MR,medium,5,YuaQwhP1ZU
right,images/base/2_b.png,images/combined/2_b_x_315_y_0_z_90.png,right,1,0.886,MR,medium,6,YuaQwhP1ZU
left,images/base/5_a.png,images/combined/5_b_x_45_y_0_z_90.png,left,1,2.058,MR,medium,7,YuaQwhP1ZU
right,images/base/3_b.png,images/combined/3_b_x_45_y_0_z_90.png,right,1,4.9897,MR,medium,8,YuaQwhP1ZU
right,images/base/8_b.png,images/combined/8_b_x_45_y_0_z_270.png,left,0,4.6663,MR,medium,9,YuaQwhP1ZU
left,images/base/10_a.png,images/combined/10_b_x_45_y_0_z_270.png,left,1,10.2952,MR,medium,10,YuaQwhP1ZU
right,images/base/13_b.png,images/combined/13_b_x_45_y_0_z_270.png,right,1,2.8793,MR,medium,11,YuaQwhP1ZU
right,images/base/16_b.png,images/combined/16_b_x_315_y_0_z_90.png,right,1,1.7681,MR,medium,12,YuaQwhP1ZU
right,images/base/6_b.png,images/combined/6_b_x_315_y_0_z_90.png,right,1,1.183,MR,medium,13,YuaQwhP1ZU
right,images/base/7_b.png,images/combined/7_b_x_315_y_0_z_270.png,right,1,1.592,MR,medium,14,YuaQwhP1ZU
