trials,task,level,n,rt,acc,id,pool
11,MS,hard,5,39.1005,0.7142857142857143,TqUBvW8Aaz,pool1
12,MS,easy,3,12.6486,1,TqUBvW8Aaz,pool1
12,MS,medium,5,48.843,1,TqUBvW8Aaz,pool1
12,MS,hard,5,37.4846,0.7142857142857143,TqUBvW8Aaz,pool1
13,MS,easy,3,16.9314,1,TqUBvW8Aaz,pool1
13,MS,medium,5,37.3696,1,TqUBvW8Aaz,pool1
13,MS,hard,5,49.3314,0.7142857142857143,TqUBvW8Aaz,pool1
14,MS,easy,3,11.2404,1,TqUBvW8Aaz,pool1
14,MS,medium,5,36.3986,1,TqUBvW8Aaz,pool1
14,MS,hard,5,51.526,0.7142857142857143,TqUBvW8Aaz,pool1
15,MS,easy,3,13.954,1,TqUBvW8Aaz,pool1
15,MS,medium,5,36.2024,1,TqUBvW8Aaz,pool1
15,MS,hard,5,36.9506,0.7142857142857143,TqUBvW8Aaz,pool1
16,MS,easy,3,13.2781,1,TqUBvW8Aaz,pool1
16,MS,medium,5,36.6981,1,TqUBvW8Aaz,pool1
16,MS,hard,5,36.555,0.7142857142857143,TqUBvW8Aaz,pool1
1,MS,easy,3,10.976,1,WAh9qhgg6o,pool1
1,MS,medium,4,35.833,0.8,WAh9qhgg6o,pool1
1,MS,hard,5,24.935,0.7142857142857143,WAh9qhgg6o,pool1
2,MS,easy,3,7.8,1,WAh9qhgg6o,pool1
2,MS,medium,4,36.239,0.8,WAh9qhgg6o,pool1
2,MS,hard,3,23.447,0.42857142857142855,WAh9qhgg6o,pool1
3,MS,easy,2,11.651,0.6666666666666666,WAh9qhgg6o,pool1
3,MS,medium,4,54.573,0.8,WAh9qhgg6o,pool1
3,MS,hard,0,13.719,0,WAh9qhgg6o,pool1
4,MS,easy,3,11.078,1,WAh9qhgg6o,pool1
4,MS,medium,5,26.293,1,WAh9qhgg6o,pool1
4,MS,hard,3,20.731,0.42857142857142855,WAh9qhgg6o,pool1
5,MS,easy,3,14.925,1,WAh9qhgg6o,pool1
5,MS,medium,5,35.26,1,WAh9qhgg6o,pool1
5,MS,hard,2,31.679,0.2857142857142857,WAh9qhgg6o,pool1
6,MS,easy,3,9.708,1,WAh9qhgg6o,pool1
6,MS,medium,4,35.092,0.8,WAh9qhgg6o,pool1
6,MS,hard,5,20.843,0.7142857142857143,WAh9qhgg6o,pool1
7,MS,easy,3,9.294,1,WAh9qhgg6o,pool1
7,MS,medium,3,28.195,0.6,WAh9qhgg6o,pool1
7,MS,hard,4,30.225,0.5714285714285714,WAh9qhgg6o,pool1
8,MS,easy,3,8.186,1,WAh9qhgg6o,pool1
8,MS,medium,1,37.025,0.2,WAh9qhgg6o,pool1
8,MS,hard,5,28.652,0.7142857142857143,WAh9qhgg6o,pool1
9,MS,easy,2,10.76,0.6666666666666666,WAh9qhgg6o,pool1
9,MS,medium,5,26.549,1,WAh9qhgg6o,pool1
9,MS,hard,6,35.266,0.8571428571428571,WAh9qhgg6o,pool1
10,MS,easy,2,14.202,0.6666666666666666,WAh9qhgg6o,pool1
10,MS,medium,2,26.582,0.4,WAh9qhgg6o,pool1
10,MS,hard,4,30.422,0.5714285714285714,WAh9qhgg6o,pool1
11,MS,easy,3,14.092,1,WAh9qhgg6o,pool1
11,MS,medium,4,34.918,0.8,WAh9qhgg6o,pool1
11,MS,hard,6,33.227,0.8571428571428571,WAh9qhgg6o,pool1
12,MS,easy,3,9.48,1,WAh9qhgg6o,pool1
12,MS,medium,5,26.819,1,WAh9qhgg6o,pool1
12,MS,hard,1,21.972,0.14285714285714285,WAh9qhgg6o,pool1
13,MS,easy,3,11.349,1,WAh9qhgg6o,pool1
13,MS,medium,5,43.932,1,WAh9qhgg6o,pool1
13,MS,hard,5,33.103,0.7142857142857143,WAh9qhgg6o,pool1
14,MS,easy,3,10.323,1,WAh9qhgg6o,pool1
14,MS,medium,4,40.456,0.8,WAh9qhgg6o,pool1
14,MS,hard,5,31.318,0.7142857142857143,WAh9qhgg6o,pool1
15,MS,easy,1,9.956,0.3333333333333333,WAh9qhgg6o,pool1
15,MS,medium,5,28.799,1,WAh9qhgg6o,pool1
15,MS,hard,6,27.219,0.8571428571428571,WAh9qhgg6o,pool1
16,MS,easy,0,10.973,0,WAh9qhgg6o,pool1
16,MS,medium,4,39.245,0.8,WAh9qhgg6o,pool1
16,MS,hard,6,28.596,0.8571428571428571,WAh9qhgg6o,pool1
1,MS,easy,3,12.53,1,6xDo1DDaCf,pool1
1,MS,medium,5,20.269,1,6xDo1DDaCf,pool1
1,MS,hard,5,24.308,0.7142857142857143,6xDo1DDaCf,pool1
2,MS,easy,3,11.287,1,6xDo1DDaCf,pool1
2,MS,medium,5,24.454,1,6xDo1DDaCf,pool1
2,MS,hard,7,26.919,1,6xDo1DDaCf,pool1
3,MS,easy,3,14.567,1,6xDo1DDaCf,pool1
3,MS,medium,5,23.57,1,6xDo1DDaCf,pool1
3,MS,hard,7,27.532,1,6xDo1DDaCf,pool1
4,MS,easy,3,20.084,1,6xDo1DDaCf,pool1
4,MS,medium,5,26.606,1,6xDo1DDaCf,pool1
4,MS,hard,7,28.214,1,6xDo1DDaCf,pool1
5,MS,easy,3,12.159,1,6xDo1DDaCf,pool1
5,MS,medium,5,19.788,1,6xDo1DDaCf,pool1
5,MS,hard,7,31.963,1,6xDo1DDaCf,pool1
6,MS,easy,3,12.168,1,6xDo1DDaCf,pool1
6,MS,medium,5,21.419,1,6xDo1DDaCf,pool1
6,MS,hard,7,32.137,1,6xDo1DDaCf,pool1
7,MS,easy,3,11.311,1,6xDo1DDaCf,pool1
7,MS,medium,5,18.245,1,6xDo1DDaCf,pool1
7,MS,hard,7,26.741,1,6xDo1DDaCf,pool1
8,MS,easy,3,11.589,1,6xDo1DDaCf,pool1
8,MS,medium,5,19.449,1,6xDo1DDaCf,pool1
8,MS,hard,7,37.026,1,6xDo1DDaCf,pool1
9,MS,easy,3,15.638,1,6xDo1DDaCf,pool1
9,MS,medium,5,19.887,1,6xDo1DDaCf,pool1
9,MS,hard,7,24.666,1,6xDo1DDaCf,pool1
10,MS,easy,3,14.722,1,6xDo1DDaCf,pool1
10,MS,medium,5,19.755,1,6xDo1DDaCf,pool1
10,MS,hard,7,25.587,1,6xDo1DDaCf,pool1
11,MS,easy,3,15.248,1,6xDo1DDaCf,pool1
11,MS,medium,5,18.496,1,6xDo1DDaCf,pool1
11,MS,hard,7,26.36,1,6xDo1DDaCf,pool1
12,MS,easy,3,12.806,1,6xDo1DDaCf,pool1
12,MS,medium,5,18.387,1,6xDo1DDaCf,pool1
12,MS,hard,7,29.925,1,6xDo1DDaCf,pool1
13,MS,easy,3,19.989,1,6xDo1DDaCf,pool1
13,MS,medium,5,19.062,1,6xDo1DDaCf,pool1
13,MS,hard,7,25.63,1,6xDo1DDaCf,pool1
14,MS,easy,3,12.874,1,6xDo1DDaCf,pool1
14,MS,medium,5,17.982,1,6xDo1DDaCf,pool1
14,MS,hard,7,28.24,1,6xDo1DDaCf,pool1
15,MS,easy,3,10.597,1,6xDo1DDaCf,pool1
15,MS,medium,5,18.448,1,6xDo1DDaCf,pool1
15,MS,hard,7,31.108,1,6xDo1DDaCf,pool1
16,MS,easy,3,11.466,1,6xDo1DDaCf,pool1
16,MS,medium,5,20.95,1,6xDo1DDaCf,pool1
16,MS,hard,7,26.623,1,6xDo1DDaCf,pool1
1,MS,easy,3,13.0165,1,9ZffIZqFHz,pool1
1,MS,medium,5,16.0465,1,9ZffIZqFHz,pool1
1,MS,hard,7,32.3908,1,9ZffIZqFHz,pool1
2,MS,easy,3,8.5264,1,9ZffIZqFHz,pool1
2,MS,medium,5,20.31,1,9ZffIZqFHz,pool1
2,MS,hard,7,55.961,1,9ZffIZqFHz,pool1
3,MS,easy,3,16.7102,1,9ZffIZqFHz,pool1
3,MS,medium,5,21.6371,1,9ZffIZqFHz,pool1
3,MS,hard,7,34.8658,1,9ZffIZqFHz,pool1
4,MS,easy,3,9.1615,1,9ZffIZqFHz,pool1
4,MS,medium,4,20.9136,0.8,9ZffIZqFHz,pool1
4,MS,hard,7,33.2068,1,9ZffIZqFHz,pool1
5,MS,easy,3,15.6216,1,9ZffIZqFHz,pool1
5,MS,medium,5,17.8031,1,9ZffIZqFHz,pool1
5,MS,hard,7,33.1586,1,9ZffIZqFHz,pool1
6,MS,easy,3,9.9013,1,9ZffIZqFHz,pool1
6,MS,medium,5,14.9043,1,9ZffIZqFHz,pool1
6,MS,hard,6,50.7502,0.8571428571428571,9ZffIZqFHz,pool1
7,MS,easy,3,8.188,1,9ZffIZqFHz,pool1
7,MS,medium,5,18.7575,1,9ZffIZqFHz,pool1
7,MS,hard,7,35.5613,1,9ZffIZqFHz,pool1
8,MS,easy,3,8.9929,1,9ZffIZqFHz,pool1
8,MS,medium,5,15.0121,1,9ZffIZqFHz,pool1
8,MS,hard,7,41.4203,1,9ZffIZqFHz,pool1
9,MS,easy,3,9.4095,1,9ZffIZqFHz,pool1
9,MS,medium,5,16.1416,1,9ZffIZqFHz,pool1
9,MS,hard,5,37.6087,0.7142857142857143,9ZffIZqFHz,pool1
10,MS,easy,3,9.1576,1,9ZffIZqFHz,pool1
10,MS,medium,5,17.2626,1,9ZffIZqFHz,pool1
10,MS,hard,6,35.2392,0.8571428571428571,9ZffIZqFHz,pool1
11,MS,easy,3,9.0069,1,9ZffIZqFHz,pool1
11,MS,medium,5,15.977,1,9ZffIZqFHz,pool1
11,MS,hard,7,31.6035,1,9ZffIZqFHz,pool1
12,MS,easy,3,11.0992,1,9ZffIZqFHz,pool1
12,MS,medium,5,16.1601,1,9ZffIZqFHz,pool1
12,MS,hard,7,44.429,1,9ZffIZqFHz,pool1
13,MS,easy,3,10.4192,1,9ZffIZqFHz,pool1
13,MS,medium,5,15.2866,1,9ZffIZqFHz,pool1
13,MS,hard,6,35.8467,0.8571428571428571,9ZffIZqFHz,pool1
14,MS,easy,3,12.7247,1,9ZffIZqFHz,pool1
14,MS,medium,5,18.359,1,9ZffIZqFHz,pool1
14,MS,hard,7,32.4639,1,9ZffIZqFHz,pool1
15,MS,easy,3,9.1223,1,9ZffIZqFHz,pool1
15,MS,medium,5,22.9577,1,9ZffIZqFHz,pool1
15,MS,hard,6,46.6241,0.8571428571428571,9ZffIZqFHz,pool1
16,MS,easy,3,10.193,1,9ZffIZqFHz,pool1
16,MS,medium,5,18.734,1,9ZffIZqFHz,pool1
16,MS,hard,6,27.2214,0.8571428571428571,9ZffIZqFHz,pool1
1,MS,easy,3,16.617,1,wiRZfBYOru,pool2
1,MS,medium,5,55.7636,1,wiRZfBYOru,pool2
1,MS,hard,4,92.6617,0.5714285714285714,wiRZfBYOru,pool2
2,MS,easy,3,29.0992,1,wiRZfBYOru,pool2
2,MS,medium,5,41.8656,1,wiRZfBYOru,pool2
2,MS,hard,7,59.2993,1,wiRZfBYOru,pool2
3,MS,easy,3,17.8991,1,wiRZfBYOru,pool2
3,MS,medium,5,35.7651,1,wiRZfBYOru,pool2
3,MS,hard,7,55.3976,1,wiRZfBYOru,pool2
4,MS,easy,3,17.5997,1,wiRZfBYOru,pool2
4,MS,medium,5,42.0299,1,wiRZfBYOru,pool2
4,MS,hard,7,47.5983,1,wiRZfBYOru,pool2
5,MS,easy,2,24.3324,0.6666666666666666,wiRZfBYOru,pool2
5,MS,medium,5,34.8317,1,wiRZfBYOru,pool2
5,MS,hard,7,49.7649,1,wiRZfBYOru,pool2
6,MS,easy,3,19.3662,1,wiRZfBYOru,pool2
6,MS,medium,5,42.4325,1,wiRZfBYOru,pool2
6,MS,hard,6,52.5321,0.8571428571428571,wiRZfBYOru,pool2
7,MS,easy,3,18.1328,1,wiRZfBYOru,pool2
7,MS,medium,5,33.4657,1,wiRZfBYOru,pool2
7,MS,hard,7,53.4998,1,wiRZfBYOru,pool2
8,MS,easy,3,34.2999,1,wiRZfBYOru,pool2
8,MS,medium,5,37.4991,1,wiRZfBYOru,pool2
8,MS,hard,7,58.132,1,wiRZfBYOru,pool2
9,MS,easy,3,34.0324,1,wiRZfBYOru,pool2
9,MS,medium,5,37.6318,1,wiRZfBYOru,pool2
9,MS,hard,7,92.8977,1,wiRZfBYOru,pool2
10,MS,easy,3,25.3656,1,wiRZfBYOru,pool2
10,MS,medium,4,38.6327,0.8,wiRZfBYOru,pool2
10,MS,hard,7,57.2646,1,wiRZfBYOru,pool2
11,MS,easy,3,16.999,1,wiRZfBYOru,pool2
11,MS,medium,5,37.9984,1,wiRZfBYOru,pool2
11,MS,hard,7,45.4319,1,wiRZfBYOru,pool2
12,MS,easy,2,378.4967,0.6666666666666666,wiRZfBYOru,pool2
12,MS,medium,5,33.2313,1,wiRZfBYOru,pool2
12,MS,hard,7,46.0644,1,wiRZfBYOru,pool2
13,MS,easy,3,113.4988,1,wiRZfBYOru,pool2
13,MS,medium,5,37.1985,1,wiRZfBYOru,pool2
13,MS,hard,7,45.231,1,wiRZfBYOru,pool2
14,MS,easy,3,15.7332,1,wiRZfBYOru,pool2
14,MS,medium,5,38.0656,1,wiRZfBYOru,pool2
14,MS,hard,7,44.333,1,wiRZfBYOru,pool2
15,MS,easy,3,21.3654,1,wiRZfBYOru,pool2
15,MS,medium,5,40.2319,1,wiRZfBYOru,pool2
