trials,task,level,n,rt,acc,id,pool
14,MS,easy,3,20.0633,1,kGWL9y5AS9,pool2
14,MS,medium,4,20.6952,0.8,kGWL9y5AS9,pool2
14,MS,hard,7,36.6943,1,kGWL9y5AS9,pool2
15,MS,easy,3,20.8872,1,kGWL9y5AS9,pool2
15,MS,medium,5,21.512,1,kGWL9y5AS9,pool2
15,MS,hard,7,35.8673,1,kGWL9y5AS9,pool2
16,MS,easy,3,18.3376,1,kGWL9y5AS9,pool2
16,MS,medium,5,21.687,1,kGWL9y5AS9,pool2
16,MS,hard,7,32.2428,1,kGWL9y5AS9,pool2
1,MS,easy,3,28.0704,1,ntoLpzjCrW,pool2
1,MS,medium,3,28.1503,0.6,ntoLpzjCrW,pool2
1,MS,hard,5,49.5641,0.7142857142857143,ntoLpzjCrW,pool2
2,MS,easy,3,23.8958,1,ntoLpzjCrW,pool2
2,MS,medium,3,24.8887,0.6,ntoLpzjCrW,pool2
2,MS,hard,5,49.2496,0.7142857142857143,ntoLpzjCrW,pool2
3,MS,easy,3,19.4895,1,ntoLpzjCrW,pool2
3,MS,medium,4,27.9102,0.8,ntoLpzjCrW,pool2
3,MS,hard,5,54.9646,0.7142857142857143,ntoLpzjCrW,pool2
4,MS,easy,2,20.7698,0.6666666666666666,ntoLpzjCrW,pool2
4,MS,medium,3,33.4096,0.6,ntoLpzjCrW,pool2
4,MS,hard,6,57.397,0.8571428571428571,ntoLpzjCrW,pool2
5,MS,easy,3,34.3921,1,ntoLpzjCrW,pool2
5,MS,medium,4,53.2866,0.8,ntoLpzjCrW,pool2
5,MS,hard,5,46.9167,0.7142857142857143,ntoLpzjCrW,pool2
6,MS,easy,3,29.2928,1,ntoLpzjCrW,pool2
6,MS,medium,2,20.3783,0.4,ntoLpzjCrW,pool2
6,MS,hard,5,44.0429,0.7142857142857143,ntoLpzjCrW,pool2
7,MS,easy,3,33.6264,1,ntoLpzjCrW,pool2
7,MS,medium,3,41.8929,0.6,ntoLpzjCrW,pool2
7,MS,hard,4,38.5395,0.5714285714285714,ntoLpzjCrW,pool2
8,MS,easy,3,23.1435,1,ntoLpzjCrW,pool2
8,MS,medium,3,46.9123,0.6,ntoLpzjCrW,pool2
8,MS,hard,5,53.2231,0.7142857142857143,ntoLpzjCrW,pool2
9,MS,easy,3,23.3424,1,ntoLpzjCrW,pool2
9,MS,medium,4,39.8518,0.8,ntoLpzjCrW,pool2
9,MS,hard,5,45.1554,0.7142857142857143,ntoLpzjCrW,pool2
10,MS,easy,3,20.0292,1,ntoLpzjCrW,pool2
10,MS,medium,4,46.5668,0.8,ntoLpzjCrW,pool2
10,MS,hard,4,41.4322,0.5714285714285714,ntoLpzjCrW,pool2
11,MS,easy,3,26.7266,1,ntoLpzjCrW,pool2
11,MS,medium,4,41.5343,0.8,ntoLpzjCrW,pool2
11,MS,hard,4,46.1324,0.5714285714285714,ntoLpzjCrW,pool2
12,MS,easy,3,21.2225,1,ntoLpzjCrW,pool2
12,MS,medium,3,55.8063,0.6,ntoLpzjCrW,pool2
12,MS,hard,4,54.3984,0.5714285714285714,ntoLpzjCrW,pool2
13,MS,easy,3,18.8619,1,ntoLpzjCrW,pool2
13,MS,medium,4,42.9236,0.8,ntoLpzjCrW,pool2
13,MS,hard,5,184.9517,0.7142857142857143,ntoLpzjCrW,pool2
14,MS,easy,3,27.3774,1,ntoLpzjCrW,pool2
14,MS,medium,4,37.4411,0.8,ntoLpzjCrW,pool2
14,MS,hard,5,46.0739,0.7142857142857143,ntoLpzjCrW,pool2
15,MS,easy,3,27.1105,1,ntoLpzjCrW,pool2
15,MS,medium,4,40.5241,0.8,ntoLpzjCrW,pool2
15,MS,hard,6,75.749,0.8571428571428571,ntoLpzjCrW,pool2
16,MS,easy,3,33.6276,1,ntoLpzjCrW,pool2
16,MS,medium,4,44.7813,0.8,ntoLpzjCrW,pool2
16,MS,hard,5,43.5338,0.7142857142857143,ntoLpzjCrW,pool2
1,MS,easy,3,14.2641,1,12zOSfawTO,pool2
1,MS,medium,3,30.248,0.6,12zOSfawTO,pool2
1,MS,hard,3,18.7367,0.42857142857142855,12zOSfawTO,pool2
2,MS,easy,3,11.9817,1,12zOSfawTO,pool2
2,MS,medium,3,28.4354,0.6,12zOSfawTO,pool2
2,MS,hard,2,29.0686,0.2857142857142857,12zOSfawTO,pool2
3,MS,easy,3,9.9295,1,12zOSfawTO,pool2
3,MS,medium,3,42.4521,0.6,12zOSfawTO,pool2
3,MS,hard,6,22.157,0.8571428571428571,12zOSfawTO,pool2
4,MS,easy,3,8.9364,1,12zOSfawTO,pool2
4,MS,medium,5,18.8008,1,12zOSfawTO,pool2
4,MS,hard,5,25.9523,0.7142857142857143,12zOSfawTO,pool2
5,MS,easy,3,11.5704,1,12zOSfawTO,pool2
5,MS,medium,5,21.9117,1,12zOSfawTO,pool2
5,MS,hard,3,12.1492,0.42857142857142855,12zOSfawTO,pool2
6,MS,easy,2,9.6458,0.6666666666666666,12zOSfawTO,pool2
6,MS,medium,5,17.4532,1,12zOSfawTO,pool2
6,MS,hard,2,27.8402,0.2857142857142857,12zOSfawTO,pool2
7,MS,easy,2,15.0315,0.6666666666666666,12zOSfawTO,pool2
7,MS,medium,5,22.7776,1,12zOSfawTO,pool2
7,MS,hard,3,17.3508,0.42857142857142855,12zOSfawTO,pool2
8,MS,easy,3,16.6151,1,12zOSfawTO,pool2
8,MS,medium,5,25.1526,1,12zOSfawTO,pool2
8,MS,hard,2,11.6432,0.2857142857142857,12zOSfawTO,pool2
9,MS,easy,3,19.5173,1,12zOSfawTO,pool2
9,MS,medium,5,24.2052,1,12zOSfawTO,pool2
9,MS,hard,5,20.8459,0.7142857142857143,12zOSfawTO,pool2
10,MS,easy,3,12.7103,1,12zOSfawTO,pool2
10,MS,medium,5,20.4181,1,12zOSfawTO,pool2
10,MS,hard,4,17.5617,0.5714285714285714,12zOSfawTO,pool2
11,MS,easy,3,12.8698,1,12zOSfawTO,pool2
11,MS,medium,5,30.2183,1,12zOSfawTO,pool2
11,MS,hard,4,18.7037,0.5714285714285714,12zOSfawTO,pool2
12,MS,easy,2,11.463,0.6666666666666666,12zOSfawTO,pool2
12,MS,medium,4,23.6274,0.8,12zOSfawTO,pool2
12,MS,hard,6,23.2241,0.8571428571428571,12zOSfawTO,pool2
13,MS,easy,3,13.5769,1,12zOSfawTO,pool2
13,MS,medium,4,18.1256,0.8,12zOSfawTO,pool2
13,MS,hard,2,24.6268,0.2857142857142857,12zOSfawTO,pool2
14,MS,easy,3,13.2236,1,12zOSfawTO,pool2
14,MS,medium,4,44.3886,0.8,12zOSfawTO,pool2
14,MS,hard,4,26.1387,0.5714285714285714,12zOSfawTO,pool2
15,MS,easy,3,14.0219,1,12zOSfawTO,pool2
15,MS,medium,4,26.2197,0.8,12zOSfawTO,pool2
15,MS,hard,5,21.8013,0.7142857142857143,12zOSfawTO,pool2
16,MS,easy,3,13.3945,1,12zOSfawTO,pool2
16,MS,medium,4,19.8381,0.8,12zOSfawTO,pool2
16,MS,hard,6,24.961,0.8571428571428571,12zOSfawTO,pool2
1,MS,easy,3,12.4987,1,DVCsNitb7p,pool2
1,MS,medium,4,22.8486,0.8,DVCsNitb7p,pool2
1,MS,hard,7,44.4986,1,DVCsNitb7p,pool2
2,MS,easy,3,23.5669,1,DVCsNitb7p,pool2
2,MS,medium,3,23.2001,0.6,DVCsNitb7p,pool2
2,MS,hard,5,43.6324,0.7142857142857143,DVCsNitb7p,pool2
3,MS,easy,2,11.2196,0.6666666666666666,DVCsNitb7p,pool2
3,MS,medium,2,19.0997,0.4,DVCsNitb7p,pool2
3,MS,hard,6,42.933,0.8571428571428571,DVCsNitb7p,pool2
4,MS,easy,3,13.5663,1,DVCsNitb7p,pool2
4,MS,medium,2,13.8164,0.4,DVCsNitb7p,pool2
4,MS,hard,7,33.1638,1,DVCsNitb7p,pool2
5,MS,easy,3,10.4498,1,DVCsNitb7p,pool2
5,MS,medium,1,10.0165,0.2,DVCsNitb7p,pool2
5,MS,hard,1,16.6003,0.14285714285714285,DVCsNitb7p,pool2
6,MS,easy,3,12.8665,1,DVCsNitb7p,pool2
6,MS,medium,5,55.1663,1,DVCsNitb7p,pool2
6,MS,hard,6,29.5659,0.8571428571428571,DVCsNitb7p,pool2
7,MS,easy,2,12.583,0.6666666666666666,DVCsNitb7p,pool2
7,MS,medium,5,35.4994,1,DVCsNitb7p,pool2
7,MS,hard,5,34.5,0.7142857142857143,DVCsNitb7p,pool2
8,MS,easy,2,11.6332,0.6666666666666666,DVCsNitb7p,pool2
8,MS,medium,5,41.5164,1,DVCsNitb7p,pool2
8,MS,hard,6,37.7991,0.8571428571428571,DVCsNitb7p,pool2
9,MS,easy,2,10.1163,0.6666666666666666,DVCsNitb7p,pool2
9,MS,medium,4,48.37,0.8,DVCsNitb7p,pool2
9,MS,hard,7,30.8663,1,DVCsNitb7p,pool2
10,MS,easy,3,13.3162,1,DVCsNitb7p,pool2
10,MS,medium,2,14.8159,0.4,DVCsNitb7p,pool2
10,MS,hard,4,29.4826,0.5714285714285714,DVCsNitb7p,pool2
11,MS,easy,2,14.5033,0.6666666666666666,DVCsNitb7p,pool2
11,MS,medium,1,14.4843,0.2,DVCsNitb7p,pool2
11,MS,hard,5,24.0327,0.7142857142857143,DVCsNitb7p,pool2
12,MS,easy,1,10.97,0.3333333333333333,DVCsNitb7p,pool2
12,MS,medium,1,11.7003,0.2,DVCsNitb7p,pool2
12,MS,hard,5,44.4495,0.7142857142857143,DVCsNitb7p,pool2
13,MS,easy,3,11.1832,1,DVCsNitb7p,pool2
13,MS,medium,5,42.1672,1,DVCsNitb7p,pool2
13,MS,hard,6,32.3662,0.8571428571428571,DVCsNitb7p,pool2
14,MS,easy,2,9.8826,0.6666666666666666,DVCsNitb7p,pool2
14,MS,medium,5,29.8335,1,DVCsNitb7p,pool2
14,MS,hard,4,25.2998,0.5714285714285714,DVCsNitb7p,pool2
15,MS,easy,3,9.7163,1,DVCsNitb7p,pool2
15,MS,medium,4,31.7007,0.8,DVCsNitb7p,pool2
15,MS,hard,7,31.8161,1,DVCsNitb7p,pool2
16,MS,easy,2,21.6198,0.6666666666666666,DVCsNitb7p,pool2
16,MS,medium,5,25.4331,1,DVCsNitb7p,pool2
16,MS,hard,7,45.2834,1,DVCsNitb7p,pool2
1,MS,easy,3,6.8676,1,sPXXgeOo7t,pool2
1,MS,medium,5,15.8226,1,sPXXgeOo7t,pool2
1,MS,hard,7,24.899,1,sPXXgeOo7t,pool2
2,MS,easy,3,10.6285,1,sPXXgeOo7t,pool2
2,MS,medium,5,12.9863,1,sPXXgeOo7t,pool2
2,MS,hard,7,25.239,1,sPXXgeOo7t,pool2
3,MS,easy,3,6.4808,1,sPXXgeOo7t,pool2
3,MS,medium,5,18.0185,1,sPXXgeOo7t,pool2
3,MS,hard,6,35.5099,0.8571428571428571,sPXXgeOo7t,pool2
4,MS,easy,3,6.4086,1,sPXXgeOo7t,pool2
4,MS,medium,5,17.1392,1,sPXXgeOo7t,pool2
4,MS,hard,7,98.471,1,sPXXgeOo7t,pool2
5,MS,easy,3,6.4566,1,sPXXgeOo7t,pool2
5,MS,medium,5,19.65,1,sPXXgeOo7t,pool2
5,MS,hard,7,21.9651,1,sPXXgeOo7t,pool2
6,MS,easy,2,8.1179,0.6666666666666666,sPXXgeOo7t,pool2
6,MS,medium,5,21.2013,1,sPXXgeOo7t,pool2
6,MS,hard,6,21.6074,0.8571428571428571,sPXXgeOo7t,pool2
7,MS,easy,3,7.4631,1,sPXXgeOo7t,pool2
7,MS,medium,4,19.6366,0.8,sPXXgeOo7t,pool2
7,MS,hard,7,22.5297,1,sPXXgeOo7t,pool2
8,MS,easy,3,7.0206,1,sPXXgeOo7t,pool2
8,MS,medium,5,16.721,1,sPXXgeOo7t,pool2
8,MS,hard,7,20.213,1,sPXXgeOo7t,pool2
9,MS,easy,3,6.9841,1,sPXXgeOo7t,pool2
9,MS,medium,5,22.517,1,sPXXgeOo7t,pool2
9,MS,hard,7,24.6079,1,sPXXgeOo7t,pool2
10,MS,easy,3,6.875,1,sPXXgeOo7t,pool2
10,MS,medium,5,19.4067,1,sPXXgeOo7t,pool2
10,MS,hard,6,19.8007,0.8571428571428571,sPXXgeOo7t,pool2
11,MS,easy,3,7.8027,1,sPXXgeOo7t,pool2
11,MS,medium,5,116.4957,1,sPXXgeOo7t,pool2
11,MS,hard,6,19.4066,0.8571428571428571,sPXXgeOo7t,pool2
12,MS,easy,2,11.8647,0.6666666666666666,sPXXgeOo7t,pool2
12,MS,medium,5,20.5284,1,sPXXgeOo7t,pool2
12,MS,hard,7,22.3722,1,sPXXgeOo7t,pool2
13,MS,easy,2,6.869,0.6666666666666666,sPXXgeOo7t,pool2
13,MS,medium,5,17.6667,1,sPXXgeOo7t,pool2
13,MS,hard,5,33.5989,0.7142857142857143,sPXXgeOo7t,pool2
14,MS,easy,3,11.1674,1,sPXXgeOo7t,pool2
14,MS,medium,5,20.3218,1,sPXXgeOo7t,pool2
14,MS,hard,7,16.9568,1,sPXXgeOo7t,pool2
15,MS,easy,3,7.0381,1,sPXXgeOo7t,pool2
15,MS,medium,4,17.5025,0.8,sPXXgeOo7t,pool2
15,MS,hard,7,21.3053,1,sPXXgeOo7t,pool2
16,MS,easy,3,13.7138,1,sPXXgeOo7t,pool2
16,MS,medium,5,18.3761,1,sPXXgeOo7t,pool2
16,MS,hard,7,19.4491,1,sPXXgeOo7t,pool2
1,MS,easy,3,8.7759,1,ujNKR4re1M,pool2
1,MS,medium,5,13.0298,1,ujNKR4re1M,pool2
1,MS,hard,6,18.4757,0.8571428571428571,ujNKR4re1M,pool2
2,MS,easy,3,7.5137,1,ujNKR4re1M,pool2
2,MS,medium,3,18.6524,0.6,ujNKR4re1M,pool2
2,MS,hard,1,28.056,0.14285714285714285,ujNKR4re1M,pool2
3,MS,easy,3,6.6531,1,ujNKR4re1M,pool2
3,MS,medium,5,14.0622,1,ujNKR4re1M,pool2
3,MS,hard,2,17.4986,0.2857142857142857,ujNKR4re1M,pool2
4,MS,easy,3,7.4875,1,ujNKR4re1M,pool2
4,MS,medium,5,13.9642,1,ujNKR4re1M,pool2
4,MS,hard,7,27.2436,1,ujNKR4re1M,pool2
5,MS,easy,3,7.5457,1,ujNKR4re1M,pool2
5,MS,medium,5,19.2083,1,ujNKR4re1M,pool2
5,MS,hard,6,20.4947,0.8571428571428571,ujNKR4re1M,pool2
6,MS,easy,3,6.7435,1,ujNKR4re1M,pool2
6,MS,medium,5,15.9921,1,ujNKR4re1M,pool2
6,MS,hard,4,24.7613,0.5714285714285714,ujNKR4re1M,pool2
7,MS,easy,3,7.2265,1,ujNKR4re1M,pool2
7,MS,medium,5,16.119,1,ujNKR4re1M,pool2
7,MS,hard,7,17.7553,1,ujNKR4re1M,pool2
8,MS,easy,3,8.9483,1,ujNKR4re1M,pool2
8,MS,medium,5,13.7069,1,ujNKR4re1M,pool2
8,MS,hard,6,20.2448,0.8571428571428571,ujNKR4re1M,pool2
9,MS,easy,3,8.474,1,ujNKR4re1M,pool2
9,MS,medium,4,11.6116,0.8,ujNKR4re1M,pool2
9,MS,hard,7,23.1244,1,ujNKR4re1M,pool2
10,MS,easy,3,7.1121,1,ujNKR4re1M,pool2
10,MS,medium,5,16.0419,1,ujNKR4re1M,pool2
10,MS,hard,6,20.9974,0.8571428571428571,ujNKR4re1M,pool2
11,MS,easy,3,6.6551,1,ujNKR4re1M,pool2
11,MS,medium,5,12.5538,1,ujNKR4re1M,pool2
11,MS,hard,7,18.4004,1,ujNKR4re1M,pool2
12,MS,easy,3,6.8763,1,ujNKR4re1M,pool2
12,MS,medium,4,9.0464,0.8,ujNKR4re1M,pool2
12,MS,hard,7,19.8829,1,ujNKR4re1M,pool2
13,MS,easy,3,7.731,1,ujNKR4re1M,pool2
13,MS,medium,5,11.3342,1,ujNKR4re1M,pool2
13,MS,hard,5,21.544,0.7142857142857143,ujNKR4re1M,pool2
14,MS,easy,2,7.6836,0.6666666666666666,ujNKR4re1M,pool2
14,MS,medium,4,9.9866,0.8,ujNKR4re1M,pool2
14,MS,hard,5,18.6071,0.7142857142857143,ujNKR4re1M,pool2
15,MS,easy,3,8.112,1,ujNKR4re1M,pool2
15,MS,medium,3,10.9522,0.6,ujNKR4re1M,pool2
15,MS,hard,7,20.1544,1,ujNKR4re1M,pool2
16,MS,easy,3,5.794,1,ujNKR4re1M,pool2
16,MS,medium,4,9.4439,0.8,ujNKR4re1M,pool2
16,MS,hard,7,19.2069,1,ujNKR4re1M,pool2
1,MS,easy,3,16.2972,1,8EBFmIUfAy,pool2
1,MS,medium,4,32.8118,0.8,8EBFmIUfAy,pool2
1,MS,hard,4,28.175,0.5714285714285714,8EBFmIUfAy,pool2
2,MS,easy,3,17.1289,1,8EBFmIUfAy,pool2
2,MS,medium,4,30.8882,0.8,8EBFmIUfAy,pool2
2,MS,hard,5,33.8836,0.7142857142857143,8EBFmIUfAy,pool2
3,MS,easy,3,10.1165,1,8EBFmIUfAy,pool2
3,MS,medium,4,27.3308,0.8,8EBFmIUfAy,pool2
3,MS,hard,7,33.9098,1,8EBFmIUfAy,pool2
4,MS,easy,3,12.2881,1,8EBFmIUfAy,pool2
4,MS,medium,4,20.4594,0.8,8EBFmIUfAy,pool2
4,MS,hard,5,67.5526,0.7142857142857143,8EBFmIUfAy,pool2
5,MS,easy,3,17.9855,1,8EBFmIUfAy,pool2
5,MS,medium,4,21.5906,0.8,8EBFmIUfAy,pool2
5,MS,hard,4,23.7697,0.5714285714285714,8EBFmIUfAy,pool2
6,MS,easy,3,12.5173,1,8EBFmIUfAy,pool2
6,MS,medium,4,31.2884,0.8,8EBFmIUfAy,pool2
6,MS,hard,5,21.9389,0.7142857142857143,8EBFmIUfAy,pool2
7,MS,easy,3,10.4228,1,8EBFmIUfAy,pool2
7,MS,medium,4,30.5564,0.8,8EBFmIUfAy,pool2
7,MS,hard,4,35.6466,0.5714285714285714,8EBFmIUfAy,pool2
8,MS,easy,3,13.7915,1,8EBFmIUfAy,pool2
8,MS,medium,3,42.9551,0.6,8EBFmIUfAy,pool2
8,MS,hard,6,26.2503,0.8571428571428571,8EBFmIUfAy,pool2
9,MS,easy,2,14.202,0.6666666666666666,8EBFmIUfAy,pool2
9,MS,medium,3,29.4289,0.6,8EBFmIUfAy,pool2
9,MS,hard,5,29.2071,0.7142857142857143,8EBFmIUfAy,pool2
10,MS,easy,3,18.6032,1,8EBFmIUfAy,pool2
10,MS,medium,4,25.604,0.8,8EBFmIUfAy,pool2
10,MS,hard,5,30.9883,0.7142857142857143,8EBFmIUfAy,pool2
11,MS,easy,3,12.082,1,8EBFmIUfAy,pool2
11,MS,medium,3,80.36,0.6,8EBFmIUfAy,pool2
11,MS,hard,3,24.2567,0.42857142857142855,8EBFmIUfAy,pool2
12,MS,easy,3,12.5421,1,8EBFmIUfAy,pool2
12,MS,medium,5,36.7839,1,8EBFmIUfAy,pool2
12,MS,hard,5,21.6669,0.7142857142857143,8EBFmIUfAy,pool2
13,MS,easy,3,13.1196,1,8EBFmIUfAy,pool2
13,MS,medium,5,30.8882,1,8EBFmIUfAy,pool2
13,MS,hard,4,20.7078,0.5714285714285714,8EBFmIUfAy,pool2
14,MS,easy,3,9.6003,1,8EBFmIUfAy,pool2
14,MS,medium,4,31.4374,0.8,8EBFmIUfAy,pool2
14,MS,hard,4,29.055,0.5714285714285714,8EBFmIUfAy,pool2
15,MS,easy,2,13.8187,0.6666666666666666,8EBFmIUfAy,pool2
15,MS,medium,4,41.1112,0.8,8EBFmIUfAy,pool2
15,MS,hard,5,32.7281,0.7142857142857143,8EBFmIUfAy,pool2
16,MS,easy,3,12.1758,1,8EBFmIUfAy,pool2
16,MS,medium,5,49.0237,1,8EBFmIUfAy,pool2
16,MS,hard,5,30.6563,0.7142857142857143,8EBFmIUfAy,pool2
1,MS,easy,1,4.1779,0.3333333333333333,aqEAPJJI8e,pool34
1,MS,medium,4,17.3024,0.8,aqEAPJJI8e,pool34
1,MS,hard,7,28.274,1,aqEAPJJI8e,pool34
2,MS,easy,1,3.7688,0.3333333333333333,aqEAPJJI8e,pool34
2,MS,medium,5,18.274,1,aqEAPJJI8e,pool34
2,MS,hard,7,25.4945,1,aqEAPJJI8e,pool34
3,MS,easy,1,5.0362,0.3333333333333333,aqEAPJJI8e,pool34
3,MS,medium,5,16.7911,1,aqEAPJJI8e,pool34
3,MS,hard,6,26.0607,0.8571428571428571,aqEAPJJI8e,pool34
4,MS,easy,1,11.7051,0.3333333333333333,aqEAPJJI8e,pool34
4,MS,medium,5,17.8239,1,aqEAPJJI8e,pool34
4,MS,hard,6,24.3097,0.8571428571428571,aqEAPJJI8e,pool34
5,MS,easy,1,3.0184,0.3333333333333333,aqEAPJJI8e,pool34
5,MS,medium,5,22.8599,1,aqEAPJJI8e,pool34
5,MS,hard,7,24.9111,1,aqEAPJJI8e,pool34
6,MS,easy,1,3.4176,0.3333333333333333,aqEAPJJI8e,pool34
6,MS,medium,5,17.7276,1,aqEAPJJI8e,pool34
6,MS,hard,7,25.5946,1,aqEAPJJI8e,pool34
7,MS,easy,1,6.5369,0.3333333333333333,aqEAPJJI8e,pool34
7,MS,medium,5,17.7616,1,aqEAPJJI8e,pool34
7,MS,hard,6,24.7974,0.8571428571428571,aqEAPJJI8e,pool34
8,MS,easy,1,8.3192,0.3333333333333333,aqEAPJJI8e,pool34
8,MS,medium,4,15.9051,0.8,aqEAPJJI8e,pool34
8,MS,hard,6,23.5598,0.8571428571428571,aqEAPJJI8e,pool34
9,MS,easy,2,11.5045,0.6666666666666666,aqEAPJJI8e,pool34
9,MS,medium,5,17.0412,1,aqEAPJJI8e,pool34
9,MS,hard,7,24.5079,1,aqEAPJJI8e,pool34
10,MS,easy,0,15.5402,0,aqEAPJJI8e,pool34
10,MS,medium,5,20.0591,1,aqEAPJJI8e,pool34
10,MS,hard,7,25.2612,1,aqEAPJJI8e,pool34
11,MS,easy,1,10.6706,0.3333333333333333,aqEAPJJI8e,pool34
11,MS,medium,5,17.1279,1,aqEAPJJI8e,pool34
11,MS,hard,7,26.8449,1,aqEAPJJI8e,pool34
12,MS,easy,0,7.4033,0,aqEAPJJI8e,pool34
12,MS,medium,4,28.6968,0.8,aqEAPJJI8e,pool34
12,MS,hard,6,24.5149,0.8571428571428571,aqEAPJJI8e,pool34
13,MS,easy,0,10.388,0,aqEAPJJI8e,pool34
13,MS,medium,5,18.2254,1,aqEAPJJI8e,pool34
13,MS,hard,7,32.2269,1,aqEAPJJI8e,pool34
14,MS,easy,1,18.0085,0.3333333333333333,aqEAPJJI8e,pool34
14,MS,medium,4,15.4752,0.8,aqEAPJJI8e,pool34
14,MS,hard,7,33.2616,1,aqEAPJJI8e,pool34
15,MS,easy,1,12.0549,0.3333333333333333,aqEAPJJI8e,pool34
15,MS,medium,5,16.0599,1,aqEAPJJI8e,pool34
15,MS,hard,7,22.3765,1,aqEAPJJI8e,pool34
16,MS,easy,3,11.3048,1,aqEAPJJI8e,pool34
16,MS,medium,3,17.2575,0.6,aqEAPJJI8e,pool34
16,MS,hard,7,24.8595,1,aqEAPJJI8e,pool34
1,MS,easy,3,26.3414,1,rh40WUcVcA,pool34
1,MS,medium,3,57.9057,0.6,rh40WUcVcA,pool34
1,MS,hard,6,100.1625,0.8571428571428571,rh40WUcVcA,pool34
2,MS,easy,1,24.0617,0.3333333333333333,rh40WUcVcA,pool34
2,MS,medium,2,38.8743,0.4,rh40WUcVcA,pool34
2,MS,hard,7,56.1843,1,rh40WUcVcA,pool34
3,MS,easy,2,20.0595,0.6666666666666666,rh40WUcVcA,pool34
3,MS,medium,3,55.3748,0.6,rh40WUcVcA,pool34
3,MS,hard,6,58.2506,0.8571428571428571,rh40WUcVcA,pool34
4,MS,easy,2,20.6406,0.6666666666666666,rh40WUcVcA,pool34
4,MS,medium,0,77.658,0,rh40WUcVcA,pool34
4,MS,hard,7,54.7563,1,rh40WUcVcA,pool34
5,MS,easy,3,17.771,1,rh40WUcVcA,pool34
5,MS,medium,5,63.8726,1,rh40WUcVcA,pool34
5,MS,hard,5,61.8934,0.7142857142857143,rh40WUcVcA,pool34
6,MS,easy,1,153.481,0.3333333333333333,rh40WUcVcA,pool34
6,MS,medium,5,46.1026,1,rh40WUcVcA,pool34
6,MS,hard,7,49.6494,1,rh40WUcVcA,pool34
7,MS,easy,3,18.9605,1,rh40WUcVcA,pool34
7,MS,medium,5,46.0467,1,rh40WUcVcA,pool34
7,MS,hard,6,52.8857,0.8571428571428571,rh40WUcVcA,pool34
8,MS,easy,3,17.751,1,rh40WUcVcA,pool34
8,MS,medium,4,36.5136,0.8,rh40WUcVcA,pool34
8,MS,hard,6,66.1307,0.8571428571428571,rh40WUcVcA,pool34
9,MS,easy,2,20.4736,0.6666666666666666,rh40WUcVcA,pool34
9,MS,medium,5,33.1064,1,rh40WUcVcA,pool34
9,MS,hard,5,61.7497,0.7142857142857143,rh40WUcVcA,pool34
10,MS,easy,2,17.456,0.6666666666666666,rh40WUcVcA,pool34
10,MS,medium,5,39.6198,1,rh40WUcVcA,pool34
10,MS,hard,6,47.241,0.8571428571428571,rh40WUcVcA,pool34
11,MS,easy,3,18.6869,1,rh40WUcVcA,pool34
11,MS,medium,5,38.978,1,rh40WUcVcA,pool34
11,MS,hard,5,57.4112,0.7142857142857143,rh40WUcVcA,pool34
12,MS,easy,3,31.2028,1,rh40WUcVcA,pool34
12,MS,medium,5,37.6492,1,rh40WUcVcA,pool34
12,MS,hard,6,68.3326,0.8571428571428571,rh40WUcVcA,pool34
13,MS,easy,2,17.0323,0.6666666666666666,rh40WUcVcA,pool34
13,MS,medium,5,36.21,1,rh40WUcVcA,pool34
13,MS,hard,7,55.5784,1,rh40WUcVcA,pool34
14,MS,easy,2,18.3502,0.6666666666666666,rh40WUcVcA,pool34
14,MS,medium,5,35.545,1,rh40WUcVcA,pool34
14,MS,hard,6,61.7944,0.8571428571428571,rh40WUcVcA,pool34
15,MS,easy,3,15.8075,1,rh40WUcVcA,pool34
15,MS,medium,5,31.2979,1,rh40WUcVcA,pool34
15,MS,hard,5,46.4711,0.7142857142857143,rh40WUcVcA,pool34
16,MS,easy,3,19.084,1,rh40WUcVcA,pool34
16,MS,medium,4,47.7939,0.8,rh40WUcVcA,pool34
16,MS,hard,7,48.0431,1,rh40WUcVcA,pool34
1,MS,easy,3,5.7283,1,ky7vtw0gdz,pool34
1,MS,medium,3,8.5884,0.6,ky7vtw0gdz,pool34
1,MS,hard,4,10.2554,0.5714285714285714,ky7vtw0gdz,pool34
2,MS,easy,3,6.6154,1,ky7vtw0gdz,pool34
2,MS,medium,3,9.5761,0.6,ky7vtw0gdz,pool34
2,MS,hard,4,10.5633,0.5714285714285714,ky7vtw0gdz,pool34
3,MS,easy,3,7.8558,1,ky7vtw0gdz,pool34
3,MS,medium,3,13.3242,0.6,ky7vtw0gdz,pool34
3,MS,hard,2,6.3659,0.2857142857142857,ky7vtw0gdz,pool34
4,MS,easy,3,6.8021,1,ky7vtw0gdz,pool34
4,MS,medium,5,19.086,1,ky7vtw0gdz,pool34
4,MS,hard,4,7.9895,0.5714285714285714,ky7vtw0gdz,pool34
5,MS,easy,3,8.6027,1,ky7vtw0gdz,pool34
5,MS,medium,4,21.4201,0.8,ky7vtw0gdz,pool34
5,MS,hard,2,6.9314,0.2857142857142857,ky7vtw0gdz,pool34
6,MS,easy,3,8.9227,1,ky7vtw0gdz,pool34
6,MS,medium,4,19.3663,0.8,ky7vtw0gdz,pool34
6,MS,hard,4,8.083,0.5714285714285714,ky7vtw0gdz,pool34
7,MS,easy,3,7.8692,1,ky7vtw0gdz,pool34
