resp_MR_easy_2.keys,resp_MR_easy_2.corr,resp_MR_easy_2.rt,space_perehod_MRtrain.keys,space_perehod_MRtrain.rt,training_MR.thisRepN,training_MR.thisTrialN,training_MR.thisN,training_MR.thisIndex,training_MR.ran,train_stim,train_base,train_correctAns,Индивидуальный_код,date,expName,psychopyVersion,OS,frameRate,key_resp_SE_2.keys,key_resp_SE_2.corr,key_resp_SE_2.rt,space_perehod_STtrain.keys,space_perehod_STtrain.rt,train_sternberg.thisRepN,train_sternberg.thisTrialN,train_sternberg.thisN,train_sternberg.thisIndex,train_sternberg.ran,resp1_2.text,resp2_2.text,resp3_2.text,mouse_MSe_2.x,mouse_MSe_2.y,mouse_MSe_2.leftButton,mouse_MSe_2.midButton,mouse_MSe_2.rightButton,mouse_MSe_2.time,mouse_MSe_2.clicked_name,train_MS.thisRepN,train_MS.thisTrialN,train_MS.thisN,train_MS.thisIndex,train_MS.ran,train_noun1,train_noun2,train_noun3,slider.response,slider.rt,tlx_training.thisRepN,tlx_training.thisTrialN,tlx_training.thisN,tlx_training.thisIndex,tlx_training.ran,head,question,left,right,base_position,correctAns,base_pic,rotated_pic,Z,task_type,task_level,T/Q,resp_MR_easy.keys,resp_MR_easy.corr,resp_MR_easy.rt,space_perehod_MRe.keys,space_perehod_MRe.rt,MR_easy_loop.thisRepN,MR_easy_loop.thisTrialN,MR_easy_loop.thisN,MR_easy_loop.thisIndex,MR_easy_loop.ran
,,,,,,,,,,,,,047SSAK,2022-08-20_23h05.43.884,entire_exp,2022.1.1,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.550208333,7.2557,0,4,4,4,1,Усилия,Сколько усилий на самом деле вы приложили для выполнения задания (умственных и/или физических) для достигнутого вами результата?,Мало,Много,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,047SSAK,2022-08-20_23h05.43.884,entire_exp,2022.1.1,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.74652778,4.7851,0,5,5,5,1,Уровень фрустрации,"Насколько неуверенно в себе, разочарованно, раздраженно или напряженно вы чувствовали себя в ходе выполнения задания? Или же наоборот, вы были уверенны в себе, а выполнение задания было приятным и расслабленным?",Низкий,Высокий,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,047SSAK,2022-08-20_23h05.43.884,entire_exp,2022.1.1,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.4,0]",right,images/base/1_b.png,images/combined/1_b_x_0_y_0_z_315.png,315,mental_rotation,1,T,right,1,14.6228,space,0.3473,0,0,0,0,1
,,,,,,,,,,,,,047SSAK,2022-08-20_23h05.43.884,entire_exp,2022.1.1,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.4,0]",right,images/base/8_a.png,images/combined/8_a_x_0_y_0_z_45.png,45,mental_rotation,1,T,right,1,11.6511,space,0.2463,1,0,1,0,1
,,,,,,,,,,,,,047SSAK,2022-08-20_23h05.43.884,entire_exp,2022.1.1,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.4,0]",left,images/base/5_a.png,images/combined/5_b_x_0_y_0_z_315.png,315,mental_rotation,1,T,left,1,8.5224,space,0.2623,2,0,2,0,1
,,,,,,,,,,,,,047SSAK,2022-08-20_23h05.43.884,entire_exp,2022.1.1,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.4,0]",left,images/base/15_a.png,images/combined/15_b_x_0_y_0_z_315.png,315,mental_rotation,1,T,right,0,42.2695,space,0.6418,3,0,3,0,1
,,,,,,,,,,,,,047SSAK,2022-08-20_23h05.43.884,entire_exp,2022.1.1,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.4,0]",left,images/base/10_a.png,images/combined/10_b_x_0_y_0_z_315.png,315,mental_rotation,1,T,left,1,35.2243,space,0.3272,4,0,4,0,1
,,,,,,,,,,,,,047SSAK,2022-08-20_23h05.43.884,entire_exp,2022.1.1,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.4,0]",right,images/base/2_a.png,images/combined/2_a_x_0_y_0_z_315.png,315,mental_rotation,1,T,right,1,10.8046,space,0.5957,5,0,5,0,1
,,,,,,,,,,,,,047SSAK,2022-08-20_23h05.43.884,entire_exp,2022.1.1,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.4,0]",left,images/base/7_a.png,images/combined/7_b_x_0_y_0_z_315.png,315,mental_rotation,1,T,right,0,34.1962,space,0.9752,6,0,6,0,1
,,,,,,,,,,,,,047SSAK,2022-08-20_23h05.43.884,entire_exp,2022.1.1,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.4,0]",right,images/base/6_a.png,images/combined/6_a_x_0_y_0_z_45.png,45,mental_rotation,1,T,left,0,6.9469,space,0.9598,7,0,7,0,1
